player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Calvin Johnson,3618,WR,DET,16,13.7,12,61.3,,0,0,2,10.3,14,94,11,3,54.3,40.8,89.8,,89.4,0.0,0,5,53,0.0,0,796,4,122,96.7,770,28.8,229,92.2,199,5,71.2,567,1964,514,4.2,16.1,2.55
Brandon Marshall,3064,WR,CHI,16,12.7,17,65.2,,0,0,0,9.9,13,75,6,2,48.9,39.6,90.4,,90.1,0.0,0,7,56,0.0,0,579,2,118,93.8,543,22.1,128,95.3,181,11,77.4,448,1508,369,3.1,12.8,2.78
Reggie Wayne,800,WR,IND,16,11.1,5,59.2,,0,0,0,8.6,10,74,14,1,60.2,67.1,89.0,52.0,85.8,0.8,6,10,33,0.3,2,732,0,106,93.6,685,61.2,448,69.0,179,5,38.0,278,1355,379,3.6,12.8,1.98
Wes Welker,2204,WR,NE,16,7.6,7,71.1,,0,0,0,11.3,15,72,19,2,39.5,39.1,82.5,,81.2,0.0,0,2,59,0.0,0,655,0,118,94.2,617,82.3,539,102.3,166,6,17.3,113,1354,698,5.9,11.5,2.19
Andre Johnson,1319,WR,HST,16,11.5,11,70.4,,0,0,1,7.4,9,79,13,0,71.3,84.2,91.9,,91.9,0.0,0,5,60,0.0,0,553,2,112,95.8,530,21.3,118,97.9,159,4,78.7,435,1598,559,5.0,14.3,3.02
A.J. Green,6156,WR,CIN,16,14.0,14,61.4,,0,0,0,9.3,10,62,7,2,56.6,33.0,89.2,62.4,88.2,0.0,0,6,73,0.2,1,611,4,97,95.1,581,13.6,83,96.2,158,11,86.4,528,1350,437,4.5,13.9,2.32
Larry Fitzgerald,1724,WR,ARZ,16,10.9,9,48.0,,0,0,0,6.6,5,44,1,0,69.5,81.4,69.4,70.7,68.5,0.1,1,12,37,0.1,1,705,3,71,95.6,674,18.6,131,39.8,148,4,80.7,569,798,277,3.9,11.2,1.18
Jason Witten,1384,TE,DAL,16,8.2,8,75.3,,0,0,0,6.8,8,56,9,0,70.7,84.1,84.5,66.6,82.8,57.1,416,3,36,9.7,71,729,6,110,86.1,628,39.2,286,92.8,146,3,0.8,6,1039,324,2.9,9.4,1.65
Steve Johnson,4538,WR,BUF,16,10.6,10,54.9,,0,0,0,12.2,11,52,4,1,41.2,50.8,78.1,,77.9,0.0,0,7,63,0.0,0,568,3,79,96.8,550,24.6,140,71.7,144,6,75.4,428,1046,356,4.5,13.2,1.9
Roddy White,2244,WR,ATL,16,12.8,6,66.7,,0,0,1,4.2,4,73,2,1,88.8,64.3,87.9,70.8,86.0,0.0,0,5,59,0.3,2,679,4,92,95.1,646,20.5,139,100.2,138,7,79.1,537,1351,337,3.7,14.7,2.09
Demaryius Thomas,5547,WR,DEN,16,11.5,13,68.1,,0,0,0,10.5,11,62,10,3,49.8,30.0,87.4,,85.8,0.0,0,0,71,0.0,0,606,1,94,94.1,570,7.6,46,126.2,138,10,92.2,559,1430,547,5.8,15.2,2.51
Dez Bryant,5549,WR,DAL,16,12.1,14,67.2,,0,0,0,10.7,11,55,9,2,54.0,30.0,76.5,49.9,76.8,0.0,0,2,85,0.0,0,681,4,92,95.4,650,1.9,13,123.2,137,12,98.1,668,1382,468,5.1,15.0,2.13
Vincent Jackson,2278,WR,TB,16,16.9,6,52.6,,0,0,1,6.5,5,61,30,0,70.4,81.5,89.6,,89.6,0.0,0,5,95,0.0,0,615,3,72,95.4,587,36.3,223,92.2,137,8,63.7,392,1384,365,5.1,19.2,2.36
Victor Cruz,5827,WR,NYG,16,11.0,10,62.8,,0,0,0,12.2,12,53,21,0,39.8,82.4,77.5,68.1,77.9,0.0,0,6,80,0.2,1,579,3,86,92.6,536,70.3,407,93.7,137,10,29.7,172,1092,340,4.0,12.7,2.04
Jimmy Graham,5619,TE,NO,15,8.8,7,64.9,,0,0,0,15.0,15,59,20,1,29.5,53.1,79.2,73.3,79.0,20.0,113,5,46,4.8,27,566,4,85,91.5,518,64.3,364,94.4,131,9,15.0,85,982,314,3.7,11.6,1.9
Justin Blackmon,7011,WR,JAX,16,11.4,6,49.6,,0,0,0,11.1,8,41,15,1,50.4,27.0,65.7,34.9,64.3,0.3,2,6,81,0.1,1,684,2,64,93.1,637,45.9,314,64.9,129,5,53.7,367,865,290,4.5,13.5,1.36
Brandon Lloyd,1436,WR,NE,16,13.6,3,57.8,,0,0,0,8.6,7,50,19,0,60.8,81.8,77.0,,74.2,0.0,0,1,53,0.0,0,632,1,74,94.0,594,9.2,58,89.7,128,5,90.8,574,911,179,2.4,12.3,1.53
Julio Jones,6158,WR,ATL,16,12.6,12,62.2,,0,0,0,8.1,7,56,2,0,62.2,82.7,82.4,67.3,82.7,0.0,0,3,80,0.2,1,605,4,79,95.7,579,9.1,55,109.6,127,10,90.2,546,1198,491,6.2,15.2,2.07
Steve Smith,837,WR,CAR,16,13.4,10,57.5,,0,0,0,9.9,8,51,5,0,55.3,51.8,80.9,,82.1,0.0,0,3,66,0.0,0,559,5,73,94.1,526,9.1,51,89.2,127,4,90.9,508,1174,286,3.9,16.1,2.23
Marques Colston,3197,WR,NO,16,11.9,5,65.9,,0,0,0,8.8,8,66,20,3,53.2,24.3,76.0,,75.7,0.0,0,6,60,0.0,0,649,2,83,96.1,624,55.5,360,101.8,126,10,44.5,289,1154,307,3.7,13.9,1.85
