player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Matt Schaub,1811,QB,HST,16,79.5,527,583,7.9,0.0,12,24,4.0,67.9,396,0,180,5.5,626,23,235,13,83.9,83.5,88.9,26.9,16,15,642,0,14.4,98.6,4.2,26,17,5,23,29,12,1.9,4770,8.2
Peyton Manning,327,QB,IND,16,75.5,552,571,9.1,0.0,9,33,5.5,68.8,393,0,125,5.8,583,24,237,14,90.6,87.2,88.4,30.0,3,16,611,4,8.0,100.0,1.7,10,2,0,7,33,14,2.3,4518,7.9
Tom Brady,698,QB,NE,16,75.3,538,565,9.1,0.0,5,29,4.8,65.7,371,0,147,8.4,587,34,215,19,91.1,79.2,82.2,29.1,9,13,623,6,10.9,96.2,2.7,16,6,0,13,28,11,1.8,4398,7.8
Jay Cutler,2956,QB,CHI,16,68.8,523,555,8.5,0.0,6,26,4.5,60.5,336,0,194,6.7,609,24,178,6,75.9,63.5,65.6,39.9,6,26,637,4,17.5,76.8,5.6,34,20,5,15,27,24,3.8,3676,6.6
Tony Romo,1693,QB,DAL,16,72.3,527,550,8.2,0.0,10,23,4.0,63.1,347,0,177,8.9,597,34,207,9,70.3,70.0,71.7,39.7,4,9,627,4,19.2,97.6,5.7,34,13,2,7,26,10,1.6,4484,8.2
Kyle Orton,2323,QB,DEN,16,72.6,504,541,7.6,0.0,7,10,1.8,62.1,336,0,169,8.2,581,30,188,10,81.9,64.4,66.3,31.2,7,12,607,2,17.2,86.8,5.0,29,11,1,22,21,13,2.1,3799,7.0
Aaron Rodgers,2241,QB,GB,16,77.6,509,541,9.3,0.0,9,25,4.3,64.7,350,0,192,11.4,625,45,217,12,55.3,87.8,87.2,61.3,6,7,665,4,26.0,103.2,8.0,50,34,3,14,30,11,1.7,4434,8.2
Brett Favre,14,QB,MIN,16,76.5,510,531,8.3,0.0,6,25,4.4,68.4,363,0,141,6.9,568,27,213,18,90.4,91.5,91.7,38.7,4,7,600,10,24.1,107.2,6.0,34,3,3,8,33,11,1.8,4202,7.9
David Garrard,1109,QB,JAX,16,71.6,462,516,8.9,0.0,13,25,4.7,60.9,314,0,206,5.1,593,17,184,15,44.2,68.1,71.0,44.8,18,10,615,3,20.4,83.5,7.1,42,35,3,20,15,23,3.7,3597,7.0
Kurt Warner,112,QB,ARZ,15,77.2,469,514,8.1,0.0,14,18,3.3,66.1,340,0,162,6.1,543,22,194,1,59.6,75.3,77.4,29.6,20,14,571,3,14.8,93.8,4.4,24,5,7,4,27,16,2.8,3758,7.3
Drew Brees,802,QB,NO,15,78.5,488,514,8.5,0.0,13,28,5.2,70.6,363,0,132,5.2,539,20,214,20,69.6,89.2,88.5,47.6,7,11,563,3,15.2,109.6,3.7,20,5,1,5,34,12,2.1,4388,8.5
Eli Manning,1722,QB,NYG,16,72.3,484,509,9.3,0.0,11,30,5.6,62.3,317,0,165,9.4,546,33,187,21,61.5,77.2,78.0,33.3,6,14,577,4,18.2,93.3,5.5,30,7,2,6,27,17,2.9,4037,7.9
Jason Campbell,2242,QB,WAS,16,78.6,454,507,6.9,0.0,16,20,3.8,64.5,327,1,194,8.4,577,30,200,32,44.1,62.7,64.0,49.8,13,15,599,6,22.2,86.4,7.5,43,27,2,22,20,17,2.8,3620,7.1
Ben Roethlisberger,1732,QB,PIT,15,77.4,474,506,9.5,0.0,12,30,5.6,66.6,337,0,156,8.2,567,30,211,25,80.3,85.2,85.9,40.4,12,12,601,1,32.1,100.5,8.8,50,11,1,7,26,13,2.2,4328,8.6
Joe Flacco,4332,QB,BLT,16,71.4,468,499,9.1,0.0,7,17,3.2,63.1,315,0,158,5.7,550,19,189,3,70.8,81.6,83.5,39.1,6,12,582,5,23.4,89.0,6.7,37,14,2,16,21,11,1.9,3629,7.3
Matt Cassel,2447,QB,KC,15,69.2,455,494,8.7,0.0,14,23,4.3,55.1,272,0,193,13.7,566,43,132,16,66.5,59.8,64.2,30.0,9,16,607,8,21.8,69.9,7.4,42,30,4,12,16,17,2.8,2924,5.9
Matt Hasselbeck,408,QB,SEA,14,70.6,456,488,7.4,0.0,8,14,2.8,60.0,293,0,137,9.0,538,29,151,29,51.4,60.8,61.4,43.5,6,17,557,1,23.4,75.1,5.9,32,18,0,18,17,18,3.2,3029,6.2
Philip Rivers,1725,QB,SD,16,75.7,449,486,10.3,0.0,2,31,6.1,65.2,317,0,146,6.8,522,23,212,27,85.3,91.2,91.8,39.1,12,9,546,6,17.1,104.4,4.8,25,11,2,21,28,9,1.6,4254,8.8
Carson Palmer,1317,QB,CIN,16,71.1,440,466,9.0,0.0,9,18,3.6,60.5,282,0,131,9.9,509,31,163,7,90.7,68.0,71.4,41.6,3,13,539,10,19.8,83.8,5.1,26,17,4,10,21,16,3.0,3116,6.7
Chad Henne,4371,QB,MIA,14,72.1,420,451,8.6,0.0,11,17,3.6,60.8,274,0,108,9.6,484,29,159,17,85.9,70.1,70.9,36.3,7,14,502,2,24.1,75.3,5.4,26,7,3,10,12,9,1.8,2880,6.4
Matt Ryan,4317,QB,ATL,14,68.7,406,451,9.0,0.0,4,16,3.3,58.3,263,0,125,5.7,482,16,157,2,81.6,66.4,68.6,32.4,6,14,511,1,15.2,80.9,3.9,19,12,5,30,22,17,3.3,2912,6.5
Donovan McNabb,438,QB,PHI,14,72.6,405,443,9.4,0.0,18,26,5.5,60.3,267,0,138,9.2,494,27,158,24,65.0,74.9,74.9,53.7,6,10,525,2,26.1,92.9,7.3,36,15,2,12,22,13,2.5,3551,8.0
Matthew Stafford,4924,QB,DET,10,65.4,350,377,8.4,0.0,5,13,3.3,53.3,201,0,120,12.2,416,28,118,11,72.7,45.2,45.8,50.3,6,20,433,2,19.2,61.0,5.5,23,16,7,9,13,21,4.8,2271,6.0
Alex Smith,2218,QB,SF,11,74.6,327,372,7.5,0.0,13,16,4.1,60.5,225,0,133,7.8,405,19,103,28,76.7,70.3,72.6,46.5,11,12,423,6,16.5,81.5,5.4,22,11,1,20,18,10,2.4,2350,6.3
Mark Sanchez,4928,QB,NYJ,15,63.9,338,363,9.8,0.0,4,17,4.5,54.0,196,0,95,9.3,406,20,133,22,50.1,49.3,50.4,51.4,3,20,424,8,27.4,63.2,6.4,26,17,2,16,12,23,5.4,2444,6.7
Jake Delhomme,303,QB,CAR,11,64.8,301,321,9.8,0.0,6,15,4.5,55.5,178,0,103,8.7,351,17,104,5,79.7,55.6,54.1,63.7,6,18,366,2,22.3,59.4,6.6,23,7,5,3,8,14,3.8,2014,6.3
Josh Freeman,4940,QB,TB,10,64.6,271,291,9.8,0.0,7,16,5.3,54.6,159,0,120,9.1,331,16,99,30,42.3,51.9,51.5,54.3,4,18,344,3,15.8,59.9,5.7,19,21,3,6,10,16,4.7,1855,6.4
Vince Young,2948,QB,TEN,12,66.5,239,259,10.1,0.0,3,15,5.6,58.7,152,0,86,4.4,298,7,109,31,57.6,72.7,71.0,63.0,6,7,307,1,10.5,82.8,3.0,9,30,1,10,10,11,3.6,1879,7.3
Brady Quinn,3638,QB,CLV,10,65.4,237,256,9.0,0.0,11,7,2.7,53.1,136,0,89,12.3,280,19,76,8,80.8,54.4,54.8,47.4,3,7,288,2,21.3,67.1,6.8,19,5,0,5,8,6,2.1,1335,5.2
Marc Bulger,684,QB,SL,9,68.7,230,247,8.1,0.0,6,10,3.8,56.7,140,0,63,11.4,267,18,79,26,41.7,58.1,62.6,26.6,4,6,283,3,22.2,70.7,5.2,14,6,1,6,5,9,3.2,1469,5.9
JaMarcus Russell,3617,QB,OAK,12,65.0,226,246,10.5,0.0,6,8,3.0,48.8,120,0,120,18.4,286,27,63,23,33.5,43.6,44.1,45.0,9,11,304,0,26.7,50.0,11.2,32,8,1,4,3,12,3.9,1287,5.2
Ryan Fitzpatrick,2467,QB,BUF,10,66.4,211,227,9.5,0.0,5,9,3.8,55.9,127,0,89,9.3,266,13,67,4,79.7,61.4,61.0,56.1,9,10,276,1,23.6,69.7,7.9,21,18,1,1,9,9,3.3,1424,6.3
Kerry Collins,115,QB,TEN,7,73.7,190,216,8.2,0.0,4,7,3.1,55.1,119,0,65,15.0,224,21,64,31,64.8,60.6,64.1,28.3,7,8,232,2,7.7,65.6,2.2,5,3,0,15,6,8,3.4,1232,5.7
Trent Edwards,3708,QB,BUF,8,75.2,165,183,7.4,0.0,4,8,4.2,60.1,110,0,83,11.3,217,14,59,4,75.0,65.1,63.1,65.8,4,7,226,1,27.7,73.7,10.6,23,11,0,10,6,7,3.1,1165,6.4
Derek Anderson,2430,QB,CLV,8,61.1,162,182,9.7,0.0,8,7,3.7,44.5,81,0,50,18.2,194,18,46,8,73.4,49.4,50.0,43.5,5,10,202,1,22.0,42.2,5.7,11,1,1,6,3,10,5.0,892,4.9
Kyle Boller,1335,QB,SL,7,69.4,157,176,6.2,0.0,6,3,1.6,55.7,98,0,73,10.1,201,11,54,26,73.5,51.1,48.7,66.8,7,6,211,0,23.3,61.3,8.5,17,8,1,5,3,6,2.8,902,5.1
Daunte Culpepper,446,QB,DET,8,66.2,145,157,10.4,0.0,3,2,1.2,56.7,89,0,58,7.3,182,7,49,11,77.2,45.6,45.5,58.1,3,6,191,2,24.1,64.8,7.7,14,11,1,5,3,7,3.7,945,6.0
Shaun Hill,1255,QB,SF,6,72.5,138,155,8.7,0.0,3,6,3.7,56.1,87,0,53,13.0,179,13,43,28,70.9,66.9,65.4,76.5,6,2,188,4,34.0,79.8,10.1,18,6,0,8,5,3,1.6,950,6.1
Bruce Gradkowski,3139,QB,OAK,7,65.2,135,150,11.7,0.0,5,8,5.0,54.7,82,0,60,6.8,172,6,50,23,33.7,70.3,70.9,55.9,1,3,181,2,18.3,80.6,6.4,11,11,2,7,6,3,1.7,1007,6.7
Matt Moore,4018,QB,CAR,7,66.9,130,138,9.0,0.0,2,8,5.5,61.6,85,0,51,2.3,149,2,53,5,88.8,59.3,60.9,48.5,3,2,157,2,17.6,97.6,6.0,9,2,0,3,8,3,1.9,1025,7.4
Josh Johnson,4474,QB,TB,5,60.3,116,125,8.8,0.0,6,7,5.3,50.4,63,0,61,10.0,154,7,39,30,45.6,50.3,49.2,60.6,3,8,166,1,18.0,50.9,7.1,11,18,0,0,4,9,5.4,685,5.5
Seneca Wallace,1422,QB,SEA,9,73.0,115,120,7.8,0.0,4,3,2.4,65.0,78,0,36,7.1,134,6,39,29,56.9,52.3,55.4,35.0,0,2,139,2,25.0,81.9,6.7,9,5,0,1,3,2,1.4,700,5.8
Chris Redman,635,QB,ATL,3,68.6,105,119,9.4,0.0,5,3,2.4,58.0,69,0,34,4.2,128,3,40,2,64.4,53.1,54.5,41.7,5,3,135,0,23.5,78.4,6.3,8,1,2,2,4,4,3.0,781,6.6
Keith Null,5120,QB,SL,4,67.5,114,119,6.5,0.0,1,0,0.0,61.3,73,0,35,5.2,135,4,30,26,63.9,53.0,54.6,43.0,1,9,138,1,37.1,50.1,9.6,13,3,0,3,3,6,4.3,571,4.8
Byron Leftwich,1323,QB,TB,3,70.4,98,107,9.6,0.0,0,4,3.5,54.2,58,0,40,15.9,111,11,29,30,86.3,63.9,64.7,47.0,4,3,118,0,5.0,71.2,1.8,2,2,0,5,4,3,2.5,596,5.6
Kevin Kolb,3652,QB,PHI,3,73.9,88,96,7.6,0.0,3,3,3.1,64.6,62,0,23,4.6,101,3,31,24,65.2,53.2,54.8,45.0,2,3,103,0,17.4,88.9,4.0,4,1,0,3,4,1,1.0,741,7.7
Charlie Frye,2284,QB,OAK,3,68.8,80,87,8.9,0.0,1,5,5.2,60.9,53,0,37,3.6,95,2,30,23,85.3,63.0,62.6,62.5,2,4,104,2,13.5,65.3,5.3,5,3,0,4,1,4,3.8,581,6.7
Matt Leinart,2955,QB,ARZ,7,71.1,76,77,7.5,0.0,0,2,2.5,66.2,51,0,27,5.6,79,3,22,1,84.6,53.4,57.1,40.6,1,3,82,0,7.4,64.7,2.5,2,0,0,0,0,4,4.9,438,5.7
Chad Pennington,596,QB,MIA,3,85.7,63,74,8.3,0.0,2,0,0.0,68.9,51,0,22,5.6,81,3,29,17,50.1,74.1,72.9,58.8,2,2,84,0,27.3,76.0,7.4,6,1,2,5,1,2,2.4,413,5.6
Drew Stanton,3659,QB,DET,3,61.2,49,51,9.7,0.0,0,0,0.0,51.0,26,0,20,13.3,62,4,13,11,82.4,37.9,39.0,50.3,0,6,65,0,25.0,26.1,8.1,5,6,0,2,0,5,7.7,259,5.1
Brodie Croyle,3030,QB,KC,3,72.2,36,39,8.2,0.0,1,1,2.4,59.0,23,0,16,11.5,42,3,10,16,79.5,72.5,71.2,,0,0,44,0,18.8,84.3,7.1,3,0,0,2,1,0,0.0,230,5.9
David Carr,1009,QB,NYG,6,71.0,31,33,8.5,0.0,1,0,0.0,63.6,21,0,7,4.5,39,1,13,21,80.1,54.2,55.0,54.0,0,0,42,1,28.6,93.6,5.1,2,4,1,0,1,0,0.0,225,6.8
Billy Volek,768,QB,SD,2,67.7,31,31,8.4,0.0,0,1,3.2,64.5,20,0,9,4.8,32,1,13,27,79.7,51.5,59.4,39.1,0,1,32,0,11.1,84.2,3.1,1,0,0,0,1,1,3.1,231,7.5
Brian Brohm,4370,QB,BUF,1,73.1,26,29,6.2,0.0,1,0,0.0,58.6,17,0,12,10.5,31,2,8,4,78.5,47.2,52.3,48.5,1,2,32,1,16.7,43.2,6.5,2,0,0,1,0,1,3.1,146,5.0
Mark Brunell,51,QB,NO,2,61.5,26,29,6.9,0.0,0,0,0.0,51.7,15,0,9,6.3,30,1,6,20,78.3,45.8,47.2,49.6,3,1,31,0,11.1,45.5,3.3,1,0,0,0,0,1,3.2,102,3.5
Curtis Painter,5125,QB,IND,2,38.5,26,28,10.5,0.0,0,0,0.0,28.6,8,0,11,20.0,33,2,3,14,32.7,37.0,41.1,45.3,0,2,33,0,27.3,9.8,9.1,3,2,0,2,0,2,6.1,83,3.0
Brian Hoyer,5277,QB,NE,4,74.1,27,27,3.4,0.0,0,0,0.0,70.4,19,0,3,5.0,32,1,10,19,79.8,56.3,60.0,50.6,0,0,35,0,66.7,82.6,6.3,2,3,0,0,0,0,0.0,142,5.3
Kellen Clemens,2994,QB,NYJ,3,58.3,24,26,9.3,0.0,0,1,3.8,50.0,13,0,9,7.1,32,1,7,22,79.6,47.3,52.3,44.0,0,0,32,1,44.4,63.8,12.5,4,2,1,1,0,1,3.1,125,4.8
Dennis Dixon,4470,QB,PIT,1,50.0,24,26,11.3,0.0,2,0,0.0,46.2,12,0,8,0.0,26,0,6,25,78.1,39.3,37.6,58.2,0,1,30,0,0.0,60.6,0.0,0,0,0,0,1,2,6.7,145,5.6
Todd Collins,131,QB,WAS,3,77.8,18,23,9.5,0.0,2,2,8.3,52.2,12,0,13,14.3,25,2,4,32,25.2,64.5,66.2,,1,0,26,1,15.4,71.6,8.0,2,0,0,2,0,1,3.8,144,6.3
Tarvaris Jackson,3009,QB,MIN,6,80.0,20,21,5.7,0.0,0,0,0.0,66.7,14,0,6,12.5,22,2,9,18,80.1,44.2,61.7,33.4,1,0,25,1,0.0,113.4,0.0,0,1,0,0,1,0,0.0,201,9.6
Chris Simms,1411,QB,DEN,2,50.0,12,17,9.5,0.0,1,0,0.0,29.4,5,0,12,16.7,22,1,1,10,76.8,29.1,29.5,49.6,3,1,24,0,41.7,15.1,22.7,5,0,0,1,0,1,4.2,23,1.4
Michael Vick,773,QB,PHI,8,58.3,12,13,13.8,0.0,0,1,7.1,46.2,6,0,4,14.3,15,1,4,24,80.1,59.2,64.9,55.3,1,0,16,0,0.0,93.8,0.0,0,2,0,0,1,0,0.0,86,6.6
Matt Flynn,4523,QB,GB,4,66.7,12,12,9.2,0.0,0,0,0.0,58.3,7,0,3,12.5,13,1,4,12,75.4,50.0,56.5,44.2,0,1,14,1,33.3,36.1,7.7,1,0,0,0,0,0,0.0,58,4.8
J.T. O'Sullivan,1169,QB,CIN,3,50.0,10,11,4.0,0.0,0,0,0.0,36.4,4,0,5,20.0,15,1,1,7,19.5,32.4,42.8,47.5,0,0,16,2,60.0,47.5,20.0,3,1,0,1,0,0,0.0,40,3.6
Rex Grossman,1338,QB,HST,1,50.0,6,9,11.8,0.0,1,0,0.0,33.3,3,0,4,0.0,10,0,1,13,23.8,34.8,50.9,33.0,1,1,10,0,0.0,5.6,0.0,0,1,0,1,0,0,0.0,33,3.7
Troy Smith,3790,QB,BLT,3,55.6,9,9,8.1,0.0,0,0,0.0,55.6,5,0,1,0.0,10,0,1,3,75.1,50.9,62.1,46.8,0,1,10,0,0.0,21.3,0.0,0,1,0,0,0,0,0.0,24,2.7
Tyler Thigpen,3833,QB,MIA,1,57.1,7,8,17.3,0.0,0,1,10.0,50.0,4,0,4,0.0,9,0,3,17,72.6,39.3,42.7,52.3,0,2,11,0,0.0,87.0,0.0,0,1,0,1,1,2,18.2,83,10.4
Caleb Hanie,4674,QB,CHI,2,66.7,6,7,7.0,0.0,0,0,0.0,42.9,3,0,2,25.0,7,1,0,6,69.6,51.5,51.7,,1,1,7,0,0.0,10.7,0.0,0,0,0,0,0,0,0.0,11,1.6
Ronnie Brown,2219,HB,MIA,4,100.0,4,6,13.0,0.0,1,0,0.0,33.3,2,0,5,50.0,7,2,2,17,75.6,60.7,73.0,56.2,0,0,7,0,20.0,84.7,14.3,1,0,0,1,1,0,0.0,22,3.7
Josh McCown,1085,QB,CAR,1,16.7,6,6,3.8,0.0,0,0,0.0,16.7,1,0,2,0.0,7,0,0,5,69.6,27.3,28.3,,0,0,7,0,50.0,39.6,14.3,1,0,0,0,0,1,14.3,2,0.3
Pat White,4967,QB,MIA,4,0.0,5,5,13.4,0.0,0,0,0.0,0.0,0,0,3,,8,0,1,17,34.0,31.0,32.8,39.7,0,0,8,0,33.3,39.6,12.5,1,2,0,0,0,0,0.0,0,0.0
Joshua Cribbs,2544,WR,CLV,3,50.0,4,4,12.3,0.0,0,0,0.0,25.0,1,0,1,50.0,4,1,1,8,26.3,63.8,43.2,74.5,0,1,4,0,0.0,6.3,0.0,0,0,0,0,0,1,25.0,18,4.5
Brian St. Pierre,1470,QB,ARZ,1,50.0,4,4,7.3,0.0,0,0,0.0,50.0,2,0,3,0.0,4,0,2,1,66.9,41.0,42.3,,0,1,4,0,0.0,56.3,0.0,0,0,0,0,1,0,0.0,12,3.0
Luke McCown,1827,QB,JAX,2,33.3,3,3,6.3,0.0,0,0,0.0,33.3,1,0,2,0.0,5,0,0,15,68.9,49.4,49.9,,0,0,6,0,100.0,42.4,40.0,2,0,0,0,0,0,0.0,2,0.7
Charlie Batch,367,QB,PIT,1,50.0,2,2,9.5,0.0,0,0,0.0,50.0,1,0,1,0.0,2,0,1,25,63.6,73.2,71.8,,0,0,2,0,0.0,79.2,0.0,0,0,0,0,0,0,0.0,17,8.5
Matt Gutierrez,3948,QB,KC,1,100.0,1,1,3.0,0.0,0,0,0.0,100.0,1,0,0,0.0,1,0,0,16,60.4,61.1,60.4,,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0
Braylon Edwards,2220,WR,NYJ,1,0.0,1,1,18.0,0.0,0,0,0.0,0.0,0,0,0,,1,0,0,22,34.4,70.2,55.2,,0,0,1,6,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Mark Bradley,2256,WR,TB,1,100.0,1,1,13.0,0.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,30,76.2,52.9,72.0,59.8,0,0,1,2,,118.8,0.0,0,0,0,0,0,0,0.0,26,26.0
