player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Maurice Jones-Drew,3005,HB,JAX,16,343,47,17,26.8,431,0,1606,3,10,47,954,41.1,43,75,15,6,0,58.3,74.5,87.0,,79.1,62.8,72.5,63.8,56,0,374,43,302,381,0,0,56,386,8,1606,954,2.78,4.7,1.24,0
Michael Turner,1873,HB,ATL,16,301,62,21,43.9,593,0,1352,4,5,62,919,64.3,35,63,2,3,0,67.3,71.5,82.8,,75.5,39.3,73.7,61.1,81,1,168,17,181,317,0,0,24,318,11,1352,919,3.05,4.5,0.93,0
Ray Rice,4369,HB,BLT,16,291,17,13,35.6,485,0,1364,5,14,17,721,20.9,30,53,3,2,0,79.7,77.2,63.9,54.1,57.3,89.9,71.7,59.1,70,1,704,76,367,327,0,0,99,367,12,1364,721,2.48,4.7,1.92,0
Marshawn Lynch,3628,HB,SEA,15,285,50,15,26.7,322,0,1204,2,5,50,722,44.5,30,63,29,4,0,66.7,76.4,50.7,52.6,58.3,56.2,78.3,56.5,47,2,212,28,185,310,0,0,36,313,12,1204,722,2.53,4.2,1.15,0
Frank Gore,2282,HB,SF,16,282,24,14,32.6,395,0,1211,7,3,24,716,22.9,31,53,28,2,0,75.7,62.7,30.7,,68.3,30.0,68.3,66.6,55,2,114,17,214,319,0,0,29,299,8,1211,716,2.54,4.3,0.53,0
Arian Foster,5398,HB,HST,13,278,25,18,32.9,403,0,1224,4,12,25,696,28.0,32,59,13,5,0,47.8,80.4,85.1,,74.9,71.0,78.2,58.2,43,0,623,53,265,298,0,0,62,331,10,1224,696,2.5,4.4,2.35,0
LeSean McCoy,4976,HB,PHI,15,273,48,19,38.7,507,0,1309,5,9,48,684,44.5,48,84,24,1,0,76.9,73.8,88.0,,48.0,52.9,80.7,60.1,60,1,315,48,388,313,0,0,61,321,17,1309,684,2.51,4.8,0.81,0
Cedric Benson,2221,HB,CIN,15,273,21,8,19.1,205,0,1076,3,1,21,563,15.8,24,53,7,5,0,49.6,67.5,84.0,,78.8,35.4,70.0,57.2,42,0,82,15,189,303,0,0,21,288,6,1076,563,2.06,3.9,0.43,0
Chris Johnson,4338,HB,TEN,16,262,29,16,36.9,389,0,1053,4,9,29,553,25.1,27,48,31,3,0,67.2,64.1,86.8,,68.1,57.2,64.6,57.2,48,2,418,57,328,298,0,0,75,319,4,1053,553,2.11,4.0,1.27,0
Steven Jackson,1745,HB,SL,15,260,23,19,35.3,404,0,1145,2,4,23,663,22.8,32,50,26,2,0,75.5,69.7,86.7,,72.7,57.3,69.9,57.1,47,0,333,42,292,282,0,0,56,302,5,1145,663,2.55,4.4,1.14,0
