player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Anthony Castonzo,6174,T,IND,16,100.0,1,14,84.3,89.5,66.7,9,22,726,100.0,100.0,97.6,6,33,2,1155,0,0,1136,1155,769,769,0,0,386,19
Jason Peters,2148,T,PHI,16,100.0,1,24,92.4,91.4,88.4,4,17,661,100.0,100.0,97.8,8,25,4,1146,0,0,1110,1146,699,699,0,3,447,33
Jahri Evans,3053,G,NO,16,100.0,1,20,70.7,61.9,70.4,7,34,696,100.0,100.0,96.2,2,47,6,1139,0,0,0,1139,740,740,1139,0,399,0
Ben Grubbs,3645,G,NO,16,100.0,0,20,71.3,76.2,63.7,6,27,692,100.0,100.0,97.5,3,34,1,1133,0,1133,0,1133,736,736,0,0,397,0
John Jerry,5598,G,NYG,16,100.0,1,21,67.3,73.6,62.4,2,23,642,100.0,100.0,97.4,5,29,4,1127,0,0,0,1127,679,679,1112,14,448,0
Manuel Ramirez,3733,C,DEN,16,100.0,0,10,70.5,72.4,68.7,3,16,622,100.0,100.0,98.3,5,20,1,1125,557,0,0,1125,669,669,568,0,456,0
Louis Vasquez,5001,G,DEN,16,100.0,1,10,75.5,71.5,75.3,9,13,623,100.0,100.0,97.6,6,26,4,1122,0,0,0,1122,670,670,551,570,452,1
J.D. Walton,5604,C,NYG,16,100.0,0,21,67.5,69.5,66.6,3,16,643,100.0,100.0,98.4,5,20,1,1118,1118,0,0,1118,680,680,0,0,438,0
Will Beatty,4983,T,NYG,16,100.0,0,21,80.0,78.5,73.7,10,19,641,100.0,100.0,97.3,9,32,3,1114,0,0,1112,1114,678,678,0,0,436,2
Kelvin Beachum,7229,T,PIT,16,100.0,1,25,83.2,91.2,68.1,3,9,643,100.0,100.0,98.0,7,19,7,1110,0,0,1110,1110,689,689,0,0,421,0
David DeCastro,7640,G,PIT,16,100.0,0,25,79.3,81.3,74.0,2,23,643,100.0,100.0,97.6,3,28,3,1110,0,0,0,1110,689,689,1110,0,421,0
Derek Newton,6366,T,HST,16,100.0,0,13,78.8,62.5,87.3,6,36,544,100.0,100.0,95.8,5,44,2,1108,0,0,11,1108,586,586,71,1026,522,0
Maurkice Pouncey,5543,C,PIT,16,100.0,1,25,77.4,86.2,73.4,2,16,643,100.0,100.0,98.4,5,19,1,1103,1103,0,0,1103,689,689,0,0,414,0
Chris Myers,2417,C,HST,16,100.0,2,13,74.8,66.7,76.5,3,20,543,100.0,100.0,97.7,4,24,1,1102,1102,0,0,1102,585,585,0,0,517,0
Duane Brown,4340,T,HST,16,100.0,1,13,80.3,84.4,73.0,9,14,541,100.0,100.0,97.5,7,25,2,1100,0,0,1093,1100,583,583,0,0,517,7
Rob Sims,3073,G,DET,16,100.0,1,11,73.9,75.0,69.2,6,22,662,100.0,100.0,97.1,4,33,5,1093,0,1093,0,1093,705,705,0,0,388,0
Orlando Franklin,6198,G,DEN,16,100.0,0,10,75.8,81.6,74.3,2,8,606,100.0,100.0,99.0,10,11,1,1092,0,1090,1,1092,652,652,0,1,440,0
Breno Giacomini,4464,T,NYJ,16,100.0,1,22,70.3,73.7,67.1,7,31,585,100.0,100.0,96.2,8,41,3,1088,0,0,0,1088,615,615,0,1088,473,0
D'Brickashaw Ferguson,2949,T,NYJ,16,100.0,0,22,75.3,82.6,61.8,9,27,585,100.0,100.0,96.8,2,37,1,1088,0,2,1073,1088,615,615,0,0,473,13
Willie Colon,3076,G,NYJ,16,100.0,2,22,64.7,83.4,62.2,3,20,579,100.0,100.0,97.8,14,24,1,1080,0,0,0,1080,609,609,1079,0,471,1
Ryan Kalil,3675,C,CAR,16,100.0,0,5,73.1,69.7,71.7,1,20,600,100.0,100.0,97.7,1,24,3,1076,1076,0,0,1076,639,639,0,0,437,0
Samson Satele,3676,C,MIA,16,100.0,1,17,63.4,63.9,64.4,12,15,643,100.0,100.0,97.4,7,30,3,1075,1073,0,0,1075,684,684,2,0,391,0
Chad Rinehart,4410,G,SD,16,100.0,0,27,62.7,64.0,58.4,6,31,630,100.0,100.0,96.4,3,41,4,1067,0,1067,0,1067,674,674,0,0,393,0
Jeremy Zuttah,4397,C,BLT,16,100.0,1,3,76.5,71.0,77.6,0,23,576,100.0,100.0,97.8,6,24,1,1067,1067,0,0,1067,626,626,0,0,441,0
Clint Boling,6253,G,CIN,16,100.0,1,7,72.7,66.3,71.0,10,15,545,100.0,100.0,97.2,4,28,3,1064,0,948,3,1064,584,584,0,112,480,0
Russell Bodine,8746,C,CIN,16,100.0,1,7,67.3,65.5,66.0,3,14,545,100.0,100.0,98.1,5,19,2,1064,1064,0,0,1064,584,584,0,0,480,0
Marshal Yanda,3702,G,BLT,16,100.0,1,3,93.6,86.5,93.4,5,11,574,100.0,100.0,98.3,5,18,2,1062,0,0,0,1062,623,623,984,78,439,0
Erik Pears,2737,G,BUF,16,100.0,2,4,65.0,59.4,64.4,6,23,629,100.0,100.0,97.1,5,33,4,1061,0,0,0,1061,663,663,1061,0,398,0
Seantrel Henderson,8871,T,BUF,16,100.0,0,4,57.3,62.7,48.4,12,28,629,100.0,100.0,95.9,4,46,6,1061,0,0,0,1061,663,663,0,1061,398,0
Travis Frederick,7812,C,DAL,16,100.0,0,9,86.8,79.9,85.1,2,11,517,100.0,100.0,98.5,6,14,1,1060,1060,0,0,1060,549,549,0,0,511,0
Tyron Smith,6161,T,DAL,16,100.0,1,9,87.1,89.2,81.8,8,13,517,100.0,100.0,97.6,9,23,2,1060,0,0,1060,1060,549,549,0,0,511,0
Zach Strief,3155,T,NO,16,100.0,0,20,76.4,76.4,69.9,6,31,653,100.0,100.0,96.7,3,40,3,1058,0,0,0,1058,693,693,0,1058,365,0
Eric Wood,4951,C,BUF,16,100.0,1,4,73.7,75.8,71.8,5,16,629,100.0,100.0,97.9,4,24,3,1058,1058,0,0,1058,663,663,0,0,395,0
Justin Britt,8699,T,SEA,16,100.0,0,29,71.9,54.4,84.8,6,38,547,100.0,100.0,95.1,8,49,5,1058,0,0,0,1058,573,573,0,1058,485,0
King Dunlap,4544,T,SD,16,100.0,0,27,82.6,80.1,76.3,5,35,625,100.0,100.0,96.3,4,43,3,1058,0,0,1058,1058,669,669,0,0,389,0
Lyle Sendlein,4062,C,ARZ,16,100.0,0,1,54.5,60.4,49.7,11,17,612,100.0,100.0,97.5,4,29,1,1057,1057,0,0,1057,664,664,0,0,393,0
Bobby Massie,7112,T,ARZ,16,100.0,1,1,71.6,69.8,70.6,8,27,612,100.0,100.0,96.0,6,42,7,1057,0,0,0,1057,664,664,0,1057,393,0
