player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Terence Steele,39461,T,DAL,17,100.0,3,9,63.6,54.9,70.2,9,37,664,100.0,100.0,95.6,7,52,6,1163,0,0,0,1163,722,722,0,1162,441,0
Drew Dalman,52270,C,CHI,17,100.0,0,6,77.4,69.0,78.9,1,22,643,100.0,100.0,98.1,3,24,1,1154,1154,0,0,1154,687,687,0,0,467,0
Greg Van Roten,7746,G,NYG,17,100.0,0,21,65.4,70.2,61.3,1,22,626,100.0,100.0,97.7,3,26,3,1151,0,0,1,1151,679,679,1146,3,472,0
Joe Thuney,10712,G,CHI,17,100.0,0,6,79.4,88.6,71.0,1,14,642,100.0,100.0,98.8,2,15,0,1149,0,1149,0,1149,686,686,0,0,463,0
Graham Barton,122367,C,TB,17,100.0,4,30,61.9,53.5,66.0,4,27,647,100.0,100.0,96.8,9,36,5,1135,925,0,209,1135,701,701,0,0,434,1
Jonah Jackson,37070,G,CHI,17,100.0,1,6,71.4,63.6,72.4,1,27,629,100.0,100.0,97.3,5,31,3,1133,0,0,0,1133,670,670,1133,0,463,0
Mike McGlinchey,46275,T,DEN,17,100.0,0,10,76.9,67.2,82.7,5,33,677,100.0,100.0,96.9,6,40,2,1129,0,0,0,1129,716,716,0,1121,413,8
O'Cyrus Torrence,102821,G,BUF,17,100.0,0,4,59.8,64.0,54.6,0,29,593,100.0,100.0,97.0,1,32,3,1129,0,0,1,1129,631,631,1126,2,498,0
Garett Bolles,11775,T,DEN,17,99.9,1,10,89.3,90.8,80.7,6,13,674,99.9,99.9,98.6,7,19,0,1125,0,0,1118,1126,713,714,0,0,412,7
Hjalte Froholdt,44959,C,ARZ,17,100.0,2,1,69.4,72.0,66.9,2,17,740,100.0,100.0,98.6,5,20,1,1121,1121,0,0,1121,788,788,0,0,333,0
Coleman Shelton,39316,C,LA,17,100.0,1,26,70.1,49.6,77.6,3,15,624,100.0,100.0,98.2,4,20,2,1119,1119,0,0,1119,663,663,0,0,456,0
Dominick Puni,163815,G,SF,17,100.0,0,28,70.2,63.8,69.1,1,28,629,100.0,100.0,97.5,4,30,1,1119,0,0,0,1119,664,664,1112,7,455,0
Colton McKivitz,29314,T,SF,17,100.0,0,28,83.5,72.2,90.3,8,21,630,100.0,100.0,97.2,5,32,3,1116,0,0,0,1116,665,665,1,1115,451,0
Orlando Brown Jr.,46227,T,CIN,17,100.0,0,7,60.3,62.0,59.8,10,27,691,100.0,100.0,96.0,10,46,9,1110,0,0,1108,1110,733,733,0,0,377,2
Tyler Smith,98385,G,DAL,16,100.0,3,9,73.5,65.4,81.1,0,23,641,100.0,100.0,97.7,11,26,3,1110,0,906,203,1110,700,700,0,0,410,0
Ted Karras,10855,C,CIN,17,100.0,0,7,63.1,70.7,59.4,2,16,691,100.0,100.0,98.6,6,19,1,1110,1110,0,0,1110,733,733,0,0,377,0
Quinn Meinerz,112915,G,DEN,17,100.0,2,10,90.9,70.8,92.1,5,18,669,100.0,100.0,98.0,3,25,2,1109,0,0,0,1109,708,708,1109,0,401,0
Ryan Neuzil,41123,C,ATL,17,100.0,1,2,77.4,59.3,82.1,4,9,589,100.0,100.0,98.7,4,14,1,1096,1096,0,0,1096,627,627,0,0,469,0
Elijah Wilkinson,46238,T,ATL,17,100.0,1,2,62.9,61.0,68.3,9,31,589,100.0,100.0,95.6,12,46,6,1096,0,0,0,1096,627,627,0,1096,469,0
