player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Louis Vasquez,5001,G,DEN,16,100.0,0,10,89.3,91.3,82.5,2,13,695,100.0,100.0,98.9,3,15,0,1207,0,0,0,1207,740,740,1101,106,467,0
Manuel Ramirez,3733,C,DEN,16,100.0,0,10,86.5,81.1,85.5,2,14,693,100.0,100.0,98.7,5,17,1,1198,1198,0,0,1198,738,738,0,0,460,0
Zane Beadles,5570,G,DEN,16,100.0,1,10,76.9,67.7,78.7,9,32,693,100.0,100.0,96.9,4,42,1,1198,0,1198,0,1198,738,738,0,0,460,0
Ryan Wendell,4602,C,NE,16,99.9,1,19,71.4,59.9,73.8,7,24,667,100.0,100.0,96.8,5,37,6,1196,1197,0,0,1197,714,714,0,0,482,0
Logan Mankins,2249,G,NE,16,100.0,2,19,76.9,73.7,75.4,5,21,665,100.0,100.0,96.5,7,36,10,1184,0,1085,99,1184,712,712,0,0,472,0
Eric Wood,4951,C,BUF,16,100.0,3,4,72.2,85.1,66.9,2,10,604,100.0,100.0,99.0,10,12,0,1161,1161,0,0,1161,645,645,0,0,516,0
Cordy Glenn,7045,T,BUF,16,100.0,0,4,82.4,82.0,76.1,5,23,604,100.0,100.0,97.4,6,30,2,1161,0,0,1161,1161,645,645,0,0,516,0
Erik Pears,2737,T,BUF,16,100.0,2,4,66.8,71.1,60.2,6,29,604,100.0,100.0,96.4,6,39,4,1161,0,0,0,1161,645,645,0,1161,516,0
Will Montgomery,3179,C,WAS,16,100.0,1,32,80.5,78.3,81.3,3,17,689,100.0,100.0,98.3,10,22,2,1145,1145,0,0,1145,713,713,0,0,432,0
Chris Chester,3001,G,WAS,16,100.0,0,32,73.5,64.7,73.5,4,38,689,100.0,100.0,96.5,5,45,3,1145,0,0,0,1145,713,713,1145,0,432,0
Tyler Polumbus,4581,T,WAS,16,100.0,0,32,78.1,76.2,71.2,9,28,689,100.0,100.0,96.7,1,41,4,1145,0,0,5,1145,713,713,0,1140,432,0
Kraig Urbik,5002,G,BUF,16,100.0,0,4,77.2,78.4,71.6,5,13,592,100.0,100.0,98.1,2,20,2,1143,0,0,0,1143,633,633,1143,0,510,0
Trent Williams,5529,T,WAS,16,100.0,2,32,91.8,88.3,89.1,6,21,688,100.0,100.0,96.9,6,35,8,1143,0,0,1137,1143,712,712,0,0,431,6
Larry Warford,7846,G,DET,16,100.0,1,11,85.1,86.6,80.0,5,10,665,100.0,100.0,98.9,4,15,0,1138,0,0,0,1138,694,694,1136,0,444,0
Rob Sims,3073,G,DET,16,100.0,1,11,73.0,78.2,66.5,5,23,665,100.0,100.0,97.7,5,29,1,1138,0,1136,0,1138,694,694,0,0,444,0
Marshal Yanda,3702,G,BLT,16,100.0,0,3,83.8,81.5,82.5,3,24,683,100.0,100.0,97.7,7,29,2,1136,0,0,0,1136,723,723,1136,0,413,0
Gino Gradkowski,7098,C,BLT,16,99.9,0,3,69.2,65.0,71.7,7,26,683,100.0,100.0,97.1,3,36,3,1135,1136,0,0,1136,723,723,0,0,412,0
Dominic Raiola,820,C,DET,16,100.0,0,11,88.1,86.7,84.2,4,8,665,100.0,100.0,99.1,1,12,0,1135,1134,0,0,1135,694,694,0,0,441,0
Kory Lichtensteiger,4422,G,WAS,16,100.0,1,32,75.7,76.7,71.8,5,22,675,100.0,100.0,97.7,4,29,2,1128,0,1128,0,1128,698,698,0,0,430,0
Ben Grubbs,3645,G,NO,16,100.0,0,20,82.4,84.6,75.9,5,20,699,100.0,100.0,97.8,5,28,3,1126,0,1125,0,1126,740,740,1,0,386,0
Brian De La Puente,4679,C,NO,16,100.0,0,20,77.0,84.4,70.4,3,9,698,100.0,100.0,98.7,4,15,3,1125,1125,0,0,1125,739,739,0,0,386,0
Josh Sitton,4449,G,GB,16,100.0,0,12,90.1,93.5,83.2,0,7,645,100.0,100.0,99.3,6,8,1,1122,0,1120,1,1122,685,685,0,1,437,0
Chris Myers,2417,C,HST,16,100.0,0,13,90.8,74.2,92.3,5,22,681,100.0,100.0,97.9,2,28,1,1121,1121,0,0,1121,710,710,0,0,411,0
David Bakhtiari,7891,T,GB,16,100.0,3,12,70.5,72.1,62.7,4,27,645,100.0,100.0,96.4,11,39,8,1119,0,0,1119,1119,685,685,0,0,434,0
Dan Connolly,2540,G,NE,16,100.0,0,19,66.6,59.2,67.4,12,27,622,100.0,100.0,96.4,3,42,3,1116,0,0,0,1116,664,664,1116,0,452,0
Mitchell Schwartz,7041,T,CLV,16,100.0,1,8,76.1,74.0,72.6,19,35,750,100.0,100.0,94.9,4,65,11,1110,0,0,2,1110,779,779,0,1107,331,0
Alex Mack,4944,C,CLV,16,100.0,0,8,85.5,88.4,82.0,5,18,750,100.0,100.0,98.2,3,25,2,1110,1109,0,0,1110,779,779,0,0,331,0
Joe Thomas,3619,T,CLV,16,100.0,1,8,90.3,94.0,75.3,9,26,750,100.0,100.0,97.4,11,37,2,1109,0,0,1100,1109,779,779,0,0,330,8
Riley Reiff,7029,T,DET,16,100.0,0,11,70.5,72.7,68.0,8,34,647,100.0,100.0,95.7,5,49,7,1107,0,0,1105,1107,675,675,0,0,432,0
Todd Herremans,2343,G,PHI,16,100.0,0,24,79.0,56.8,83.6,10,34,586,100.0,100.0,95.6,5,48,4,1105,1,0,0,1105,623,623,1103,1,482,0
Evan Mathis,2296,G,PHI,16,100.0,1,24,95.0,80.7,94.9,6,16,586,100.0,100.0,97.8,7,24,2,1105,0,1104,0,1105,623,623,1,0,482,0
Lane Johnson,7786,T,PHI,16,99.8,2,24,73.5,63.0,82.2,8,39,583,99.7,99.7,94.3,8,57,10,1102,0,0,44,1104,620,622,0,1049,482,0
Andre Smith,4929,T,CIN,16,100.0,0,7,79.6,73.0,79.9,2,27,628,100.0,100.0,96.7,4,35,6,1098,0,0,0,1098,655,655,0,1094,443,4
Jason Kelce,6343,C,PHI,16,100.0,0,24,88.8,80.8,89.3,1,8,585,100.0,100.0,98.7,7,12,3,1096,1096,0,0,1096,622,622,0,0,474,0
