player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Desmond Clark,529,TE,CHI,11,6.4,0,61.3,,0,0,0,13.6,3,7,6,0,44.9,74.1,65.4,51.0,52.2,79.7,177,1,26,12.2,27,222,0,19,86.5,192,11.7,26,80.7,31,2,4.1,9,145,55,2.9,7.6,0.76
Ryan Grant,2609,HB,GB,16,-0.2,3,83.3,,0,0,0,10.7,3,9,12,1,52.7,86.6,57.1,69.1,44.4,0.0,0,0,27,19.2,62,323,0,25,75.2,243,1.9,6,94.0,30,0,3.4,11,197,202,8.1,7.9,0.81
Brian Westbrook,1094,HB,PHI,8,1.4,1,83.3,,0,0,0,0.0,0,7,24,0,85.7,85.4,60.6,56.0,61.1,0.0,0,0,34,22.4,36,161,0,25,74.5,120,9.3,15,102.9,30,1,10.6,17,181,181,7.2,7.2,1.51
Brandon Jacobs,2327,HB,NYG,15,-2.1,3,60.0,,0,0,0,21.7,5,5,21,0,29.5,71.0,42.8,74.1,42.3,0.0,0,1,74,39.0,106,272,1,18,58.1,158,1.5,4,74.9,30,1,0.4,1,184,232,12.9,10.2,1.16
Jerramy Stevens,1035,TE,TB,16,7.7,1,50.0,,0,0,0,11.8,2,6,30,0,51.5,73.0,46.2,29.0,47.9,68.9,155,0,17,14.7,33,225,2,15,80.9,182,20.4,46,72.9,30,1,10.7,24,130,33,2.2,8.7,0.71
Darren McFadden,4318,HB,OAK,12,4.2,5,70.0,,0,0,0,8.7,2,10,23,1,65.1,24.2,52.8,75.3,73.0,0.0,0,1,48,26.0,53,204,0,21,66.2,135,0.0,0,80.6,30,0,23.0,47,245,198,9.4,11.7,1.81
Rock Cartwright,1211,HB,WAS,11,-0.2,5,90.0,,0,0,0,0.0,0,9,32,0,86.5,85.8,61.8,55.7,79.6,0.0,0,0,51,12.2,20,164,0,27,84.1,138,2.4,4,111.4,30,1,6.1,10,242,251,9.3,9.0,1.75
Leonard Pope,3017,TE,KC,13,5.8,4,69.0,,0,0,0,9.1,2,8,16,0,58.1,74.4,58.6,59.5,47.2,62.3,207,0,29,27.1,90,332,4,20,70.5,234,33.4,111,96.0,29,1,0.6,2,174,78,3.9,8.7,0.74
Ahmad Bradshaw,3866,HB,NYG,15,-2.2,8,72.4,,0,0,0,19.2,5,6,21,0,29.8,46.7,56.6,87.6,41.4,0.0,0,0,55,40.1,108,269,2,21,56.1,151,0.4,1,92.2,29,0,1.1,3,207,272,13.0,9.9,1.37
Dwayne Jarrett,3661,WR,CAR,13,12.0,1,58.6,,0,0,0,5.6,1,10,5,0,68.7,73.9,63.4,,60.1,0.0,0,0,30,0.0,0,208,1,17,94.7,197,36.1,75,90.6,29,1,63.9,133,196,47,2.8,11.5,0.99
Daniel Coats,3908,TE,CIN,16,5.0,2,55.2,,0,0,0,30.4,7,3,7,2,26.9,16.1,46.4,69.2,28.6,61.4,159,1,23,20.8,54,259,2,16,74.5,193,17.4,45,55.2,29,0,1.9,5,150,101,6.3,9.4,0.78
Marty Booker,487,WR,ATL,16,9.4,0,55.2,,0,0,0,5.9,1,9,2,0,53.3,73.8,58.7,67.9,57.1,0.0,0,3,27,1.0,2,198,0,16,93.9,186,71.2,141,46.0,29,1,28.3,56,181,56,3.5,11.3,0.97
Martellus Bennett,4375,TE,DAL,14,7.0,2,51.7,,0,0,0,31.8,7,8,9,0,27.7,73.5,61.0,63.2,43.0,63.8,164,0,21,20.6,53,257,6,15,75.5,194,14.4,37,68.0,29,0,20.2,52,159,72,4.8,10.6,0.82
Brandon Stokley,498,WR,DEN,16,6.8,0,67.9,,0,0,0,13.6,3,16,10,0,46.6,74.4,59.7,,60.1,0.0,0,1,87,0.0,0,203,1,19,94.6,192,89.7,182,132.0,28,4,10.3,21,327,206,10.8,17.2,1.7
Jerheme Urban,1709,WR,ARZ,9,9.0,0,64.3,,0,0,0,5.3,1,9,1,0,55.6,73.9,56.6,,54.7,0.0,0,2,40,0.0,0,215,0,18,94.9,204,73.5,158,53.6,28,0,26.5,57,186,65,3.6,10.3,0.91
