player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Bo Nix,97790,QB,DEN,17,75.6,562,612,8.0,2.86,14,31,4.8,63.4,388,1,218,8.7,679,37,0.08,205,10,76.9,75.0,74.4,63.0,6,11,718,8,45.9,10.1,87.8,3.2,22,33,1,29,25,20,2.8,3931,6.4
Dak Prescott,10769,QB,DAL,17,76.6,564,600,8.6,2.79,13,31,4.8,67.3,404,0,233,6.5,659,28,0.15,230,9,66.9,86.9,85.4,61.3,6,10,712,5,50.2,13.3,99.5,4.7,31,26,3,14,30,19,2.7,4552,7.6
Matthew Stafford,4924,QB,LA,17,74.3,560,597,9.5,2.71,5,47,7.4,65.0,388,0,201,6.7,627,28,0.21,236,26,74.7,93.5,93.3,30.8,7,8,663,5,53.4,11.4,109.2,3.7,23,7,3,22,46,19,2.9,4707,7.9
Jared Goff,10635,QB,DET,17,80.2,514,578,7.0,2.57,16,16,2.7,68.0,393,0,224,4.6,623,19,0.14,225,11,69.6,77.7,76.8,52.6,10,8,648,5,48.3,17.0,105.5,6.1,38,5,2,36,34,13,2.0,4564,7.9
Caleb Williams,144622,QB,CHI,17,70.9,506,568,8.9,3.25,16,28,4.7,58.1,330,0,222,8.1,637,29,0.05,208,6,67.7,75.4,71.1,79.5,2,7,679,10,45.5,10.8,90.1,3.8,24,43,2,42,27,19,2.8,3942,6.9
Trevor Lawrence,77632,QB,JAX,17,73.6,516,560,9.5,2.92,18,29,4.9,60.9,341,0,243,10.3,649,39,0.05,213,15,68.7,84.7,81.5,77.6,10,12,690,9,47.1,16.9,91.0,6.3,41,42,3,13,29,22,3.2,4007,7.2
Baker Mayfield,46518,QB,TB,17,71.9,512,543,8.6,2.9,9,28,4.8,63.2,343,0,222,6.8,630,25,-0.02,198,30,41.4,70.0,64.8,86.8,8,11,680,5,45.1,16.2,90.6,5.7,36,43,1,13,26,28,4.1,3693,6.8
Cam Ward,133244,QB,TEN,17,70.7,485,540,7.8,3.0,9,21,3.7,59.8,323,0,230,5.8,623,20,-0.21,163,31,30.0,58.4,56.4,70.1,6,7,662,3,38.0,23.9,80.2,8.8,55,24,3,37,15,23,3.5,3169,5.9
Justin Herbert,28237,QB,LAC,16,76.2,475,512,8.3,2.93,6,22,4.1,66.4,340,0,263,6.1,616,22,0.06,194,27,67.5,83.2,78.5,83.2,11,13,646,4,49.5,20.5,94.1,8.8,54,49,0,20,26,15,2.3,3727,7.3
Patrick Mahomes,11765,QB,KC,14,73.3,461,502,8.3,2.94,9,23,4.3,62.7,315,0,205,6.8,594,23,0.12,197,16,70.2,76.0,70.7,86.7,4,11,636,5,50.0,16.6,89.6,5.7,34,53,2,26,22,20,3.1,3587,7.1
