player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jonathan Taylor,57488,HB,IND,17,323,67,16,33.1,524,0,1585,4,9,67,1136,72.4,36,84,14,2,187,80.6,78.1,68.2,,58.6,52.9,83.5,53.4,83,1,378,46,412,363,0,0,54,369,18,1585,1136,3.52,4.9,0.92,131
Christian McCaffrey,11763,HB,SF,17,311,47,11,17.8,214,0,1202,5,23,47,859,46.8,27,70,28,2,86,81.6,78.3,91.1,60.0,40.6,91.2,69.1,55.1,41,0,924,102,517,342,0,0,121,413,10,1202,859,2.76,3.9,1.79,211
James Cook,83666,HB,BUF,17,309,62,16,26.8,435,0,1621,2,8,62,976,64.6,39,68,4,6,159,37.8,83.1,56.3,,35.7,63.1,84.0,55.4,64,1,291,33,261,343,0,0,39,342,12,1621,976,3.16,5.2,1.11,149
Derrick Henry,10679,HB,BLT,17,307,43,21,37.9,605,0,1595,1,5,43,1103,53.6,36,79,3,4,111,56.9,80.4,85.6,48.9,65.9,59.1,79.4,56.4,59,1,150,15,154,348,0,0,19,322,16,1595,1103,3.59,5.2,0.97,193
Bijan Robinson,123126,HB,ATL,17,287,86,16,31.9,472,0,1478,3,26,86,1133,120.8,36,63,2,4,62,49.4,86.6,90.7,,30.4,88.1,83.4,41.9,93,1,820,79,437,317,0,0,99,366,7,1478,1133,3.95,5.1,1.88,217
Saquon Barkley,45791,HB,PHI,16,280,52,13,30.2,344,1,1140,3,9,52,759,52.2,28,48,24,1,96,86.7,67.9,90.8,,42.3,47.2,76.5,31.3,65,2,273,37,324,331,0,0,48,317,7,1140,759,2.71,4.1,0.84,171
Ashton Jeanty,157196,HB,LV,17,266,61,5,17.7,173,1,975,4,23,61,815,80.2,24,44,23,2,88,66.8,70.4,63.9,,34.1,66.7,73.1,53.6,64,2,346,55,359,304,0,0,68,321,5,975,815,3.06,3.7,0.96,168
Travis Etienne Jr.,57185,HB,JAX,17,260,46,9,27.2,301,0,1107,4,11,46,791,58.6,26,48,15,1,116,75.4,72.6,89.3,,69.3,60.2,73.1,64.7,71,0,292,36,277,315,0,0,47,296,7,1107,791,3.04,4.3,1.05,128
Kyren Williams,97118,HB,LA,17,259,45,12,19.7,247,1,1252,2,2,45,812,49.9,26,74,26,2,134,75.8,83.5,87.2,,65.8,57.9,87.0,57.7,34,1,281,36,350,290,0,0,44,295,10,1252,812,3.14,4.8,0.8,121
Javonte Williams,77803,HB,DAL,16,252,54,13,25.6,308,0,1201,1,7,54,896,75.6,26,67,9,2,109,73.9,75.3,64.5,,66.5,45.7,81.7,56.9,66,1,137,35,343,278,0,0,46,287,11,1201,896,3.56,4.8,0.4,140
Jahmyr Gibbs,122474,HB,DET,17,243,62,14,40.6,497,0,1223,4,25,62,716,80.1,27,56,11,2,100,75.8,85.6,64.7,,50.5,90.3,81.1,68.2,78,1,616,77,368,275,0,0,92,320,13,1223,716,2.95,5.0,1.67,137
Breece Hall,97636,HB,NYJ,16,243,40,17,36.8,392,0,1065,1,5,40,732,48.6,26,57,22,2,73,73.3,83.5,59.6,55.1,45.8,75.2,83.7,68.2,59,1,350,36,256,291,0,0,40,279,4,1065,732,3.01,4.4,1.37,164
Tony Pollard,27126,HB,TEN,17,242,39,10,22.9,248,1,1082,3,5,39,776,51.3,27,48,31,4,113,51.2,67.0,31.0,,58.0,51.8,70.5,75.9,65,2,206,33,304,264,0,0,39,275,5,1082,776,3.21,4.5,0.68,127
De'Von Achane,124305,HB,MIA,16,238,49,24,46.1,622,0,1350,4,23,49,977,96.9,40,56,17,1,79,84.8,88.9,65.6,,34.5,75.0,91.0,57.6,59,1,488,67,377,268,0,0,85,305,8,1350,977,4.11,5.7,1.29,145
Rico Dowdle,40693,HB,CAR,17,236,34,10,24.0,258,0,1076,2,7,34,744,47.0,24,51,5,2,113,73.7,64.4,12.3,,24.6,55.9,71.5,43.2,53,3,297,39,251,267,0,0,46,275,6,1076,744,3.15,4.6,1.18,119
Josh Jacobs,45953,HB,GB,15,234,47,10,22.2,206,0,929,0,7,47,717,61.3,23,55,12,2,101,72.3,86.1,55.6,,37.6,90.0,82.8,46.2,40,1,282,36,218,266,0,0,43,270,13,929,717,3.06,4.0,1.29,129
Chase Brown,77787,HB,CIN,17,232,46,9,21.5,219,0,1019,4,17,46,711,64.1,24,52,7,2,106,74.9,75.1,90.3,,27.7,71.9,77.2,56.1,37,1,437,69,400,261,0,0,86,301,6,1019,711,3.06,4.4,1.09,112
