player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Gary Russell,4059,FB,OAK,9,3,0,0,,0,0,0,1,3,0,5,33.3,0,1,23,0,0,73.5,59.9,79.0,,34.7,63.7,46.4,68.9,2,0,96,12,36,79,0,0,13,15,0,0,5,1.67,0.0,2.67,0
Delanie Walker,3120,TE,SF,16,3,2,1,45.7,16,0,35,1,4,2,25,208.3,2,2,28,1,0,26.6,62.9,59.9,,76.1,57.2,71.7,71.0,16,2,233,21,242,227,0,0,32,24,0,35,25,8.33,11.7,0.96,0
Michael Robinson,3045,HB,SF,12,3,0,0,0.0,0,0,2,1,1,0,9,33.3,0,1,28,0,0,71.3,56.8,75.5,,79.4,51.1,61.7,45.9,4,0,24,6,41,8,0,0,9,9,0,2,9,3.0,0.7,0.59,0
Santonio Holmes,2970,WR,PIT,16,3,0,0,0.0,0,0,6,8,12,0,2,9.8,0,0,25,0,0,82.7,81.7,90.5,53.5,,80.1,50.4,81.9,7,1,1248,79,588,398,0,0,127,82,0,6,2,0.67,2.0,2.12,0
Quinten Lawrence,5099,WR,KC,4,2,1,2,100.0,42,0,42,0,0,1,3,50.0,2,2,16,0,0,66.7,66.8,74.9,,,54.5,78.4,60.2,26,0,9,1,14,5,0,0,2,3,0,42,3,1.5,21.0,0.64,0
Chansi Stuckey,3851,WR,CLV,15,2,2,0,0.0,0,0,6,8,4,2,8,75.0,0,0,8,0,0,77.0,57.0,83.3,,,54.4,67.0,69.6,6,0,318,30,284,201,0,0,64,32,0,6,8,4.0,3.0,1.12,0
Tyler Thigpen,3833,QB,MIA,2,2,0,0,0.0,0,0,2,0,0,0,1,0.0,0,0,17,0,0,72.6,39.3,74.1,42.7,,,52.3,60.0,2,0,0,0,0,6,1,1,0,1,0,3,1,0.5,1.5,,0
Steve Breaston,3758,WR,ARZ,15,2,0,2,100.0,44,0,44,2,2,0,8,14.0,2,2,1,0,0,80.4,69.8,57.1,,,67.9,68.1,83.0,25,2,712,55,484,142,0,0,79,57,0,44,8,4.0,22.0,1.47,0
Johnnie Lee Higgins,3715,WR,OAK,15,2,0,1,90.5,19,0,21,6,0,0,0,0.0,1,1,23,0,0,75.1,57.4,85.3,,,55.8,63.4,64.9,19,0,263,19,226,129,0,0,40,21,0,21,0,0.0,10.5,1.16,0
Montell Owens,3452,FB,JAX,4,2,0,0,0.0,0,0,1,1,0,0,1,0.0,0,0,15,0,0,65.2,49.1,70.1,,74.4,27.1,58.3,60.0,3,0,0,0,6,3,0,0,1,2,0,1,1,0.5,0.5,0.0,0
Pierre Garcon,4519,WR,IND,14,2,1,1,170.0,17,2,10,4,4,1,11,56.1,1,1,14,1,0,51.8,62.9,16.5,,,62.2,63.5,80.1,17,9,765,47,511,292,0,0,88,49,0,10,11,5.5,5.0,1.5,0
Miles Austin,3211,WR,DAL,16,2,0,0,0.0,0,0,-2,3,13,0,2,15.7,1,1,9,1,0,53.5,84.1,59.4,,,85.4,28.1,73.0,11,2,1320,81,484,194,0,0,120,83,0,-2,2,1.0,-1.0,2.73,0
Nate Washington,2832,WR,TEN,16,2,0,0,0.0,0,0,15,7,2,0,2,4.1,1,1,31,1,0,79.3,70.8,89.5,,,67.7,54.6,84.7,14,1,576,47,483,387,0,0,89,49,0,15,2,1.0,7.5,1.19,0
