year,chance_level,trials,unique_rosters,construction_cap_probability,heldout_cap_probability,managed_forecast_season_points,actual_cap_feasible_rate,actual_cap_overage,actual_salary_spend,affordable_actual_rosters,actual_points_if_affordable,point_salary_spend
2022,0.6,250,250,0.676,0.6257,1563.0658603515626,0.244,18.344,313.428,61,1461.6826091828893,305.56099009132384
2022,0.7,250,250,0.7636000000000001,0.7030599999999999,1561.4861538085938,0.256,16.708,311.548,64,1469.0481224060059,303.7791310682297
2022,0.8,250,250,0.8438000000000001,0.78542,1559.9744965820312,0.3,15.2,309.468,75,1454.1447965494792,301.51519082832334
2022,0.9,250,250,0.928,0.8694,1557.2766767578125,0.32,14.532,308.456,80,1456.2817550659179,298.7913506717682
2023,0.6,250,250,0.6666,0.6229600000000001,1529.4460224609375,0.052,32.216,330.036,13,1727.3246319110576,309.75285869646075
2023,0.7,250,250,0.758,0.7114199999999999,1527.5493662109375,0.068,29.716,327.464,17,1724.308256261489,307.6235295996666
2023,0.8,250,250,0.84,0.7933600000000001,1525.1925380859375,0.084,28.292,325.58,21,1730.5200137183779,305.48270426368714
2023,0.9,250,250,0.9242,0.87036,1523.5907958984376,0.132,24.84,321.688,33,1726.8327414772727,302.58541671705245
2024,0.6,250,250,0.6774,0.6249,1635.6350439453124,0.172,26.18,322.264,43,1590.6534906431687,302.30081206989286
2024,0.7,250,250,0.762,0.7034199999999999,1634.4224038085938,0.172,24.416,320.404,43,1594.573003724564,300.50677815008163
2024,0.8,250,250,0.8443999999999999,0.78446,1631.6733041992188,0.236,21.7,316.896,59,1581.6528713420287,298.60602614212036
2024,0.9,250,250,0.9218,0.85966,1631.2192041015626,0.24,21.424,316.132,60,1581.2713236490886,296.09449112176895
2025,0.6,250,250,0.6457999999999999,0.57466,1625.7459321289064,0.14,25.352,321.904,35,1542.1548583984375,303.2589548139572
2025,0.7,250,250,0.7457999999999999,0.6735599999999999,1623.4979311523437,0.196,23.52,319.652,49,1556.6085778061224,301.00932200717926
2025,0.8,250,250,0.8298000000000001,0.75802,1620.9167001953124,0.188,21.092,317.14,47,1568.2191421833445,298.6541867046356
2025,0.9,250,250,0.918,0.84088,1617.7065942382812,0.216,19.388,314.796,54,1560.2922227647568,296.04050110673904
