comparison,year,comparisons,roster_changed_rate,both_actual_cap_feasible_rate,mean_joint_feasible_actual_points_effect,mean_managed_forecast_season_points_effect,mean_heldout_cap_probability_effect,mean_actual_cap_feasible_effect,mean_actual_cap_overage_effect,mean_actual_salary_spend_effect,mean_point_salary_spend_effect
70_minus_60,2022,250,0.624,0.22,0.6345569957386363,-1.57970654296875,0.07736,0.012,-1.636,-1.88,-1.7818590230941773
70_minus_60,2023,250,0.632,0.044,-1.7454501065340908,-1.89665625,0.08846,0.016,-2.5,-2.572,-2.1293290967941285
70_minus_60,2024,250,0.584,0.14,2.3388357979910714,-1.21264013671875,0.07851999999999999,0.0,-1.764,-1.86,-1.7940339198112487
70_minus_60,2025,250,0.772,0.124,5.058723695816532,-2.2480009765625,0.09889999999999999,0.056,-1.832,-2.252,-2.2496328067779543
80_minus_70,2022,250,0.652,0.24,-12.347996012369792,-1.5116572265625,0.08236,0.044,-1.508,-2.08,-2.263940239906311
80_minus_70,2023,250,0.712,0.056,6.898585728236607,-2.356828125,0.08194,0.016,-1.424,-1.884,-2.1408253359794616
80_minus_70,2024,250,0.64,0.14,1.0971540178571428,-2.749099609375,0.08104,0.064,-2.716,-3.508,-1.9007520079612732
80_minus_70,2025,250,0.772,0.144,0.06443277994791667,-2.58123095703125,0.08446,-0.008,-2.428,-2.512,-2.35513530254364
90_minus_80,2022,250,0.776,0.248,-6.41064453125,-2.69781982421875,0.08398,0.02,-0.668,-1.012,-2.723840156555176
90_minus_80,2023,250,0.756,0.08,-1.02899169921875,-1.6017421875,0.077,0.048,-3.452,-3.892,-2.897287546634674
90_minus_80,2024,250,0.732,0.188,-0.9765962641289894,-0.45410009765625,0.0752,0.004,-0.276,-0.764,-2.5115350203514097
90_minus_80,2025,250,0.872,0.136,-11.066470875459558,-3.21010595703125,0.08286,0.028,-1.704,-2.344,-2.613685597896576
