league,method,match_rank,player,season,year_exp,avg_pick,template_distance,template_sample_prob,managed_residual,centered_managed_residual,distance_overall_log_adp
dk,production,1,Brock Bowers,2025,1.0,18.36,0.6036663322470438,0.04999999999999999,-0.26348904987000843,-0.37142323458139254,0.009494561111478617
dk,production,2,George Kittle,2020,3.0,22.38,0.6252941840973201,0.049893330307498956,1.6953378141983801,1.587403629486996,0.023545327783244585
dk,production,3,Kyle Pitts,2022,1.0,33.08,0.6512588136101096,0.04999999999999999,-6.104555718845057,-6.212489903556441,0.08953509435772822
dk,production,4,Jordan Reed,2016,3.0,38.26,0.6768205019302436,0.035278307926867286,-0.727954545454546,-0.8358887301659301,0.11431353675033351
dk,production,5,George Kittle,2019,2.0,29.36,0.7391945683898599,0.036555256773346374,1.9672958369072067,1.8593616521958225,0.06929409502755535
dk,production,6,George Kittle,2021,4.0,29.2,0.7572490011920563,0.0394473023098868,1.851123942080184,1.7431897573687998,0.06836876525264923
dk,production,7,Jordan Cameron,2014,3.0,55.7,0.8486652994904205,0.021648038032605073,-4.416319444444444,-4.524253629155828,0.1786814063977361
dk,production,8,Mark Andrews,2022,4.0,24.1,0.8516097146656572,0.03415192713327656,-2.321107790505099,-2.4290419752164834,0.035976427923011256
dk,production,9,Travis Kelce,2017,4.0,32.89,0.9280966735163534,0.021840257266602645,2.6120165021875277,2.5040823174761435,0.08855605788197174
dk,production,10,Mark Andrews,2020,2.0,43.68,0.9380482583218583,0.0254532949072376,0.39459239320744466,0.28665820849606055,0.13695979156791704
dk,production,11,Rob Gronkowski,2012,2.0,18.62,0.949666007663849,0.015662820562412305,2.6050000000000004,2.4970658152886163,0.007158418429294655
dk,production,12,Travis Kelce,2015,2.0,50.59,0.9825639024896169,0.017441943854229335,0.5308333333333337,0.4228991486219496,0.1621421256767357
dk,production,13,Antonio Gates,2008,2.0,45.09,0.992279498872406,0.011419816175521694,-0.5491071428571423,-0.6570413275685265,0.14240072136824222
dk,production,14,Jermichael Finley,2010,2.0,50.56,1.0096888854531356,0.012388045858930472,2.075000000000001,1.967065815288617,0.16204026338451094
dk,production,15,Trey Mcbride,2025,3.0,25.75,1.0200955315174682,0.028873121873455875,4.680056232171523,4.572122047460139,0.04712561641812041
dk,production,16,Jimmy Graham,2013,3.0,20.32,1.0862670569641577,0.012727847912093318,4.26416666666667,4.156232481955286,0.007393233296153046
dk,production,17,Antonio Gates,2010,4.0,42.48,1.1161209366559537,0.010128397196792528,6.001249999999999,5.893315815288615,0.13219221256460345
dk,production,18,Darren Waller,2021,5.0,23.44,1.1201539645597762,0.018979490432201238,-2.471624187833708,-2.579558372545092,0.031310102313163335
dk,production,19,Julius Thomas,2014,3.0,28.62,1.1225796301638709,0.012611393076797322,-0.7729166666666671,-0.8808508513780513,0.06497285186785895
dk,production,20,Greg Olsen,2009,2.0,72.53,1.133497991692773,0.00926249311743557,-1.73625,-1.8441841847113842,0.2241980156957062
dk,production,21,Tj Hockenson,2021,2.0,59.32,1.1406918626101608,0.018286177632082082,0.5080478786265736,0.40011369391518953,0.18951938975304128
dk,production,22,Rob Gronkowski,2015,5.0,9.48,1.1994770811502953,0.011658513558915652,3.1465178571428574,3.038583672431473,0.11697170793222145
dk,production,23,Sam Laporta,2024,1.0,34.48,1.2032601044295146,0.019480031388051433,-3.3589401455590746,-3.4668743302704588,0.09658508472758509
dk,production,24,Jimmy Graham,2015,5.0,30.72,1.2053678952497597,0.011541073240489067,-1.8671022727272728,-1.975036457438657,0.07696802976236317
dk,production,25,Vernon Davis,2010,4.0,51.68,1.214686148484973,0.008509484308563223,-1.4124999999999996,-1.5204341847113838,0.16580350188466308
dk,production,26,Mark Andrews,2021,3.0,53.92,1.222219551328152,0.015859712963422895,6.896806260737888,6.788872076026504,0.17309572432231757
dk,production,27,Kyle Pitts,2023,2.0,71.62,1.247510385145288,0.01706379029784033,-2.589518806834521,-2.697452991545905,0.22201724704494663
dk,production,28,Antonio Gates,2009,3.0,48.47,1.2502524411833449,0.007566638639573273,3.4520833333333343,3.34414914862195,0.1547939133820566
dk,production,29,Evan Engram,2019,2.0,61.69,1.2681800600866804,0.013091486907513028,3.2898267965922265,3.1818926118808424,0.19626813576956814
dk,production,30,Mark Andrews,2023,5.0,37.22,1.2930335643207096,0.015847254382182045,1.174174025231702,1.0662398405203177,0.10961209324103005
dk,production,31,Vernon Davis,2011,5.0,62.3,1.2933200876496458,0.007920013763359443,-1.4920833333333317,-1.6000175180447158,0.1979638730296348
dk,production,32,Aaron Hernandez,2012,2.0,50.17,1.3220155002743292,0.008021119259804472,0.1590277777777782,0.051093593066394105,0.1607106333531868
dk,production,33,Rob Gronkowski,2016,6.0,12.43,1.3231510014742607,0.01008821676595604,-2.7056249999999995,-2.8135591847113837,0.07353847064758345
dk,production,34,Rob Gronkowski,2013,3.0,44.84,1.3288439474816527,0.008408905444294736,6.05535714285714,5.947422958145756,0.14144826469391936
dk,production,35,Trey Mcbride,2024,2.0,47.3,1.3461179385087507,0.0154606628295001,2.2770643326114257,2.1691301479000415,0.15060248172409751
dk,production,36,Kellen Winslow,2008,4.0,51.73,1.34941154602774,0.006105095695078873,-4.151249999999999,-4.259184184711383,0.16596963248477603
dk,production,37,Travis Kelce,2016,3.0,62.81,1.3632081724005978,0.009492883069486506,3.9541666666666657,3.8462324819552816,0.19936912498464787
dk,production,38,Jimmy Graham,2014,4.0,9.97,1.3654216365135354,0.008429409650065988,-1.1013392857142872,-1.2092734704256713,0.10896957512232697
dk,production,39,Jimmy Graham,2012,2.0,16.88,1.3740462180800528,0.007414586657278041,-4.779464285714283,-4.887398470425667,0.02342106991039894
dk,production,40,Travis Kelce,2018,5.0,27.18,1.4161489924722754,0.009868912512755668,5.551989507754611,5.4440553230432265,0.056245430570383226
dk,production,41,Antonio Gates,2011,5.0,38.29,1.449236415032201,0.00629222013672325,-0.46458333333333357,-0.5725175180447177,0.11444729990319913
dk,production,42,Jordan Reed,2017,4.0,47.86,1.4804727869504997,0.00853575871840116,-3.702001824852836,-3.80993600956422,0.1526211582847108
dk,production,43,Dalton Kincaid,2024,1.0,52.5,1.4989054930811192,0.012487788424777005,-3.5415743600039136,-3.6495085447152977,0.16850833936527243
dk,production,44,Darren Waller,2020,4.0,64.11,1.507803595895525,0.00979997028137441,6.053178671083161,5.945244486371777,0.20290095006658126
dk,production,45,Zach Ertz,2018,5.0,38.28,1.5128477917128986,0.008675396411136637,6.080094373157925,5.972160188446541,0.11440272353731118
dk,production,46,John Carlson,2010,2.0,142.44,1.5798739295071356,0.005040992465605213,-5.488942307692308,-5.596876492403692,0.34121611978066724
dk,production,47,Jermichael Finley,2011,3.0,48.4,1.5901949920721128,0.005277995230183641,-1.5945833333333326,-1.7025175180447167,0.1545459457534657
dk,production,48,Jason Witten,2008,5.0,41.37,1.6215418760264066,0.0042860850683217626,0.20892857142857046,0.10099438671718636,0.1276635674149752
dk,production,49,Rob Gronkowski,2014,4.0,28.88,1.63608678309736,0.00596717734834621,5.994375,5.886440815288616,0.06650330684055583
dk,production,50,George Kittle,2022,5.0,50.5,1.6381656303309913,0.009451358216966856,1.613369370386632,1.505435185675248,0.1618363608746367
dk,production,51,Zach Miller,2009,2.0,119.84,1.6632673401359441,0.004345057027979846,2.161666666666667,2.053732481955283,0.3111921877250182
dk,production,52,Evan Engram,2018,1.0,66.39,1.6700832293056156,0.007256860507739382,-0.7640955182653837,-0.8720297029767679,0.20892825618653188
dk,production,53,Kyle Pitts,2021,0.0,50.38,1.6860584057073953,0.008492759176631195,-0.6218254357994848,-0.729759620510869,0.16142784221554962
dk,production,54,Travis Kelce,2019,6.0,14.32,1.6912520278176495,0.0075275040095910805,0.6316265724779946,0.5236923877666104,0.0504809736553834
dk,production,55,Oj Howard,2019,2.0,57.33,1.6965097593016032,0.007488850524688836,-3.9873636037478493,-4.095297788459233,0.1836446657031442
dk,production,56,Brent Celek,2010,3.0,68.23,1.6983500102786018,0.004444923850800316,-4.248214285714287,-4.356148470425671,0.21364553138326348
dk,production,57,Sam Laporta,2025,2.0,65.06,1.6988938657024901,0.010566282373488963,0.6503198462948312,0.542385661583447,0.20543758571043047
dk,production,58,Jared Cook,2012,3.0,127.47,1.7124686170203933,0.004921947668797313,-2.790384615384614,-2.898318800095998,0.32191433815943415
dk,production,59,Zach Ertz,2019,6.0,28.77,1.723193351931203,0.007300324189299846,0.37263114562701105,0.26469696091562694,0.06585743828716917
dk,production,60,Zach Miller,2010,3.0,105.69,1.7290070395901966,0.004317351669034392,2.553750000000001,2.4458158152886167,0.2893829739943865
dk,production,61,Kyle Rudolph,2013,2.0,89.98,1.7799487458395105,0.0049064814433298675,-0.05624999999999858,-0.16418418471138269,0.2614887848948929
dk,production,62,Evan Engram,2020,3.0,77.91,1.788725902457172,0.007296887350663187,-1.547201464745429,-1.6551356494568132,0.23656389938705835
dk,production,63,Noah Fant,2021,2.0,93.62,1.8122927775546824,0.007581794183046355,-1.1979888132369325,-1.3059229979483167,0.26835852825064954
dk,production,64,Mark Andrews,2024,6.0,51.05,1.814840533458668,0.00899778708947987,-1.6599301211303548,-1.767864305841739,0.16369663986234906
dk,production,65,Kyle Pitts,2024,3.0,64.8,1.8272374922629595,0.008909257458055694,-4.114732484584337,-4.222666669295721,0.20474699258676865
dk,production,66,Greg Olsen,2015,8.0,56.39,1.8439766810315994,0.0052289379892011215,2.572916666666668,2.4649824819552837,0.18079961250557364
dk,production,67,Antonio Gates,2012,6.0,51.37,1.852182416170891,0.004369611497177883,-3.1794642857142854,-3.2873984704256696,0.16476995946030026
dk,production,68,Zach Ertz,2016,3.0,96.43,1.8583512977069119,0.005479890294854301,0.9790384615384617,0.8711042768270776,0.2734834166600809
dk,production,69,Chris Cooley,2008,4.0,72.02,1.8633203256631363,0.0034393663865150154,0.161249999999999,0.0533158152886149,0.22297917339906814
dk,production,70,Dustin Keller,2009,1.0,124.12,1.8837815966073472,0.0035900009025588036,-3.422083333333333,-3.5300175180447173,0.31728733965895006
dk,production,71,Kyle Rudolph,2014,3.0,86.62,1.9126733764423607,0.004696585781584929,-2.2477678571428577,-2.355702041854242,0.25489901154841477
dk,production,72,Tj Hockenson,2023,4.0,48.18,1.914131054407409,0.00789088509564389,2.7337185053498327,2.6257843206384486,0.1537643251509696
dk,production,73,Marcedes Lewis,2011,5.0,97.85,1.9166561844118193,0.003938720825936844,-5.334821428571429,-5.442755613282813,0.27601726888082556
dk,production,74,Travis Kelce,2020,7.0,17.96,1.9179797921676367,0.0066182153433802,5.842560696017959,5.734626511306574,0.013150607315734808
dk,production,75,Rob Gronkowski,2018,8.0,21.57,1.9308213151669276,0.005846080878515676,-4.739122439754979,-4.847056624466363,0.017370769364549066
dk,production,76,Jason Witten,2009,6.0,40.29,1.930920734931159,0.003475873661844727,0.8141666666666669,0.7062324819552828,0.12314197478067535
dk,production,77,Rob Gronkowski,2017,7.0,19.63,1.941375688215896,0.005480236503524362,3.2176366914723875,3.1097025067610033,0.0016319702392254554
dk,production,78,Dustin Keller,2012,4.0,151.01,1.9434236687500637,0.004100139898467659,-3.081249999999999,-3.189184184711383,0.3513781407087846
dk,production,79,Pat Freiermuth,2023,2.0,96.18,1.946561245407463,0.007724520842614295,-1.9477745298004585,-2.0557087145118427,0.27303349541046584
dk,production,80,Vernon Davis,2012,6.0,58.22,1.9530739349179238,0.004075069590314159,-3.0633928571428566,-3.1713270418542407,0.1862964432080182
dk,replace_adp_rank_with_log_adp,1,Brock Bowers,2025,1.0,18.36,0.608413612802783,0.05000000000000001,-0.26348904987000843,-0.37933529908924624,0.009494561111478617
