season,pos,targets,team_qb1
2017,QB,38,32
2017,RB,90,0
2017,TE,46,0
2017,WR,120,0
2018,QB,39,31
2018,RB,88,0
2018,TE,47,0
2018,WR,120,0
2019,QB,38,31
2019,RB,90,0
2019,TE,45,0
2019,WR,119,0
2020,QB,38,32
2020,RB,90,0
2020,TE,46,0
2020,WR,118,0
2021,QB,38,32
2021,RB,84,0
2021,TE,48,0
2021,WR,120,0
2022,QB,41,32
2022,RB,88,0
2022,TE,48,0
2022,WR,120,0
2023,QB,41,32
2023,RB,86,0
2023,TE,48,0
2023,WR,120,0
2024,QB,42,32
2024,RB,87,0
2024,TE,47,0
2024,WR,120,0
2025,QB,44,32
2025,RB,85,0
2025,TE,48,0
2025,WR,120,0
