run_id,target_name,model_name,slice_type,slice_value,metric,n_rows,n_seasons,value,baseline_value,delta
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,position,WR,rmse,1503,9,3.16698921966466,3.7011367089159544,-0.5341474892512945
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,position,WR,mae,1503,9,2.516287568178857,2.9197213919380522,-0.40343382375919523
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,position,WR,bias,1503,9,0.29176447433845043,-1.7484519064374633,2.040216380775914
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,position,WR,spearman,1503,9,0.7508723343113052,0.7533404253666947,-0.0024680910553894764
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2017,rmse,407,1,3.172297949281988,4.36645042925793,-1.194152479975942
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2017,mae,407,1,2.462022750988983,3.155298194425311,-0.693275443436328
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2017,bias,407,1,0.1722748047149537,-2.001344182039299,2.173618986754253
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2017,spearman,407,1,0.7807246798511704,0.6896147256046201,0.09110995424655033
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2018,rmse,405,1,3.477430237887894,4.714160529640733,-1.2367302917528389
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2018,mae,405,1,2.6539129657939577,3.591068328096669,-0.9371553623027111
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2018,bias,405,1,-0.8160353075854071,-2.8137009099333685,1.9976656023479613
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2018,spearman,405,1,0.7940264546747804,0.7425066216425864,0.051519833032193985
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2019,rmse,387,1,3.297862863561852,4.417467076151702,-1.11960421258985
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2019,mae,387,1,2.6033998724830205,3.303386554908389,-0.6999866824253687
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2019,bias,387,1,-0.40208197795932193,-2.3390147908762615,1.9369328129169396
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2019,spearman,387,1,0.7822741751321123,0.7230240158078952,0.05925015932421707
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2020,rmse,420,1,3.1900855676652786,4.440195645661847,-1.2501100779965681
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2020,mae,420,1,2.4268093147441294,3.1892739075546475,-0.762464592810518
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2020,bias,420,1,-0.045118775512205216,-2.50699336451964,2.4618745890074347
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2020,spearman,420,1,0.8098767877656469,0.7558180220636451,0.05405876570200174
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2021,rmse,417,1,3.1086440287248545,4.1314790282308635,-1.022834999506009
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2021,mae,417,1,2.391032872322642,3.004519719344607,-0.613486847021965
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2021,bias,417,1,0.1438026887843071,-2.1396464537194677,2.2834491425037746
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2021,spearman,417,1,0.7930609725881365,0.7425784631898492,0.050482509398287245
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2022,rmse,426,1,2.85197666005129,3.8223751589851123,-0.9703984989338221
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2022,mae,426,1,2.3042276257253076,2.842258114416837,-0.5380304886915295
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2022,bias,426,1,0.5793482083600375,-1.7513690790122993,2.330717287372337
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2022,spearman,426,1,0.8183632841426027,0.7428755546703996,0.07548772947220317
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2023,rmse,415,1,3.1502732964940665,4.221586995253445,-1.0713136987593788
m4a_family_ablation_20260728T015352Z_90d0d1bd,conditional_ppg,residual_ridge_drop_availability,season,2023,mae,415,1,2.41711832459195,3.0334052938510987,-0.6162869692591486
