comparison,year,comparisons,roster_changed_rate,both_actual_cap_feasible_rate,mean_joint_feasible_actual_points_effect,mean_managed_forecast_season_points_effect,mean_heldout_cap_probability_effect,mean_actual_cap_feasible_effect,mean_actual_cap_overage_effect,mean_actual_salary_spend_effect,mean_point_salary_spend_effect
70_minus_60,2022,250,0.576,0.172,7.649314702943314,-1.05931640625,0.08054,0.056,-0.924,-1.644,-1.5367582139968872
70_minus_60,2023,250,0.664,0.064,-11.398773193359375,-1.38778857421875,0.09552,0.02,-2.716,-2.916,-2.1292066326141357
70_minus_60,2024,250,0.636,0.068,-5.747063131893382,-1.11121923828125,0.08702000000000001,0.008,-1.516,-1.644,-2.2061859140396116
70_minus_60,2025,250,0.772,0.064,3.3499908447265625,-2.10189013671875,0.09032,0.044,-2.104,-2.424,-2.2853915963172913
80_minus_70,2022,250,0.612,0.2,-3.11720703125,-1.9436748046875,0.0843,0.036,-1.468,-1.872,-2.252014094352722
80_minus_70,2023,250,0.64,0.076,-0.594739412006579,-1.171578125,0.07138,-0.004,-1.32,-1.364,-2.031922125339508
80_minus_70,2024,250,0.704,0.08,-5.399005126953125,-2.368072265625,0.08417999999999999,0.024,-2.664,-3.108,-2.147620223045349
80_minus_70,2025,250,0.78,0.092,12.646956734035326,-4.28937646484375,0.09340000000000001,-0.008,-2.084,-2.228,-2.6021773920059204
90_minus_80,2022,250,0.66,0.216,-9.79296875,-2.02779736328125,0.06822,0.0,-1.18,-1.716,-2.140572388648987
90_minus_80,2023,250,0.792,0.072,7.694478352864583,-2.38978173828125,0.08762,0.016,-2.972,-3.052,-3.1331004333496093
90_minus_80,2024,250,0.716,0.1,-7.1056201171875,-1.1826953125,0.07931999999999999,0.024,-2.58,-3.104,-2.7819949202537537
90_minus_80,2025,250,0.82,0.104,-6.680767352764423,-2.54575146484375,0.0757,0.028,-1.432,-1.472,-2.643983286380768
