year,chance_level,trials,unique_rosters,construction_cap_probability,heldout_cap_probability,managed_forecast_season_points,actual_cap_feasible_rate,actual_cap_overage,actual_salary_spend,affordable_actual_rosters,actual_points_if_affordable,point_salary_spend
2022,0.6,250,250,0.6934,0.64012,1566.3875,0.188,19.544,315.3,47,1473.6140422415226,304.2533367767334
2022,0.7,250,250,0.777,0.72066,1565.32818359375,0.244,18.62,313.656,61,1490.4813152375768,302.7165785627365
2022,0.8,250,250,0.859,0.80496,1563.3845087890625,0.28,17.152,311.784,70,1482.9974260602678,300.4645644683838
2022,0.9,250,250,0.9284,0.87318,1561.3567114257812,0.28,15.972,310.068,70,1463.564852469308,298.3239920797348
2023,0.6,250,250,0.6668,0.6180399999999999,1527.9041416015625,0.08,31.808,329.308,20,1761.5360107421875,313.29030485630034
2023,0.7,250,250,0.7622000000000001,0.71356,1526.5163530273437,0.1,29.092,326.392,25,1718.54478515625,311.1610982236862
2023,0.8,250,250,0.8364,0.7849400000000001,1525.3447749023437,0.096,27.772,325.028,24,1706.1483306884766,309.1291760983467
2023,0.9,250,250,0.9226,0.8725599999999999,1522.9549931640624,0.112,24.8,321.976,28,1732.7714364188057,305.9960756649971
2024,0.6,250,250,0.6684,0.61698,1641.9976391601563,0.096,32.732,329.72,24,1582.145004272461,307.55270611286164
2024,0.7,250,250,0.7611999999999999,0.704,1640.886419921875,0.104,31.216,328.076,26,1612.4154052734375,305.346520198822
2024,0.8,250,250,0.8468000000000001,0.78818,1638.51834765625,0.128,28.552,324.968,32,1600.2937622070312,303.19889997577667
2024,0.9,250,250,0.925,0.8675,1637.33565234375,0.152,25.972,321.864,38,1601.603685880962,300.41690505552293
2025,0.6,250,250,0.6464,0.58306,1634.12126171875,0.084,30.076,327.276,21,1523.4742780412946,305.6778431687355
2025,0.7,250,250,0.7404,0.67338,1632.0193715820312,0.128,27.972,324.852,32,1534.6431198120117,303.3924515724182
2025,0.8,250,250,0.8354,0.76678,1627.7299951171874,0.12,25.888,322.624,30,1545.282666015625,300.79027418041227
2025,0.9,250,250,0.9182,0.84248,1625.1842436523436,0.148,24.456,321.152,37,1551.992972709037,298.14629089403155
