source,block,path,arm,complete,failure_reason,salary_spend,cap_legal,position_legal,top_n_legal,roster
actual,3,0,baseline,True,,296.0,True,True,True,Aaron Rodgers | Bucky Irving | Cam Skattebo | Carnell Tate | Christian McCaffrey | Christian Watson | De'Von Achane | Drake Maye | George Pickens | Jakobi Meyers | Josh Jacobs | Tony Pollard | Tyler Warren
actual,3,1,baseline,True,,297.0,True,True,True,Aaron Rodgers | Bucky Irving | Cam Skattebo | Carnell Tate | Christian McCaffrey | Christian Watson | De'Von Achane | Drake Maye | George Pickens | Josh Jacobs | Tony Pollard | Tyler Warren | Wan'Dale Robinson
actual,3,2,baseline,True,,296.0,True,True,True,Aaron Rodgers | Bucky Irving | Cam Skattebo | Carnell Tate | Christian McCaffrey | Christian Watson | De'Von Achane | Drake Maye | George Pickens | Josh Downs | Josh Jacobs | Tony Pollard | Tyler Warren
actual,3,3,baseline,True,,294.0,True,True,True,Aaron Rodgers | Bucky Irving | Cam Skattebo | Carnell Tate | Christian McCaffrey | Christian Watson | De'Von Achane | Drake Maye | Garrett Wilson | George Pickens | Kenyon Sadiq | Tony Pollard | Tyler Warren
actual,3,4,baseline,True,,296.0,True,True,True,Aaron Rodgers | Bucky Irving | Cam Skattebo | Carnell Tate | Christian McCaffrey | Christian Watson | De'Von Achane | Drake Maye | George Pickens | Josh Downs | Josh Jacobs | Tony Pollard | Tyler Warren
actual,3,5,baseline,True,,296.0,True,True,True,Aaron Rodgers | Bucky Irving | Cam Skattebo | Carnell Tate | Christian McCaffrey | Christian Watson | De'Von Achane | Drake Maye | George Pickens | Josh Downs | Josh Jacobs | Tony Pollard | Tyler Warren
actual,3,6,baseline,True,,296.0,True,True,True,Aaron Rodgers | Bucky Irving | Cam Skattebo | Carnell Tate | Christian McCaffrey | Christian Watson | De'Von Achane | Drake Maye | George Pickens | Josh Downs | Josh Jacobs | Tony Pollard | Tyler Warren
actual,3,7,baseline,True,,296.0,True,True,True,Aaron Rodgers | Bucky Irving | Cam Skattebo | Carnell Tate | Christian McCaffrey | Christian Watson | De'Von Achane | Drake Maye | George Pickens | Josh Downs | Josh Jacobs | Tony Pollard | Tyler Warren
actual,3,8,baseline,True,,296.0,True,True,True,Aaron Rodgers | Bucky Irving | Cam Skattebo | Carnell Tate | Christian McCaffrey | Christian Watson | De'Von Achane | Drake Maye | George Pickens | Josh Jacobs | Makai Lemon | Tony Pollard | Tyler Warren
actual,3,9,baseline,True,,296.0,True,True,True,Bucky Irving | Cam Skattebo | Carnell Tate | Christian McCaffrey | Christian Watson | De'Von Achane | Drake Maye | George Pickens | Jakobi Meyers | Jalen Coker | Jared Goff | TreVeyon Henderson | Tyler Warren
actual,3,10,baseline,True,,296.0,True,True,True,Aaron Rodgers | Bucky Irving | Cam Skattebo | Carnell Tate | Christian McCaffrey | Christian Watson | De'Von Achane | Drake Maye | George Pickens | Josh Downs | Josh Jacobs | Tony Pollard | Tyler Warren
