source,arm,player,selections,selection_rate
actual,baseline,Aaron Rodgers,93,0.7265625
actual,baseline,Ashton Jeanty,64,0.5
actual,baseline,Blake Corum,1,0.0078125
actual,baseline,Brian Robinson,1,0.0078125
actual,baseline,Bucky Irving,32,0.25
actual,baseline,Cam Skattebo,64,0.5
actual,baseline,Cam Ward,2,0.015625
actual,baseline,Carnell Tate,91,0.7109375
actual,baseline,Chris Godwin Jr.,3,0.0234375
actual,baseline,Christian McCaffrey,96,0.75
actual,baseline,Christian Watson,96,0.75
actual,baseline,Chuba Hubbard,30,0.234375
actual,baseline,Courtland Sutton,1,0.0078125
actual,baseline,D'Andre Swift,32,0.25
actual,baseline,DJ Moore,1,0.0078125
actual,baseline,DK Metcalf,31,0.2421875
actual,baseline,Dallas Goedert,1,0.0078125
actual,baseline,Daniel Jones,33,0.2578125
actual,baseline,De'Von Achane,128,1.0
actual,baseline,De'Zhaun Stribling,2,0.015625
actual,baseline,Drake Maye,128,1.0
actual,baseline,Garrett Wilson,1,0.0078125
actual,baseline,George Kittle,31,0.2421875
actual,baseline,George Pickens,33,0.2578125
actual,baseline,Harold Fannin Jr.,2,0.015625
actual,baseline,Hunter Henry,1,0.0078125
actual,baseline,Jadarian Price,29,0.2265625
actual,baseline,Jakobi Meyers,2,0.015625
actual,baseline,Jalen Coker,8,0.0625
actual,baseline,Jameson Williams,63,0.4921875
actual,baseline,Jared Goff,1,0.0078125
actual,baseline,Jaylen Warren,1,0.0078125
actual,baseline,Jonathan Taylor,32,0.25
actual,baseline,Jordan Addison,2,0.015625
actual,baseline,Josh Downs,20,0.15625
actual,baseline,Josh Jacobs,62,0.484375
actual,baseline,KC Concepcion,4,0.03125
actual,baseline,Kenyon Sadiq,1,0.0078125
actual,baseline,Khalil Shakir,2,0.015625
actual,baseline,Kyle Pitts,32,0.25
actual,baseline,Kyren Williams,62,0.484375
actual,baseline,Luther Burden III,2,0.015625
actual,baseline,Makai Lemon,4,0.03125
actual,baseline,Mark Andrews,1,0.0078125
actual,baseline,Marvin Harrison Jr.,1,0.0078125
actual,baseline,Michael Pittman,1,0.0078125
actual,baseline,Michael Wilson,2,0.015625
actual,baseline,Parker Washington,2,0.015625
actual,baseline,Quentin Johnston,37,0.2890625
actual,baseline,Rachaad White,1,0.0078125
actual,baseline,Rashid Shaheed,1,0.0078125
actual,baseline,Rhamondre Stevenson,30,0.234375
actual,baseline,Rome Odunze,64,0.5
actual,baseline,Romeo Doubs,3,0.0234375
actual,baseline,Stefon Diggs,4,0.03125
actual,baseline,Tee Higgins,31,0.2421875
actual,baseline,Tony Pollard,63,0.4921875
actual,baseline,TreVeyon Henderson,34,0.265625
actual,baseline,Tyler Warren,61,0.4765625
actual,baseline,Wan'Dale Robinson,1,0.0078125
actual,baseline,Xavier Worthy,2,0.015625
actual,full_exact,A.J. Brown,1,0.0078125
actual,full_exact,Aaron Jones,2,0.015625
actual,full_exact,Aaron Rodgers,51,0.3984375
actual,full_exact,Ashton Jeanty,64,0.5
actual,full_exact,Blake Corum,1,0.0078125
actual,full_exact,Brian Robinson,3,0.0234375
actual,full_exact,Brian Thomas Jr.,1,0.0078125
actual,full_exact,Bryce Young,28,0.21875
actual,full_exact,Bucky Irving,31,0.2421875
actual,full_exact,Cam Skattebo,61,0.4765625
actual,full_exact,Cam Ward,34,0.265625
actual,full_exact,Carnell Tate,93,0.7265625
actual,full_exact,Chris Godwin Jr.,3,0.0234375
