source,block,path,arm,complete,failure_reason,salary_spend,cap_legal,position_legal,top_n_legal,roster
actual,2,0,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Quentin Johnston | Rhamondre Stevenson | Tony Pollard
actual,2,1,baseline,True,,295.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Dallas Goedert | Daniel Jones | De'Von Achane | Drake Maye | Jameson Williams | Kyren Williams | Quentin Johnston | Rhamondre Stevenson | Tony Pollard
actual,2,2,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Quentin Johnston | Rhamondre Stevenson | Tony Pollard
actual,2,3,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Quentin Johnston | Rhamondre Stevenson | Tony Pollard
actual,2,4,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Quentin Johnston | Rhamondre Stevenson | Tony Pollard
actual,2,5,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Rhamondre Stevenson | Stefon Diggs | Tony Pollard
actual,2,6,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Quentin Johnston | Rhamondre Stevenson | Tony Pollard
actual,2,7,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Rhamondre Stevenson | Romeo Doubs | Tony Pollard
actual,2,8,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Quentin Johnston | Rhamondre Stevenson | Tony Pollard
actual,2,9,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | De'Zhaun Stribling | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Rhamondre Stevenson | Tony Pollard
actual,2,10,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jalen Coker | Jameson Williams | Kyren Williams | Rhamondre Stevenson | Tony Pollard
actual,2,11,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Quentin Johnston | Rhamondre Stevenson | Tony Pollard
actual,2,12,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Quentin Johnston | Rhamondre Stevenson | Tony Pollard
actual,2,13,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | De'Zhaun Stribling | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Rhamondre Stevenson | Tony Pollard
actual,2,14,baseline,True,,294.0,True,True,True,Ashton Jeanty | Blake Corum | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Parker Washington | Quentin Johnston | Tony Pollard
actual,2,15,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Rashid Shaheed | Rhamondre Stevenson | Tony Pollard
actual,2,16,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Quentin Johnston | Rhamondre Stevenson | Tony Pollard
actual,2,17,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Makai Lemon | Rhamondre Stevenson | Tony Pollard
actual,2,18,baseline,True,,298.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | George Kittle | Jameson Williams | Kyren Williams | Quentin Johnston | Rhamondre Stevenson | Tony Pollard
actual,2,19,baseline,True,,296.0,True,True,True,Ashton Jeanty | Carnell Tate | Christian McCaffrey | Christian Watson | Daniel Jones | De'Von Achane | Drake Maye | Jameson Williams | Kyren Williams | Mark Andrews | Quentin Johnston | Rhamondre Stevenson | Tony Pollard
