source,block,path,arm,complete,failure_reason,salary_spend,cap_legal,position_legal,top_n_legal,roster
predicted,1,0,baseline,True,,254.0,True,True,True,Breece Hall | Colston Loveland | Courtland Sutton | De'Von Achane | Drake Maye | Jameson Williams | Jordan Love | Josh Jacobs | Kenny Gainwell | Kyren Williams | Ladd McConkey | Mike Evans | TreVeyon Henderson
predicted,1,1,baseline,True,,272.0,True,True,True,Bryce Young | Carnell Tate | De'Von Achane | Drake Maye | Emeka Egbuka | Harold Fannin Jr. | Jonathon Brooks | Josh Jacobs | Kenneth Walker III | Kyle Monangai | Kyren Williams | Luther Burden III | Rome Odunze
predicted,1,2,baseline,True,,232.0,True,True,True,Bryce Young | Colston Loveland | De'Von Achane | Drake Maye | Garrett Wilson | Jadarian Price | Josh Jacobs | Keaton Mitchell | Marvin Harrison Jr. | Rashee Rice | Tee Higgins | Tony Pollard | TreVeyon Henderson
predicted,1,3,baseline,True,,248.0,True,True,True,Bhayshul Tuten | Breece Hall | D'Andre Swift | DJ Moore | DK Metcalf | De'Von Achane | Drake Maye | Jameson Williams | Jordan Love | Michael Wilson | Rico Dowdle | TreVeyon Henderson | Trey McBride
predicted,1,4,baseline,True,,269.0,True,True,True,D'Andre Swift | DK Metcalf | De'Von Achane | Drake Maye | Jadarian Price | Jameson Williams | Jayden Daniels | Josh Jacobs | Kyle Pitts | Kyren Williams | Luther Burden III | Makai Lemon | Tony Pollard
predicted,1,5,baseline,True,,251.0,True,True,True,Carnell Tate | D'Andre Swift | David Montgomery | De'Von Achane | Drake Maye | George Pickens | Jordan Love | Kenneth Walker III | Luther Burden III | Marvin Harrison Jr. | Tony Pollard | TreVeyon Henderson | Tyler Warren
predicted,1,6,baseline,True,,257.0,True,True,True,Christian Watson | David Montgomery | De'Von Achane | Drake Maye | Jadarian Price | Jameson Williams | Jeremiyah Love | Jordan Love | Kyle Pitts | Tee Higgins | Tetairoa McMillan | Tony Pollard | TreVeyon Henderson
predicted,1,7,baseline,True,,282.0,True,True,True,Aaron Rodgers | Brian Thomas Jr. | Carnell Tate | D'Andre Swift | De'Von Achane | Derrick Henry | Drake Maye | Josh Jacobs | Kyle Pitts | Kyren Williams | Luther Burden III | Rachaad White | Rome Odunze
predicted,1,8,baseline,True,,263.0,True,True,True,Adonai Mitchell | Carnell Tate | De'Von Achane | Drake Maye | Harold Fannin Jr. | Jordyn Tyson | Josh Allen | Josh Jacobs | KC Concepcion | Kyren Williams | Rhamondre Stevenson | Rico Dowdle | TreVeyon Henderson
predicted,1,9,baseline,True,,254.0,True,True,True,Bucky Irving | Cam Skattebo | Christian Watson | Chuba Hubbard | De'Von Achane | Drake Maye | Jadarian Price | Jameson Williams | Josh Downs | Kyler Murray | Kyren Williams | Mike Evans | Sam LaPorta
predicted,1,10,baseline,True,,250.0,True,True,True,A.J. Brown | Aaron Rodgers | Breece Hall | De'Von Achane | Drake Maye | Jameson Williams | Jonathon Brooks | Jordan Mason | Josh Jacobs | Kenny Gainwell | Kyle Pitts | Tee Higgins | Zay Flowers
