source,block,path,arm,complete,player
actual,3,0,baseline,True,Aaron Rodgers
actual,3,0,baseline,True,Bucky Irving
actual,3,0,baseline,True,Cam Skattebo
actual,3,0,baseline,True,Carnell Tate
actual,3,0,baseline,True,Christian McCaffrey
actual,3,0,baseline,True,Christian Watson
actual,3,0,baseline,True,De'Von Achane
actual,3,0,baseline,True,Drake Maye
actual,3,0,baseline,True,George Pickens
actual,3,0,baseline,True,Jakobi Meyers
actual,3,0,baseline,True,Josh Jacobs
actual,3,0,baseline,True,Tony Pollard
actual,3,0,baseline,True,Tyler Warren
actual,3,1,baseline,True,Aaron Rodgers
actual,3,1,baseline,True,Bucky Irving
actual,3,1,baseline,True,Cam Skattebo
actual,3,1,baseline,True,Carnell Tate
actual,3,1,baseline,True,Christian McCaffrey
actual,3,1,baseline,True,Christian Watson
actual,3,1,baseline,True,De'Von Achane
actual,3,1,baseline,True,Drake Maye
actual,3,1,baseline,True,George Pickens
actual,3,1,baseline,True,Josh Jacobs
actual,3,1,baseline,True,Tony Pollard
actual,3,1,baseline,True,Tyler Warren
actual,3,1,baseline,True,Wan'Dale Robinson
actual,3,2,baseline,True,Aaron Rodgers
actual,3,2,baseline,True,Bucky Irving
actual,3,2,baseline,True,Cam Skattebo
actual,3,2,baseline,True,Carnell Tate
actual,3,2,baseline,True,Christian McCaffrey
actual,3,2,baseline,True,Christian Watson
actual,3,2,baseline,True,De'Von Achane
actual,3,2,baseline,True,Drake Maye
actual,3,2,baseline,True,George Pickens
actual,3,2,baseline,True,Josh Downs
actual,3,2,baseline,True,Josh Jacobs
actual,3,2,baseline,True,Tony Pollard
actual,3,2,baseline,True,Tyler Warren
actual,3,3,baseline,True,Aaron Rodgers
actual,3,3,baseline,True,Bucky Irving
actual,3,3,baseline,True,Cam Skattebo
actual,3,3,baseline,True,Carnell Tate
actual,3,3,baseline,True,Christian McCaffrey
actual,3,3,baseline,True,Christian Watson
actual,3,3,baseline,True,De'Von Achane
actual,3,3,baseline,True,Drake Maye
actual,3,3,baseline,True,Garrett Wilson
actual,3,3,baseline,True,George Pickens
actual,3,3,baseline,True,Kenyon Sadiq
actual,3,3,baseline,True,Tony Pollard
actual,3,3,baseline,True,Tyler Warren
actual,3,4,baseline,True,Aaron Rodgers
actual,3,4,baseline,True,Bucky Irving
actual,3,4,baseline,True,Cam Skattebo
actual,3,4,baseline,True,Carnell Tate
actual,3,4,baseline,True,Christian McCaffrey
actual,3,4,baseline,True,Christian Watson
actual,3,4,baseline,True,De'Von Achane
actual,3,4,baseline,True,Drake Maye
actual,3,4,baseline,True,George Pickens
actual,3,4,baseline,True,Josh Downs
actual,3,4,baseline,True,Josh Jacobs
actual,3,4,baseline,True,Tony Pollard
actual,3,4,baseline,True,Tyler Warren
actual,3,5,baseline,True,Aaron Rodgers
actual,3,5,baseline,True,Bucky Irving
actual,3,5,baseline,True,Cam Skattebo
actual,3,5,baseline,True,Carnell Tate
actual,3,5,baseline,True,Christian McCaffrey
actual,3,5,baseline,True,Christian Watson
actual,3,5,baseline,True,De'Von Achane
actual,3,5,baseline,True,Drake Maye
actual,3,5,baseline,True,George Pickens
actual,3,5,baseline,True,Josh Downs
actual,3,5,baseline,True,Josh Jacobs
actual,3,5,baseline,True,Tony Pollard
actual,3,5,baseline,True,Tyler Warren
actual,3,6,baseline,True,Aaron Rodgers
actual,3,6,baseline,True,Bucky Irving
actual,3,6,baseline,True,Cam Skattebo
actual,3,6,baseline,True,Carnell Tate
actual,3,6,baseline,True,Christian McCaffrey
actual,3,6,baseline,True,Christian Watson
actual,3,6,baseline,True,De'Von Achane
actual,3,6,baseline,True,Drake Maye
actual,3,6,baseline,True,George Pickens
actual,3,6,baseline,True,Josh Downs
actual,3,6,baseline,True,Josh Jacobs
actual,3,6,baseline,True,Tony Pollard
actual,3,6,baseline,True,Tyler Warren
actual,3,7,baseline,True,Aaron Rodgers
actual,3,7,baseline,True,Bucky Irving
actual,3,7,baseline,True,Cam Skattebo
actual,3,7,baseline,True,Carnell Tate
actual,3,7,baseline,True,Christian McCaffrey
actual,3,7,baseline,True,Christian Watson
actual,3,7,baseline,True,De'Von Achane
actual,3,7,baseline,True,Drake Maye
actual,3,7,baseline,True,George Pickens
actual,3,7,baseline,True,Josh Downs
actual,3,7,baseline,True,Josh Jacobs
actual,3,7,baseline,True,Tony Pollard
actual,3,7,baseline,True,Tyler Warren
actual,3,8,baseline,True,Aaron Rodgers
actual,3,8,baseline,True,Bucky Irving
actual,3,8,baseline,True,Cam Skattebo
actual,3,8,baseline,True,Carnell Tate
actual,3,8,baseline,True,Christian McCaffrey
actual,3,8,baseline,True,Christian Watson
actual,3,8,baseline,True,De'Von Achane
actual,3,8,baseline,True,Drake Maye
actual,3,8,baseline,True,George Pickens
actual,3,8,baseline,True,Josh Jacobs
actual,3,8,baseline,True,Makai Lemon
actual,3,8,baseline,True,Tony Pollard
actual,3,8,baseline,True,Tyler Warren
actual,3,9,baseline,True,Bucky Irving
actual,3,9,baseline,True,Cam Skattebo
actual,3,9,baseline,True,Carnell Tate
actual,3,9,baseline,True,Christian McCaffrey
actual,3,9,baseline,True,Christian Watson
actual,3,9,baseline,True,De'Von Achane
actual,3,9,baseline,True,Drake Maye
actual,3,9,baseline,True,George Pickens
actual,3,9,baseline,True,Jakobi Meyers
actual,3,9,baseline,True,Jalen Coker
actual,3,9,baseline,True,Jared Goff
actual,3,9,baseline,True,TreVeyon Henderson
actual,3,9,baseline,True,Tyler Warren
actual,3,10,baseline,True,Aaron Rodgers
actual,3,10,baseline,True,Bucky Irving
actual,3,10,baseline,True,Cam Skattebo
actual,3,10,baseline,True,Carnell Tate
actual,3,10,baseline,True,Christian McCaffrey
actual,3,10,baseline,True,Christian Watson
actual,3,10,baseline,True,De'Von Achane
actual,3,10,baseline,True,Drake Maye
actual,3,10,baseline,True,George Pickens
actual,3,10,baseline,True,Josh Downs
actual,3,10,baseline,True,Josh Jacobs
actual,3,10,baseline,True,Tony Pollard
actual,3,10,baseline,True,Tyler Warren
actual,3,11,baseline,True,Aaron Rodgers
actual,3,11,baseline,True,Bucky Irving
actual,3,11,baseline,True,Cam Skattebo
actual,3,11,baseline,True,Carnell Tate
actual,3,11,baseline,True,Christian McCaffrey
actual,3,11,baseline,True,Christian Watson
actual,3,11,baseline,True,De'Von Achane
