source,enforce_top_n,arm,blocks,compile_seconds,accepted_swaps,construction_gain,holdout_mean,holdout_p10,forecast_spend,legal
actual,False,baseline,4,0.003274424991104725,0.0,0.0,1744.61696767807,1567.001498413086,297.25,True
actual,False,full_exact,4,0.14287470000272148,1.0,21.603057861328125,1765.5220065116882,1573.610122680664,297.25,True
actual,False,shortlist,4,0.1282891499868128,1.0,18.8541259765625,1764.584342956543,1587.5081359863282,297.0,True
actual,True,baseline,4,0.002308224982698375,0.0,0.0,1741.375756263733,1559.2256072998048,297.25,True
actual,True,full_exact,4,0.1409452999796485,1.0,11.1302490234375,1749.7634239196777,1566.726007080078,295.75,True
actual,True,shortlist,4,0.12736512499395755,1.0,11.126739501953125,1751.3493938446045,1564.9853424072267,296.0,True
predicted,False,baseline,4,0.004233800005749775,0.0,0.0,1713.1261172294617,1555.0130615234375,297.00526502234914,True
predicted,False,full_exact,4,0.1450164250127272,1.0,16.969757080078125,1711.2075390815735,1539.0052276611327,293.67079274182953,True
predicted,False,shortlist,4,0.13018005000776606,1.0,16.969757080078125,1711.2075390815735,1539.0052276611327,293.67079274182953,True
predicted,True,baseline,4,0.00288577501487445,0.0,0.0,1703.6190729141235,1528.068783569336,296.7003025086502,True
predicted,True,full_exact,4,0.14409345004241914,1.0,18.546539306640625,1718.531762123108,1555.5714874267578,293.94312903697505,True
predicted,True,shortlist,4,0.13399575001676564,1.0,18.546539306640625,1718.531762123108,1555.5714874267578,293.94312903697505,True
