source,block,path,arm,complete,failure_reason,salary_spend,cap_legal,position_legal,top_n_legal,roster
actual,1,0,baseline,True,,298.0,True,True,True,Aaron Rodgers | Cam Skattebo | Carnell Tate | Christian McCaffrey | D'Andre Swift | De'Von Achane | Drake Maye | Jameson Williams | Kyle Pitts | Kyren Williams | Rome Odunze | Tee Higgins | TreVeyon Henderson
actual,1,1,baseline,True,,298.0,True,True,True,Aaron Rodgers | Cam Skattebo | Carnell Tate | Christian McCaffrey | D'Andre Swift | De'Von Achane | Drake Maye | Jameson Williams | Kyle Pitts | Kyren Williams | Rome Odunze | Tee Higgins | TreVeyon Henderson
actual,1,2,baseline,True,,298.0,True,True,True,Aaron Rodgers | Cam Skattebo | Carnell Tate | Christian McCaffrey | D'Andre Swift | De'Von Achane | Drake Maye | Jameson Williams | Kyle Pitts | Kyren Williams | Rome Odunze | Tee Higgins | TreVeyon Henderson
actual,1,3,baseline,True,,298.0,True,True,True,Aaron Rodgers | Cam Skattebo | Carnell Tate | Christian McCaffrey | D'Andre Swift | De'Von Achane | Drake Maye | Jameson Williams | Kyle Pitts | Kyren Williams | Rome Odunze | Tee Higgins | TreVeyon Henderson
actual,1,4,baseline,True,,298.0,True,True,True,Aaron Rodgers | Cam Skattebo | Carnell Tate | Christian McCaffrey | D'Andre Swift | De'Von Achane | Drake Maye | Jameson Williams | Kyle Pitts | Kyren Williams | Rome Odunze | Tee Higgins | TreVeyon Henderson
actual,1,5,baseline,True,,298.0,True,True,True,Aaron Rodgers | Cam Skattebo | Carnell Tate | Christian McCaffrey | D'Andre Swift | De'Von Achane | Drake Maye | Jameson Williams | Kyle Pitts | Kyren Williams | Rome Odunze | Tee Higgins | TreVeyon Henderson
actual,1,6,baseline,True,,298.0,True,True,True,Aaron Rodgers | Cam Skattebo | Carnell Tate | Christian McCaffrey | D'Andre Swift | De'Von Achane | Drake Maye | Jameson Williams | Kyle Pitts | Kyren Williams | Rome Odunze | Tee Higgins | TreVeyon Henderson
actual,1,7,baseline,True,,298.0,True,True,True,Aaron Rodgers | Cam Skattebo | Carnell Tate | Christian McCaffrey | D'Andre Swift | De'Von Achane | Drake Maye | Jameson Williams | Kyle Pitts | Kyren Williams | Rome Odunze | Tee Higgins | TreVeyon Henderson
actual,1,8,baseline,True,,298.0,True,True,True,Aaron Rodgers | Cam Skattebo | Carnell Tate | Christian McCaffrey | D'Andre Swift | De'Von Achane | Drake Maye | Jameson Williams | Kyle Pitts | Kyren Williams | Rome Odunze | Tee Higgins | TreVeyon Henderson
actual,1,9,baseline,True,,298.0,True,True,True,Aaron Rodgers | Cam Skattebo | Carnell Tate | Christian McCaffrey | D'Andre Swift | De'Von Achane | Drake Maye | Jameson Williams | Kyle Pitts | Kyren Williams | Rome Odunze | Tee Higgins | TreVeyon Henderson
actual,1,10,baseline,True,,298.0,True,True,True,Aaron Rodgers | Cam Skattebo | Carnell Tate | Christian McCaffrey | D'Andre Swift | De'Von Achane | Drake Maye | Jameson Williams | Kyle Pitts | Kyren Williams | Rome Odunze | Tee Higgins | TreVeyon Henderson
