source,block,path,arm,complete,player
predicted,0,0,baseline,True,Breece Hall
predicted,0,0,baseline,True,Chris Godwin Jr.
predicted,0,0,baseline,True,DK Metcalf
predicted,0,0,baseline,True,Daniel Jones
predicted,0,0,baseline,True,De'Von Achane
predicted,0,0,baseline,True,Drake Maye
predicted,0,0,baseline,True,Emeka Egbuka
predicted,0,0,baseline,True,Jadarian Price
predicted,0,0,baseline,True,Jameson Williams
predicted,0,0,baseline,True,Jonathan Taylor
predicted,0,0,baseline,True,Kyle Monangai
predicted,0,0,baseline,True,RJ Harvey
predicted,0,0,baseline,True,Sam LaPorta
predicted,0,1,baseline,False,Breece Hall
predicted,0,1,baseline,False,DK Metcalf
predicted,0,1,baseline,False,De'Von Achane
predicted,0,1,baseline,False,Drake Maye
predicted,0,1,baseline,False,Jeremiyah Love
predicted,0,1,baseline,False,Jordan Love
predicted,0,1,baseline,False,Jordan Mason
predicted,0,1,baseline,False,Josh Jacobs
predicted,0,1,baseline,False,Kyle Monangai
predicted,0,1,baseline,False,Ladd McConkey
predicted,0,1,baseline,False,Malik Nabers
predicted,0,1,baseline,False,Rome Odunze
predicted,0,2,baseline,True,Brian Thomas Jr.
predicted,0,2,baseline,True,Christian Watson
predicted,0,2,baseline,True,De'Von Achane
predicted,0,2,baseline,True,Drake Maye
predicted,0,2,baseline,True,Emeka Egbuka
predicted,0,2,baseline,True,George Kittle
predicted,0,2,baseline,True,Jeremiyah Love
predicted,0,2,baseline,True,Josh Jacobs
predicted,0,2,baseline,True,Kyren Williams
predicted,0,2,baseline,True,Matthew Stafford
predicted,0,2,baseline,True,Tony Pollard
predicted,0,2,baseline,True,TreVeyon Henderson
predicted,0,2,baseline,True,Wan'Dale Robinson
predicted,0,3,baseline,True,Bhayshul Tuten
predicted,0,3,baseline,True,Bryce Young
predicted,0,3,baseline,True,Carnell Tate
predicted,0,3,baseline,True,De'Von Achane
predicted,0,3,baseline,True,Drake Maye
predicted,0,3,baseline,True,J.K. Dobbins
predicted,0,3,baseline,True,James Cook
predicted,0,3,baseline,True,Josh Jacobs
predicted,0,3,baseline,True,Kyle Monangai
predicted,0,3,baseline,True,Ladd McConkey
predicted,0,3,baseline,True,Luther Burden III
predicted,0,3,baseline,True,Rome Odunze
predicted,0,3,baseline,True,Tyler Warren
predicted,0,4,baseline,True,Bhayshul Tuten
predicted,0,4,baseline,True,Breece Hall
predicted,0,4,baseline,True,Bryce Young
predicted,0,4,baseline,True,Chuba Hubbard
predicted,0,4,baseline,True,DK Metcalf
predicted,0,4,baseline,True,Davante Adams
predicted,0,4,baseline,True,De'Von Achane
predicted,0,4,baseline,True,Drake Maye
predicted,0,4,baseline,True,Jaylen Warren
predicted,0,4,baseline,True,Jonathan Taylor
predicted,0,4,baseline,True,Luther Burden III
predicted,0,4,baseline,True,Rome Odunze
predicted,0,4,baseline,True,Tyler Warren
predicted,0,5,baseline,True,Christian Watson
predicted,0,5,baseline,True,Chuba Hubbard
predicted,0,5,baseline,True,Colston Loveland
predicted,0,5,baseline,True,De'Von Achane
predicted,0,5,baseline,True,Drake Maye
predicted,0,5,baseline,True,Fernando Mendoza
predicted,0,5,baseline,True,Jacory Croskey-Merritt
predicted,0,5,baseline,True,Jonathan Taylor
predicted,0,5,baseline,True,Jonathon Brooks
predicted,0,5,baseline,True,Ladd McConkey
predicted,0,5,baseline,True,Mike Evans
predicted,0,5,baseline,True,Rome Odunze
predicted,0,5,baseline,True,TreVeyon Henderson
predicted,0,6,baseline,True,Bhayshul Tuten
predicted,0,6,baseline,True,Breece Hall
