player,pos,avg_pick,pred_fp_per_game,breakout_signed_next_growth,template_current_breakout_rate,template_playoff_hit_rate,template_future_high_performer_rate,template_current_and_future_rate,template_playoff_and_future_rate
Tyler Warren,TE,56.295,9.645013400767668,-0.5789612319425412,0.28972649553412066,0.2605996252578526,0.4036909815559203,0.24806910303878754,0.20079635865883483
Harold Fannin Jr.,TE,87.02250000000001,9.403399899624857,-0.08301480483793355,0.22291904813841254,0.17965076016451587,0.2863521118385536,0.18648568457049475,0.12047571725879949
Kyle Pitts,TE,84.245,9.204657976350218,-1.0347654402124036,0.22292773363775684,0.23009577873090994,0.2732409317697115,0.1812203092729472,0.1798780577613141
George Kittle,TE,106.14771999999999,8.982520944291686,-2.017526149519359,0.19244281611830574,0.2401115469444936,0.18612351667494414,0.1134223128917192,0.09855036215596416
Dalton Kincaid,TE,115.5,8.321958851647421,-1.291779595336207,0.11534846301870849,0.21199867403847744,0.19945448992755216,0.08743477905628802,0.12060011830151626
Travis Kelce,TE,117.10499999999999,8.195313059431692,-1.4279137090769423,0.12170891649442962,0.17724528787553379,0.13411736480881264,0.08657852586981446,0.07135083251805863
Christian Watson,WR,57.9025,10.654849860902958,-1.3545990373312211,0.2270899700694952,0.1721683471431822,0.1561524069789463,0.07854615043097243,0.07032933320479798
Mark Andrews,TE,134.01999999999998,8.01228202966086,-1.1487226788638516,0.1071290263166439,0.18752621859545035,0.16763299757580957,0.07650190958976855,0.0853836446237625
Dallas Goedert,TE,118.838875,8.12338118175952,-1.494830171680638,0.1133212582130107,0.20230900804395743,0.15304734347780935,0.07302583275574626,0.08213036604897334
Isaiah Likely,TE,110.297415,8.011660359390822,-1.0168636365372894,0.10885119214043285,0.16693580747292808,0.16401480479158098,0.07029478159926712,0.09405802538796372
Bucky Irving,RB,54.534703,12.149278393015129,-1.1938082479758911,0.15728102013755782,0.16908874170406415,0.1644912070810318,0.06699086561685447,0.048683091581633135
Sam LaPorta,TE,87.80722,8.81723534374513,-1.033304506120114,0.13730468418120778,0.16100199407018106,0.1430221352330308,0.06609946148204637,0.08583469388990388
Michael Wilson,WR,84.83500000000001,9.14836739002773,-1.3747517243170613,0.12569967292976933,0.09366813305930437,0.12174223909132019,0.0632341258429446,0.02299211627745447
Jordan Addison,WR,104.5,8.92307576026519,-0.6731158514564335,0.10464967343099792,0.06199762792976485,0.12158381345579271,0.06232562188869044,0.02559322781176367
Josh Downs,WR,98.09,8.638810688558927,-0.8370546907160552,0.10749697297867745,0.05535518517955381,0.1163804334291255,0.06105403637370481,0.020724254538334104
Dalton Schultz,TE,171.26,6.911445162764878,-0.9710680159546028,0.10496904669970267,0.12727470991362239,0.14319435551339757,0.06065071187175232,0.05025890178075479
Brian Thomas Jr.,WR,71.875,9.644897673816772,-0.6664338263540461,0.09972877309048579,0.0918686834454404,0.16237629537575643,0.05860577661784589,0.026996461574197123
Alec Pierce,WR,101.2,9.195894057699999,-1.479706121045048,0.15541898338081814,0.10330126219723759,0.10836334110501969,0.055553398823136715,0.02412389918577571
Carnell Tate,WR,69.40530000000001,9.89499521500281,0.8551041505347836,0.1541545849278815,0.2125249407036252,0.15454812397401285,0.05523127783584028,0.07575164103522952
Jameson Williams,WR,51.827321999999995,11.219183796026755,-1.000653676347186,0.20970426065037048,0.17617725350090604,0.20564535228201195,0.05322862675020907,0.07064898883507821
Terry McLaurin,WR,52.88556,10.476434058597489,-1.5066788163944107,0.13605160349030238,0.15485231207129393,0.08372613081113817,0.05259302639558537,0.0486023723094411
Rome Odunze,WR,58.0325,10.679906256854727,-1.00890327095766,0.18246240083587378,0.1409378299401291,0.11748866814588281,0.051324745728566754,0.027473931813936665
Jayden Reed,WR,101.345,9.087503409595863,-1.087514611060766,0.11812155554000515,0.07490581086494465,0.08777059837837137,0.05127677780367225,0.02011398972452102
Juwan Johnson,TE,143.352045,7.237439363179388,-1.1548239030398006,0.06820277788522214,0.16286865618615437,0.14903687179229558,0.05008815371780258,0.05728446174894081
Davante Adams,WR,51.095,10.830950148549528,-1.1233695147753764,0.13127189983054813,0.11399546334616359,0.11176512845458006,0.04783594132465671,0.02819201598698476
Jadarian Price,RB,60.8,11.036062133834065,0.3324242268040827,0.11393184637221582,0.13615097281298116,0.18669444988093462,0.047210041691968,0.041553968827844276
Quentin Johnston,WR,86.8375,9.432351002911684,-1.1203076078772547,0.10345725253103205,0.08115411425832192,0.11043655795431909,0.04496455798419233,0.01817403608884133
Hunter Henry,TE,158.7,7.508786881046356,-1.408352825482969,0.08382008430306273,0.14089194027678048,0.10949249735349419,0.044757577392161164,0.03880931116907991
Wan'Dale Robinson,WR,97.4923875,8.611089870805369,-0.6911083568100365,0.08602250033762096,0.03559939365340415,0.10901677184098307,0.041536489513992705,0.007930934492370966
Marvin Harrison Jr.,WR,69.265,9.811690297902208,-0.8500006174949952,0.11420511184190793,0.10183888687838266,0.11953351661053747,0.04075342921686566,0.017999887287342583
Michael Pittman,WR,99.0,8.907787949621548,-1.2327659303585392,0.0944631926797819,0.06700689635149534,0.060797957813483676,0.04048288203451262,0.017479007789139658
Kyle Monangai,RB,106.69999999999999,8.752483916279965,-1.171986715768587,0.05753596930747003,0.10950203897469549,0.04774188439775997,0.040393694631993264,0.040393694631993264
Matthew Golden,WR,116.85499999999999,8.52082210229377,-0.6596780035758805,0.057961995719511966,0.0325641431951305,0.07729709613237458,0.040137923027728714,0.016105114362177993
Courtland Sutton,WR,78.34744,9.167362395739636,-1.2995492894628207,0.06708147844819887,0.09153015440957393,0.056907599682541506,0.03723394292407203,0.02155506438874992
DK Metcalf,WR,80.20477,9.57207983092717,-1.0458646132862377,0.08790316105987411,0.0773023756476037,0.05700223359065985,0.036984692937845495,0.011938522871069881
TreVeyon Henderson,RB,60.5,11.032501436609715,-0.9602367854384362,0.10367691709100187,0.12864987972196862,0.09458691329227968,0.03334413919062115,0.0335368792422534
Jonathon Brooks,RB,79.6,9.485568318987921,-1.0053314503160973,0.09406760771250071,0.13535432142787895,0.040378713724667295,0.03255007997218141,0.03255007997218141
