"Full Name",Position,"3-Cone Drill","Bench Press","Height-adjusted Speed Score",SPARQ-x,"Broad Jump","40-Yard Dash","Burst Score","Agility Score","Vertical Jump","Breakout Age"
"A.C. Leonard",TE,7.14,20,119.0,117.4,128,4.50,123.5,11.53,34.0,20.6
"A.J. Derby",TE,6.99,15,98.0,-,-,4.77,-,11.50,-,-
"Adam Shaheen",TE,7.09,24,107.8,116.3,121,4.79,117.4,11.47,32.5,20.9
"Adrien Robinson",TE,7.10,15,116.3,112.1,135,4.61,136.6,11.53,39.5,-
"Alan Cross",TE,7.44,17,80.2,87.5,109,4.89,107.9,12.02,30.5,19.3
"Alex Bayer",TE,7.26,20,95.1,102.8,111,4.82,110.6,11.68,31.5,21.8
"Alex Ellis",TE,6.87,20,91.7,106.5,121,4.84,120.9,11.24,34.5,-
"Alize Mack",TE,7.27,22,101.5,116.7,120,4.70,123.0,11.61,36.0,-
"Andre Hardy",TE,-,-,98.3,-,-,4.75,-,-,-,-
"Andrew Beck",TE,7.34,23,103.1,119.6,119,4.68,119.0,11.60,34.0,-
"Andrew Quarless",TE,7.29,23,103.6,107.9,119,4.69,115.5,11.86,32.0,17.9
"Andrew Vollert",TE,6.90,12,104.4,104.9,117,4.65,114.5,10.98,32.0,21.5
"Anthony Denham",TE,7.38,14,89.1,88.7,113,4.77,113.4,11.94,32.5,-
"Anthony Fasano",TE,6.94,19,98.0,106.9,112,4.77,114.6,11.28,33.5,-
"Anthony Firkser",TE,7.06,21,84.7,105.3,110,4.87,110.1,11.35,31.5,19.5
"Anthony McCoy",TE,6.99,19,104.7,105.4,113,4.71,118.6,11.56,35.5,-
"Antonio Gates",TE,-,-,113.3,-,126,4.60,131.3,-,39.0,-
"Antony Auclair",TE,7.30,22,86.0,106.5,117,4.95,117.1,11.67,33.5,-
"Arthur Lynch",TE,7.38,28,96.4,118.0,116,4.82,109.6,11.73,29.5,-
"Asa Watson",TE,7.00,26,91.7,114.9,117,4.74,114.5,11.40,32.0,-
"Asante Cleveland",TE,7.33,20,89.1,100.6,116,4.93,114.9,11.78,32.5,-
"Austin Fort",TE,6.94,-,100.4,-,117,4.66,113.6,11.30,31.5,22.3
"Austin Hooper",TE,7.00,19,101.8,108.4,117,4.72,116.3,11.32,33.0,20.9
"Austin Roberts",TE,7.65,21,90.6,95.5,116,4.73,107.9,12.25,28.5,-
"Austin Seferian-Jenkins",TE,6.97,20,106.9,116.9,115,4.73,119.6,11.20,35.5,18.9
"Austin Traylor",TE,7.44,16,81.1,86.6,113,4.96,115.1,12.14,33.5,22.0
"Barrett Burns",TE,7.17,19,75.8,86.5,115,5.04,107.4,11.74,28.5,21.5
"Beau Gardner",TE,7.12,22,90.7,114.2,118,4.79,130.8,11.60,41.0,-
"Beau Sandland",TE,7.10,23,99.7,116.6,124,4.74,123.3,11.43,35.0,22.5
"Ben Braunecker",TE,6.90,20,98.1,116.1,121,4.73,122.6,11.10,35.5,21.6
"Ben Johnson",TE,7.26,17,75.9,92.9,114,5.04,114.8,11.65,33.0,-
"Ben Koyack",TE,7.32,16,102.7,94.2,116,4.73,110.5,11.84,30.0,-
"Ben Watson",TE,7.39,34,114.8,153.5,123,4.57,123.6,11.54,35.5,-
"Billy Brown",TE,6.90,23,104.0,106.8,118,4.70,109.8,11.38,29.0,21.5
"Billy Freeman",TE,7.18,22,86.8,97.6,112,4.79,109.4,11.80,30.5,22.0
"Blake Annen",TE,7.19,25,124.2,130.3,120,4.46,119.5,11.49,34.0,-
"Blake Bell",TE,6.85,14,96.9,97.7,116,4.80,115.8,11.17,33.0,23.1
"Blake Jackson",TE,7.56,14,82.0,81.7,113,4.86,108.1,12.12,29.5,-
"Blake Jarwin",TE,7.37,21,98.2,111.2,121,4.74,120.9,11.71,34.5,-
"Blake Mack",TE,7.33,21,87.9,102.0,117,4.77,116.3,11.84,33.0,20.4
"Braedon Bowman",TE,7.10,26,94.9,120.7,114,4.72,119.1,11.47,35.5,-
"Brandon Barnes",TE,7.03,20,99.3,101.7,114,4.77,119.1,11.72,35.5,21.3
