"Full Name",Position,"Arm Length","Height (Inches)",Weight,BMI,"Draft Pick","Hand Size",Age,"20-Yard Shuttle","Athleticism Score","Catch Radius"
"A.C. Leonard",TE,"33    ",74,"252 lbs",32.4,Undrafted,"9 1/4",27.6,4.39,103.9,10.06
"A.J. Derby",TE,"30 1/2",76,"255 lbs",31.0,6.26,"9 1/2",27.9,4.51,-,-
"Adam Shaheen",TE,"33 1/2",78,"278 lbs",32.1,2.13,"9 5/8",24.8,4.38,106.8,10.07
"Adam Zaruba",TE,-,77,"265 lbs",31.4,Undrafted,-,28.4,-,-,-
"Adrien Robinson",TE,-,76,"264 lbs",32.1,4.32,-,30.9,4.43,109.0,10.26
"Alan Cross",TE,"31 3/4",73,"240 lbs",31.7,Undrafted,"9 1/4",26.3,4.58,92.1,9.57
"Alex Bayer",TE,"32 5/8",76,"258 lbs",31.4,Undrafted,"9 3/4",28.8,4.42,99.3,9.87
"Alex Ellis",TE,"32 1/8",76,"253 lbs",30.8,Undrafted,"9 1/2",26.5,4.37,101.0,10.06
"Alex Gray",TE,-,76,"231 lbs",28.1,Undrafted,-,28.3,-,-,-
"Alize Mack",TE,"33 3/4",76,"249 lbs",30.3,7.17,"9 3/8",22.4,4.34,102.1,10.14
"Andre Hardy",TE,-,78,"245 lbs",28.3,Undrafted,-,32.4,-,-,-
"Andrew Beck",TE,"30 1/4",75,"252 lbs",31.5,Undrafted,"9 1/8",-,4.26,100.0,9.93
"Andrew Quarless",TE,"34    ",76,"252 lbs",30.7,5.23,"10 1/4",30.9,4.57,100.8,9.92
"Andrew Vollert",TE,"30 3/8",78,"239 lbs",27.6,Undrafted,"9 1/4",24.4,4.08,99.5,10.16
"Anthony Denham",TE,"33 3/8",75,"235 lbs",29.4,Undrafted,"10 1/2",28.1,4.56,95.2,9.83
"Anthony Fasano",TE,-,76,"255 lbs",31.0,2.21,-,35.3,4.34,101.2,10.07
"Anthony Firkser",TE,"31 1/4",74,"246 lbs",31.6,Undrafted,"9 7/8",24.5,4.29,95.5,9.83
"Anthony McCoy",TE,"34    ",76,"259 lbs",31.5,6.16,"10 3/8",31.6,4.57,103.3,10.10
"Antonio Gates",TE,-,76,"255 lbs",31.0,Undrafted,-,39.2,-,-,-
"Antony Auclair",TE,"34 1/4",77,"256 lbs",30.4,Undrafted,"10 7/8",26.2,4.37,100.1,9.99
"Arthur Lynch",TE,"32 1/2",77,"258 lbs",30.6,5.15,"10 1/8",29.2,4.35,99.4,9.83
"Asa Watson",TE,"32 5/8",74,"239 lbs",30.7,Undrafted,"9 1/2",29.0,4.40,96.9,9.92
"Asante Cleveland",TE,"34 3/4",77,"261 lbs",30.9,Undrafted,"10 1/4",27.4,4.45,100.8,9.95
"Austin Fort",TE,"33    ",76,"238 lbs",29.0,Undrafted,"10 1/4",24.2,4.36,98.7,10.04
"Austin Hooper",TE,"33 3/4",76,"254 lbs",30.9,3.18,"10 5/8",24.8,4.32,102.1,10.10
"Austin Roberts",TE,"31 1/2",74,"234 lbs",30.0,Undrafted,"10    ",23.7,4.60,92.4,9.53
"Austin Seferian-Jenkins",TE,"33 3/4",78,"262 lbs",30.3,2.06,"9 3/4",26.9,4.23,105.6,10.29
"Austin Traylor",TE,"33 1/4",75,"250 lbs",31.2,Undrafted,"9 1/8",25.9,4.70,96.0,9.73
"Barrett Burns",TE,"31 5/8",75,"249 lbs",31.1,Undrafted,"8 3/4",25.4,4.57,93.5,9.58
"Beau Gardner",TE,"31 1/2",76,"240 lbs",29.2,Undrafted,"9 7/8",29.6,4.48,99.9,10.18
"Beau Sandland",TE,"34 1/4",76,"253 lbs",30.8,7.31,"10 1/8",26.5,4.33,103.2,10.15
"Ben Braunecker",TE,"32 3/4",75,"250 lbs",31.2,Undrafted,"9 1/2",25.5,4.20,102.1,10.18
"Ben Johnson",TE,"30 1/2",76,"246 lbs",29.9,Undrafted,"9 3/4",25.0,4.39,94.6,9.78
"Ben Koyack",TE,"32 5/8",77,"255 lbs",30.2,7.12,"10 3/4",26.3,4.52,99.8,9.83
"Ben Watson",TE,"33    ",75,"255 lbs",31.9,1.32,"10    ",38.7,4.15,104.2,10.15
"Billy Brown",TE,"33    ",76,"255 lbs",31.0,Undrafted,"10 3/8",26.4,4.48,100.7,9.90
"Billy Freeman",TE,"30 1/2",74,"236 lbs",30.3,Undrafted,"9 1/4",25.9,4.62,93.0,9.65
"Blake Annen",TE,"33    ",76,"247 lbs",30.1,Undrafted,"9 7/8",28.2,4.30,103.5,10.16
"Blake Bell",TE,"33 1/8",78,"252 lbs",29.1,4.18,"10    ",28.0,4.32,101.7,10.15
"Blake Jackson",TE,"33 7/8",76,"230 lbs",28.0,Undrafted,"9 1/4",28.2,4.56,92.4,9.71
"Blake Jarwin",TE,"34 1/8",77,"246 lbs",29.2,Undrafted,"9 7/8",25.1,4.34,101.0,10.10
"Blake Mack",TE,"33    ",74,"235 lbs",30.2,Undrafted,"9 1/2",23.3,4.51,95.4,9.83
"Braedon Bowman",TE,"31 1/8",75,"240 lbs",30.0,Undrafted,"9 3/4",25.5,4.37,97.9,10.02
"Brandon Barnes",TE,"35    ",77,"255 lbs",30.2,Undrafted,"10 3/4",25.2,4.69,102.6,10.10
"Brandon Bostick",TE,"34 1/8",75,"245 lbs",30.6,Undrafted,-,30.3,4.25,101.7,10.14
"Brandon Dillon",TE,"31 1/4",76,"248 lbs",30.2,Undrafted,"9 3/8",-,4.33,98.4,9.94
"Brandon Myers",TE,-,76,"250 lbs",30.4,6.29,-,33.9,4.45,97.9,9.82
"Brandon Pettigrew",TE,"34 7/8",77,"265 lbs",31.4,1.20,"10 3/4",34.5,4.37,103.8,10.08
"Brandon Williams",TE,-,76,"250 lbs",30.4,Undrafted,-,31.8,4.53,103.5,10.07
"Braxton Deaver",TE,"31 1/4",76,"246 lbs",29.9,Undrafted,"9 1/4",27.3,4.44,95.4,9.75
"Brent Celek",TE,"31 3/8",76,"255 lbs",31.0,5.25,"10 1/8",34.6,4.31,99.0,9.93
"Brian Parker",TE,"33 1/2",76,"260 lbs",31.6,Undrafted,"10 1/8",27.2,4.40,104.4,10.21
"Bryce Williams",TE,"33 5/8",78,"257 lbs",29.7,Undrafted,"9 5/8",26.5,4.53,98.3,9.84
"Bucky Hodges",TE,"32 1/2",78,"257 lbs",29.7,6.17,"10 1/8",24.0,4.45,-,-
"C.J. Conrad",TE,"31    ",76,"249 lbs",30.3,Undrafted,"9 1/4",23.3,4.41,97.5,9.89
"C.J. Fiedorowicz",TE,"33    ",78,"265 lbs",30.6,3.01,"10 1/4",27.8,4.26,103.7,10.07
"C.J. Uzomah",TE,"34 1/8",77,"263 lbs",31.2,5.21,"9 3/8",26.6,4.57,103.4,9.94
"Caleb Wilson",TE,"33    ",76,"240 lbs",29.2,7.40,"9 3/4",23.1,4.40,98.1,9.91
"Cam Serigne",TE,"32 1/8",74,"240 lbs",30.8,Undrafted,"9    ",25.0,4.34,93.1,9.80
"Cameron Brate",TE,"31 3/4",77,"235 lbs",27.9,Undrafted,"9 7/8",28.1,4.48,96.2,9.94
"Cameron Clear",TE,"33 5/8",77,"277 lbs",32.8,Undrafted,"9 5/8",26.5,4.48,101.1,9.82
"Cannon Smith",TE,"32 1/4",76,"256 lbs",31.2,Undrafted,"9 1/8",-,4.66,93.0,9.46
"Carson Meier",TE,"32    ",77,"255 lbs",30.2,Undrafted,"9 3/4",-,4.72,97.6,9.75
"Casey Pierce",TE,"31 3/8",75,"244 lbs",30.5,Undrafted,"9 3/8",28.0,4.22,99.2,10.11
"Cethan Carter",TE,"32 3/8",75,"241 lbs",30.1,Undrafted,"9    ",25.9,-,-,-
"Charles Clay",TE,"33    ",75,"250 lbs",31.2,6.09,"9 1/2",30.5,4.15,100.9,10.10
"Charles Jones",TE,"32 1/2",75,"254 lbs",31.7,Undrafted,"9 3/4",-,4.70,95.9,9.60
"Charles Scarff",TE,"31 7/8",77,"249 lbs",29.5,Undrafted,"9 3/4",23.3,4.87,94.5,9.56
