"Full Name",Position,"Breakout Year","College Dominator Rating","College YPR"
"A.C. Leonard",TE,2012,38.3%,13.7
"A.J. Derby",TE,-,13.3%,13.8
"Adam Shaheen",TE,2015,36.4%,15.2
"Adrien Robinson",TE,-,14.2%,16.3
"Alan Cross",TE,2012,15.5%,11.1
"Alex Bayer",TE,2012,16.3%,11.4
"Alex Ellis",TE,-,3.2%,16.9
"Alize Mack",TE,-,12.9%,10.0
"Andrew Beck",TE,-,7.5%,10.0
"Andrew Quarless",TE,2006,14.9%,13.1
"Andrew Vollert",TE,2016,24.8%,13.1
"Anthony Denham",TE,-,10.5%,12.1
"Anthony Fasano",TE,-,10.4%,12.3
"Anthony Firkser",TE,2014,35.2%,15.6
"Anthony McCoy",TE,-,12.9%,20.8
"Antony Auclair",TE,-,12.0%,13.5
"Arthur Lynch",TE,-,14.1%,15.3
"Asa Watson",TE,-,3.3%,17.8
"Asante Cleveland",TE,-,2.3%,6.9
"Austin Fort",TE,2017,13.6%,13.2
"Austin Hooper",TE,2015,17.4%,12.9
"Austin Roberts",TE,-,7.4%,11.6
"Austin Seferian-Jenkins",TE,2011,29.5%,12.5
"Austin Traylor",TE,2015,33.1%,15.0
"Barrett Burns",TE,2015,15.4%,11.9
"Beau Gardner",TE,-,17.2%,11.8
"Beau Sandland",TE,2015,24.5%,17.1
"Ben Braunecker",TE,2015,30.6%,17.7
"Ben Johnson",TE,-,10.3%,12.1
"Ben Koyack",TE,-,7.6%,10.6
"Ben Watson",TE,-,10.5%,15.5
"Billy Brown",TE,2014,47.0%,16.0
"Billy Freeman",TE,2015,15.6%,12.0
"Blake Annen",TE,-,6.4%,14.0
"Blake Bell",TE,2014,15.8%,13.4
"Blake Jackson",TE,-,8.8%,19.9
"Blake Jarwin",TE,-,7.1%,16.3
"Blake Mack",TE,2016,18.7%,16.0
"Braedon Bowman",TE,-,4.2%,13.2
"Brandon Barnes",TE,2015,12.4%,16.2
"Brandon Bostick",TE,2009,37.7%,15.0
"Brandon Dillon",TE,2017,18.9%,16.4
"Brandon Myers",TE,2007,26.3%,13.0
"Brandon Pettigrew",TE,2007,13.2%,13.3
"Brandon Williams",TE,-,0.8%,12.0
"Braxton Deaver",TE,2013,12.7%,10.9
"Brent Celek",TE,2005,18.0%,13.7
"Brian Parker",TE,2013,19.9%,12.8
"Bryce Williams",TE,2015,18.2%,10.1
"Bucky Hodges",TE,2014,27.7%,11.7
"C.J. Conrad",TE,2016,24.4%,14.2
"C.J. Fiedorowicz",TE,2012,21.6%,10.0
"C.J. Uzomah",TE,-,9.0%,13.2
"Caleb Wilson",TE,2018,32.3%,16.1
"Cam Serigne",TE,2014,27.4%,11.2
"Cameron Brate",TE,2011,19.7%,16.1
"Cameron Clear",TE,-,1.0%,8.7
"Cannon Smith",TE,-,1.9%,9.7
"Carson Meier",TE,-,8.8%,17.2
"Casey Pierce",TE,2013,31.2%,10.7
"Cethan Carter",TE,-,10.0%,11.9
"Charles Clay",TE,2007,17.9%,13.5
"Charles Jones",TE,2014,8.6%,7.2
"Charles Scarff",TE,2016,30.1%,11.6
"Chase Coffman",TE,2005,25.5%,11.0
"Chase Dixon",TE,2013,13.0%,11.9
"Chase Ford",TE,-,4.0%,11.7
"Chris Bazile",TE,-,2.9%,12.7
"Chris Coyle",TE,2012,16.6%,12.2
"Chris Gragg",TE,-,10.7%,12.6
"Chris Herndon",TE,2017,18.0%,11.9
"Chris Myarick",TE,-,5.1%,10.4
"Clay Harbor",TE,2008,33.0%,13.4
"Clive Walford",TE,2012,23.9%,15.4
"Coby Fleener",TE,2010,22.4%,19.6
"Codey McElroy",TE,2017,20.3%,12.4
"Cole Herdman",TE,-,7.3%,13.7
"Cole Hikutini",TE,2013,21.3%,13.4
"Cole Hunt",TE,-,2.3%,10.6
"Cole Wick",TE,2014,20.0%,14.8
"Colin Thompson",TE,-,3.1%,14.3
"Colt Lyerla",TE,2012,8.1%,15.7
"Cooper Helfet",TE,2010,19.8%,9.2
"Craig Stevens",TE,-,13.6%,13.6
"Crockett Gillmore",TE,2011,20.1%,12.3
"D.J. Williams",TE,2008,16.1%,11.6
"Dallas Goedert",TE,2016,30.7%,14.7
"Dalton Schultz",TE,-,11.4%,9.6
"Damon Gibson",TE,2015,39.4%,14.6
"Dan Arnold",TE,2015,38.4%,18.1
"Daniel Brown",TE,2013,24.1%,15.1
"Daniel Fells",TE,-,11.4%,18.2
"Daniel Helm",TE,-,9.5%,10.8
"Dante Rosario",TE,-,9.6%,10.1
"Darion Griswold",TE,2013,12.2%,13.7
"Darrell Daniels",TE,-,10.4%,18.1
"Darren Waller",TE,2014,32.1%,17.0
"Datryan Evans",TE,2018,16.1%,13.7
"David Ausberry",TE,-,13.9%,9.2
"David Grinnage",TE,2014,15.0%,12.4
"David Morgan",TE,2014,26.9%,12.6
"David Njoku",TE,2016,24.6%,16.2
"David Paulson",TE,2010,16.9%,14.1
"David Wells",TE,2016,14.7%,13.3
"David Wright",TE,2013,15.2%,14.4
"Davis Koppenhaver",TE,2018,18.9%,8.2
"Dawson Knox",TE,-,4.9%,13.4
"Dax Raymond",TE,-,10.3%,11.9
"DeAndre Goolsby",TE,-,14.4%,9.0
"Delanie Walker",TE,2004,30.4%,12.4
"Dennis Pitta",TE,2007,22.9%,13.4
"Deon Yelder",TE,2017,22.6%,13.2
"Derek Carrier",TE,2008,66.4%,17.2
"Derrick Griffin",TE,2015,48.7%,19.7
"Devin Mahina",TE,-,8.1%,12.2
"Devon Cajuste",TE,2013,20.5%,15.3
"Dion Sims",TE,2012,17.9%,13.2
"Dominique Jones",TE,2010,26.1%,11.9
"Donald Parham",TE,2016,48.9%,13.9
"Donnie Ernsberger",TE,2017,20.4%,11.6
"Drew Belcher",TE,-,9.8%,10.7
"Drew Sample",TE,-,6.6%,9.0
"Durham Smythe",TE,-,8.5%,14.4
"Dustin Keller",TE,2005,22.7%,13.0
"Dwayne Allen",TE,2011,19.6%,12.0
"E.J. Bibbs",TE,2013,25.5%,8.5
"Ed Dickson",TE,2008,35.3%,13.1
"Ellis Richardson",TE,2017,25.9%,8.1
"Emanuel Byrd",TE,-,10.4%,9.3
"Eric Ebron",TE,2012,18.8%,15.7
"Eric Frohnapfel",TE,-,11.5%,11.8
"Eric Saubert",TE,2014,31.6%,13.9
"Eric Tomlinson",TE,-,9.6%,10.1
"Eric Waters",TE,-,2.8%,16.0
"Ethan Wolf",TE,2017,19.5%,10.3
"Evan Baylis",TE,-,4.2%,10.9
"Evan Engram",TE,2014,29.5%,14.2
"Evan Wilson",TE,-,10.2%,12.3
"Foster Moreau",TE,-,12.3%,12.0
"Fred Davis",TE,2007,27.2%,14.2
"Gabe Holmes",TE,-,10.2%,10.5
"Garrett Celek",TE,-,3.9%,11.7
"Garrett Dickerson",TE,2016,18.4%,10.8
"Garrett Graham",TE,2007,36.9%,12.2
"Garrett Griffin",TE,2014,27.4%,17.3
"Gary Barnidge",TE,2006,19.6%,14.4
"Gator Hoskins",TE,2012,27.8%,16.4
"Gavin Escobar",TE,2011,28.8%,14.1
"Geoff Swaim",TE,-,4.9%,7.0
"George Kittle",TE,2015,23.2%,14.3
"Gerald Christian",TE,2014,17.8%,12.0
"Gerald Everett",TE,2015,31.7%,14.3
"Gerell Robinson",TE,2011,29.9%,18.1
"Greg Olsen",TE,2005,16.7%,12.2
"Hakeem Valles",TE,-,8.4%,12.4
"Hale Hentges",TE,-,5.0%,9.6
"Harold Spears",TE,-,18.3%,11.8
"Hayden Hurst",TE,2016,15.6%,12.7
"Hayden Plinke",TE,2016,29.4%,12.0
"Heath Miller",TE,2002,40.3%,12.5
"Henry Krieger-Coble",TE,-,10.2%,9.5
"Hunter Henry",TE,2013,24.8%,14.6
"Ian Bunting",TE,-,7.5%,10.8
"Ian Thomas",TE,2017,19.1%,15.0
"Ifeanyi Momah",TE,-,11.3%,18.5
"Irv Smith",TE,-,14.0%,16.1
"Isaac Nauta",TE,2016,16.6%,12.4
"Isaiah Searight",TE,2017,27.5%,11.4
"J.P. Holtz",TE,2014,16.6%,14.6
"Jace Amaro",TE,2013,23.2%,12.8
"Jace Sternberger",TE,2018,32.7%,17.3
"Jack Doyle",TE,2009,23.9%,10.9
"Jacob Hollister",TE,2014,23.4%,16.1
"Jacob Maxwell",TE,-,11.1%,13.2
"Jacob Pedersen",TE,2011,20.5%,14.1
"Jacob Tamme",TE,2007,15.8%,11.1
"Jaeden Graham",TE,2017,18.1%,14.6
"Jake Ballard",TE,-,6.9%,12.7
"Jake Butt",TE,2014,22.1%,11.0
"Jake McGee",TE,2012,19.2%,9.2
"Jake Murphy",TE,2012,26.2%,16.7
"Jake Powell",TE,2017,12.2%,12.7
"Jake Roh",TE,2017,26.7%,10.5
"Jake Sinkovec",TE,-,11.8%,12.8
"Jake Stoneburner",TE,2011,26.3%,16.8
"James Casey",TE,2008,29.2%,12.0
"James Hanna",TE,2010,11.6%,14.1
"James O'Shaughnessy",TE,2014,22.2%,18.8
"Jared Cook",TE,2008,17.4%,15.5
"Jason Croom",TE,2013,9.7%,13.2
"Jason Witten",TE,2002,27.0%,12.6
"Je'Ron Hamm",TE,2012,17.4%,12.7
"Jean Sifrin",TE,2014,19.6%,15.5
"Jeff Cumberland",TE,2007,19.7%,18.0
"Jeff Heuerman",TE,-,9.3%,18.6
"Jerell Adams",TE,2015,17.3%,15.0
"Jeremy Eddington",TE,2010,9.3%,17.5
"Jeremy Sprinkle",TE,2015,14.2%,13.0
"Jermaine Gresham",TE,2007,11.7%,14.4
"Jermichael Finley",TE,-,13.7%,12.8
"Jerome Cunningham",TE,2012,20.7%,11.6
"Jerome Washington",TE,2017,12.1%,14.2
"Jesse James",TE,2013,18.1%,10.4
"Jim Dray",TE,2009,18.4%,13.5
"Jimmy Graham",TE,2009,15.9%,12.5
"Jody Fortson",TE,-,11.3%,11.3
"Joe Don Duncan",TE,2011,37.9%,14.8
"Joel Dreessen",TE,2003,17.4%,9.9
"John Carlson",TE,2006,21.8%,9.3
"John Lovett",TE,-,0.0%,-
"John Peters",TE,2012,55.5%,17.6
"John Phillips",TE,2008,19.0%,8.0
"Johnny Mundt",TE,2016,18.6%,14.5
"Jonnu Smith",TE,2013,33.0%,11.8
"Jordan Akins",TE,-,12.9%,15.2
"Jordan Cameron",TE,-,4.3%,7.9
"Jordan Franks",TE,2015,8.6%,11.2
"Jordan Leggett",TE,2015,16.3%,14.6
"Jordan Najvar",TE,-,2.7%,9.1
"Jordan Reed",TE,2011,26.2%,12.4
"Jordan Thomas",TE,-,14.9%,12.0
"Joseph Fauria",TE,2011,29.0%,13.8
"Josh Hill",TE,2010,18.1%,9.4
"Josh Oliver",TE,2018,20.6%,12.7
"Joshua Perkins",TE,2014,17.5%,15.0
"Josiah Price",TE,2014,20.4%,10.2
"Julius Thomas",TE,2010,21.8%,15.6
"Justice Cunningham",TE,-,6.5%,14.1
"Justin Jones",TE,-,11.6%,13.8
"Justin Perillo",TE,2011,16.4%,12.6
"Kaden Smith",TE,2017,18.8%,18.0
"Kahale Warring",TE,2017,19.6%,12.0
"Kano Dillon",TE,-,8.9%,18.4
"Keenen Brown",TE,2018,29.9%,11.3
"Keith Towbridge",TE,-,5.8%,13.2
"Kellen Davis",TE,2007,23.3%,16.0
"Kendall Blanton",TE,-,8.0%,9.1
"Kennard Backman",TE,2012,21.2%,10.2
"Kent Taylor",TE,-,4.7%,9.1
"Kevin Rader",TE,-,14.2%,12.4
"Khari Lee",TE,2012,17.3%,13.0
"Kyle Carter",TE,-,8.7%,11.1
"Kyle Nelson",TE,-,14.8%,9.0
"Kyle Rudolph",TE,-,11.5%,11.7
"Ladarius Green",TE,2008,34.1%,15.0
"Lance Kendricks",TE,2009,27.5%,15.4
"Larry Donnell",TE,2010,32.7%,13.2
"Lee Smith",TE,-,13.7%,9.4
"Levine Toilolo",TE,2011,21.7%,13.7
"Logan Parker",TE,2017,14.5%,12.5
"Logan Paulsen",TE,-,7.3%,12.5
"Luke Stocker",TE,2009,14.2%,10.7
"Luke Willson",TE,2010,15.0%,10.8
"Manasseh Garner",TE,-,12.7%,11.8
"MarQueis Gray",TE,-,-,14.0
"Marcedes Lewis",TE,2005,26.1%,12.8
"Marcel Jensen",TE,-,9.2%,13.6
"Marcus Baugh",TE,-,10.5%,10.9
"Marcus Lucas",TE,2011,19.6%,11.9
"Mark Andrews",TE,2017,18.0%,15.5
"Mark Harrison",TE,2010,34.9%,16.1
"Martellus Bennett",TE,2005,27.3%,12.0
"Mason Schreck",TE,2016,31.7%,11.0
"Matt Flanagan",TE,-,6.9%,9.7
"Matt LaCosse",TE,-,9.8%,11.8
"Matt Lengel",TE,-,7.0%,11.0
"Matt Sokol",TE,-,6.2%,11.5
"Matt Weiser",TE,2015,19.8%,9.9
"Matthew Mulligan",TE,2007,14.7%,12.1
"Mavin Saunders",TE,-,2.7%,13.1
"Maxx Williams",TE,2013,48.8%,15.8
"Michael Egnew",TE,2010,20.7%,9.5
"Michael Hoomanawanui",TE,-,7.3%,12.5
"Michael Roberts",TE,2016,23.7%,11.8
"Mickey Shuler",TE,-,8.0%,10.7
"Micky Crum",TE,-,11.0%,10.9
"Mik'Quan Deane",TE,2018,29.7%,12.0
"Mike Flacco",TE,2013,24.5%,19.7
"Mike Gesicki",TE,2016,21.5%,9.9
"Mike McFarland",TE,-,14.1%,11.8
"Mitchell Henry",TE,-,9.1%,11.8
"Moral Stephens",TE,2017,13.5%,13.3
"MyCole Pruitt",TE,2011,37.6%,11.8
"Mychal Rivera",TE,-,14.6%,15.6
"Nate Becker",TE,-,10.2%,11.8
"Neal Sterling",TE,2013,28.9%,16.5
"Nic Jacobs",TE,2013,15.3%,5.8
"Nick Boyle",TE,2013,21.2%,10.4
"Nick Kasa",TE,2012,30.0%,15.6
"Nick Keizer",TE,2017,26.2%,17.4
"Nick O'Leary",TE,2013,18.8%,12.9
"Nick Vannett",TE,-,6.4%,10.1
"Niles Paul",TE,2009,22.8%,16.6
"Noah Fant",TE,2017,30.4%,16.5
"O.J. Howard",TE,2016,15.2%,13.2
"Orson Charles",TE,2011,15.1%,12.8
