lock_version,model_run_id,audit,league,n_rows,value
v2_conditional_ppg_2026_candidate_v1,v2_locked_final_dk_20260826T213404Z_d0eb552b,v2_handoff_duplicate_player_key_season_rows,all,8903,0.0
v2_conditional_ppg_2026_candidate_v1,v2_locked_final_dk_20260826T213404Z_d0eb552b,historical_identity_join_rate,dk,2696,1.0
v2_conditional_ppg_2026_candidate_v1,v2_locked_final_dk_20260826T213404Z_d0eb552b,historical_position_mismatch_rate,dk,2696,0.001112759643916914
v2_conditional_ppg_2026_candidate_v1,v2_locked_final_dk_20260826T213404Z_d0eb552b,historical_point_center_coverage,dk,2696,1.0
v2_conditional_ppg_2026_candidate_v1,v2_locked_final_dk_20260826T213404Z_d0eb552b,v2_target_vs_template_active_ppg_mae,dk,2644,0.2327246264866515
v2_conditional_ppg_2026_candidate_v1,v2_locked_final_dk_20260826T213404Z_d0eb552b,v2_target_vs_template_active_ppg_max_abs,dk,2644,15.893333333333334
v2_conditional_ppg_2026_candidate_v1,v2_locked_final_dk_20260826T213404Z_d0eb552b,recomputed_residual_identity_max_abs,dk,2696,1.7763568394002505e-15
v2_conditional_ppg_2026_candidate_v1,v2_locked_final_dk_20260826T213404Z_d0eb552b,current_player_map_identity_join_rate,dk,348,1.0
v2_conditional_ppg_2026_candidate_v1,v2_locked_final_dk_20260826T213404Z_d0eb552b,current_player_map_position_mismatch_rate,dk,348,0.0
v2_conditional_ppg_2026_candidate_v1,v2_locked_final_dk_20260826T213404Z_d0eb552b,current_player_map_point_center_coverage,dk,348,1.0
