lock_version,model_run_id,forecast_origin,calibration_scope,prior_rows,prior_start_season,prior_end_season,intercept_correction,affine_intercept,affine_slope
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2023,WR,994,2017,2022,0.1295748121870219,-0.6494223289331771,1.0742467143049306
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2024,global,2800,2017,2023,0.13223407128664344,-0.578425103228283,1.0602066951562263
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2024,QB,221,2017,2023,-0.1309544136408619,1.3243157020439327,0.9228876953694112
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2024,RB,793,2017,2023,-0.06767000731924692,-0.4765075778505068,1.0723005134171135
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2024,TE,621,2017,2023,0.3653715626287881,-0.7148614475053447,1.067641926613555
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2024,WR,1165,2017,2023,0.1939595711836202,-0.8456871448251411,1.0931211871993622
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2025,global,3206,2017,2024,0.1392826487001571,-0.5957594978699463,1.0615101823791624
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2025,QB,264,2017,2024,-0.13589600831968798,1.3332540438973908,0.9221264193948445
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2025,RB,902,2017,2024,-0.047268679020790544,-0.5692683830455945,1.0821876782385067
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2025,TE,710,2017,2024,0.3664043081922501,-0.7014464295366967,1.0651924454297372
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,2025,WR,1330,2017,2024,0.19917744931530595,-0.823632259454973,1.0891336118660766
