lock_version,model_run_id,target_name,method,slice_type,slice_value,metric,n_rows,n_seasons,value
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2021,spearman,413,1,0.7966771482439593
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2022,rmse,422,1,2.5898603849567596
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2022,mae,422,1,2.081244609776442
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2022,bias,422,1,0.5864643401948189
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2022,spearman,422,1,0.8140934373470494
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2023,rmse,404,1,2.962507676554865
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2023,mae,404,1,2.2777959810080453
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2023,bias,404,1,0.4596897047339849
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2023,spearman,404,1,0.7867265294433355
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2024,rmse,406,1,2.974264635680518
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2024,mae,406,1,2.3685784346084082
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2024,bias,406,1,0.18368783791113685
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2024,spearman,406,1,0.7988597453218137
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2025,rmse,416,1,2.7438055175761367
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2025,mae,416,1,2.1019993933345384
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2025,bias,416,1,0.13990712878994982
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2025,spearman,416,1,0.8107419326825408
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,QB,rmse,306,8,4.0056877707193985
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,QB,mae,306,8,3.1831126761056363
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,QB,bias,306,8,-0.16425422864123404
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,QB,spearman,306,8,0.5463461061254747
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,RB,rmse,1011,9,3.2919277643527005
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,RB,mae,1011,9,2.57454557095269
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,RB,bias,1011,9,-0.05446792015064183
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,RB,spearman,1011,9,0.7448426166745729
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,TE,rmse,802,9,1.9957190936276532
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,TE,mae,802,9,1.5774814984480323
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,TE,bias,802,9,0.2896174271920406
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,TE,spearman,802,9,0.6922285111818017
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,WR,rmse,1503,9,2.710221999775304
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,WR,mae,1503,9,2.1626112106088535
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,WR,bias,1503,9,0.23019538310965088
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260730T140449Z_ef55415d,conditional_ppg,conditional_ppg_history_gap_no_history_route,position,WR,spearman,1503,9,0.7372537994086698
