year,policy,player,forced_rosters,forced_roster_rate
2022,reinvest_k1,Dameon Pierce,128,0.512
2022,reinvest_k1,Elijah Moore,20,0.08
2022,reinvest_k1,Rachaad White,15,0.06
2022,reinvest_k1,Cordarrelle Patterson,7,0.028
2022,reinvest_k1,Treylon Burks,7,0.028
2022,reinvest_k1,Rhamondre Stevenson,7,0.028
2022,reinvest_k1,Devonta Smith,5,0.02
2022,reinvest_k1,Brandon Aiyuk,4,0.016
2022,reinvest_k1,George Pickens,4,0.016
2022,reinvest_k1,Michael Carter,4,0.016
2022,reinvest_k1,Brian Robinson,3,0.012
2022,reinvest_k1,Drake London,2,0.008
2022,reinvest_k1,James Robinson,1,0.004
2022,reinvest_k1,Rashaad Penny,1,0.004
2022,reinvest_k1,Gabriel Davis,1,0.004
2022,reinvest_k1,Skyy Moore,1,0.004
2022,reinvest_k1,Rashod Bateman,1,0.004
2022,reinvest_k2,Dameon Pierce,156,0.624
2022,reinvest_k2,Elijah Moore,48,0.192
2022,reinvest_k2,Michael Carter,32,0.128
2022,reinvest_k2,Rachaad White,31,0.124
2022,reinvest_k2,Rhamondre Stevenson,22,0.088
2022,reinvest_k2,Cordarrelle Patterson,21,0.084
2022,reinvest_k2,Treylon Burks,14,0.056
2022,reinvest_k2,Brian Robinson,11,0.044
2022,reinvest_k2,Brandon Aiyuk,8,0.032
2022,reinvest_k2,Devonta Smith,8,0.032
2022,reinvest_k2,George Pickens,6,0.024
2022,reinvest_k2,Skyy Moore,5,0.02
2022,reinvest_k2,Drake London,5,0.02
2022,reinvest_k2,Gabriel Davis,4,0.016
2022,reinvest_k2,Rashaad Penny,2,0.008
2022,reinvest_k2,Rashod Bateman,2,0.008
2022,reinvest_k2,James Robinson,1,0.004
2022,reinvest_k2,James Cook,1,0.004
2022,reinvest_k3,Dameon Pierce,166,0.664
2022,reinvest_k3,Elijah Moore,61,0.244
2022,reinvest_k3,Michael Carter,48,0.192
2022,reinvest_k3,Rachaad White,45,0.18
2022,reinvest_k3,Rhamondre Stevenson,41,0.164
2022,reinvest_k3,Cordarrelle Patterson,33,0.132
2022,reinvest_k3,Treylon Burks,24,0.096
2022,reinvest_k3,Brian Robinson,14,0.056
2022,reinvest_k3,Brandon Aiyuk,10,0.04
2022,reinvest_k3,Devonta Smith,10,0.04
2022,reinvest_k3,George Pickens,7,0.028
2022,reinvest_k3,Skyy Moore,7,0.028
2022,reinvest_k3,Rashaad Penny,6,0.024
2022,reinvest_k3,Drake London,6,0.024
2022,reinvest_k3,Gabriel Davis,4,0.016
2022,reinvest_k3,Rashod Bateman,2,0.008
2022,reinvest_k3,James Robinson,1,0.004
2022,reinvest_k3,James Cook,1,0.004
2022,reinvest_k3,Melvin Gordon,1,0.004
2023,reinvest_k1,Zach Charbonnet,64,0.256
2023,reinvest_k1,Tyjae Spears,54,0.216
2023,reinvest_k1,Kendre Miller,32,0.128
2023,reinvest_k1,Brian Robinson,22,0.088
2023,reinvest_k1,Rashaad Penny,18,0.072
2023,reinvest_k1,Tank Bigsby,10,0.04
2023,reinvest_k1,Devon Achane,6,0.024
2023,reinvest_k1,Jahan Dotson,1,0.004
2023,reinvest_k1,Zay Flowers,1,0.004
2023,reinvest_k1,Tyler Allgeier,1,0.004
2023,reinvest_k2,Zach Charbonnet,96,0.384
2023,reinvest_k2,Tyjae Spears,72,0.288
2023,reinvest_k2,Kendre Miller,69,0.276
2023,reinvest_k2,Brian Robinson,52,0.208
2023,reinvest_k2,Rashaad Penny,39,0.156
2023,reinvest_k2,Tank Bigsby,26,0.104
2023,reinvest_k2,Devon Achane,6,0.024
2023,reinvest_k2,Tyler Allgeier,4,0.016
2023,reinvest_k2,Gabriel Davis,2,0.008
2023,reinvest_k2,Zay Flowers,2,0.008
2023,reinvest_k2,Jahan Dotson,1,0.004
2023,reinvest_k2,Clyde Edwards Helaire,1,0.004
2023,reinvest_k3,Zach Charbonnet,109,0.436
2023,reinvest_k3,Kendre Miller,92,0.368
2023,reinvest_k3,Tyjae Spears,87,0.348
2023,reinvest_k3,Brian Robinson,67,0.268
2023,reinvest_k3,Rashaad Penny,54,0.216
2023,reinvest_k3,Tank Bigsby,34,0.136
2023,reinvest_k3,Devon Achane,13,0.052
2023,reinvest_k3,Tyler Allgeier,12,0.048
2023,reinvest_k3,Gabriel Davis,4,0.016
2023,reinvest_k3,Zay Flowers,4,0.016
2023,reinvest_k3,Jahan Dotson,2,0.008
2023,reinvest_k3,Clyde Edwards Helaire,2,0.008
2024,reinvest_k1,Zach Charbonnet,146,0.584
2024,reinvest_k1,Trey Benson,44,0.176
2024,reinvest_k1,Blake Corum,28,0.112
2024,reinvest_k1,Bucky Irving,13,0.052
2024,reinvest_k1,Ray Davis,3,0.012
2024,reinvest_k1,Jerome Ford,2,0.008
2024,reinvest_k1,Jonathon Brooks,1,0.004
2024,reinvest_k1,Tyrone Tracy,1,0.004
2024,reinvest_k2,Zach Charbonnet,200,0.8
2024,reinvest_k2,Trey Benson,121,0.484
2024,reinvest_k2,Blake Corum,72,0.288
2024,reinvest_k2,Bucky Irving,28,0.112
2024,reinvest_k2,Ray Davis,27,0.108
2024,reinvest_k2,Jerome Ford,7,0.028
2024,reinvest_k2,Tyrone Tracy,7,0.028
2024,reinvest_k2,Rico Dowdle,4,0.016
2024,reinvest_k2,Jonathon Brooks,3,0.012
2024,reinvest_k2,Kendre Miller,1,0.004
2024,reinvest_k3,Zach Charbonnet,216,0.864
2024,reinvest_k3,Trey Benson,156,0.624
2024,reinvest_k3,Blake Corum,90,0.36
2024,reinvest_k3,Bucky Irving,59,0.236
2024,reinvest_k3,Ray Davis,54,0.216
2024,reinvest_k3,Jonathon Brooks,20,0.08
2024,reinvest_k3,Jerome Ford,11,0.044
2024,reinvest_k3,Tyrone Tracy,9,0.036
2024,reinvest_k3,Kendre Miller,5,0.02
2024,reinvest_k3,Chase Brown,4,0.016
2024,reinvest_k3,Rico Dowdle,4,0.016
2024,reinvest_k3,Rome Odunze,1,0.004
2025,reinvest_k1,Ray Davis,108,0.432
2025,reinvest_k1,Trey Benson,18,0.072
2025,reinvest_k1,Jacory Croskey Merritt,15,0.06
2025,reinvest_k1,Braelon Allen,11,0.044
2025,reinvest_k1,Tyrone Tracy,11,0.044
2025,reinvest_k1,Emeka Egbuka,2,0.008
2025,reinvest_k1,Matthew Golden,2,0.008
2025,reinvest_k1,Jaylen Wright,2,0.008
2025,reinvest_k1,Kaleb Johnson,1,0.004
2025,reinvest_k2,Ray Davis,130,0.52
2025,reinvest_k2,Trey Benson,43,0.172
2025,reinvest_k2,Jacory Croskey Merritt,32,0.128
2025,reinvest_k2,Tyrone Tracy,28,0.112
2025,reinvest_k2,Braelon Allen,17,0.068
2025,reinvest_k2,Jaylen Wright,10,0.04
2025,reinvest_k2,Kaleb Johnson,8,0.032
2025,reinvest_k2,Matthew Golden,6,0.024
2025,reinvest_k2,Emeka Egbuka,4,0.016
2025,reinvest_k3,Ray Davis,134,0.536
2025,reinvest_k3,Trey Benson,57,0.228
2025,reinvest_k3,Jacory Croskey Merritt,49,0.196
2025,reinvest_k3,Tyrone Tracy,33,0.132
2025,reinvest_k3,Braelon Allen,20,0.08
2025,reinvest_k3,Jaylen Wright,15,0.06
2025,reinvest_k3,Kaleb Johnson,13,0.052
2025,reinvest_k3,Matthew Golden,9,0.036
2025,reinvest_k3,Emeka Egbuka,5,0.02
