year,policy,roster_changed_rate,forced_option_count,starter_changes,starter_spend_effect,bench_spend_effect,unspent_budget_effect,starter_forecast_ev_effect,forecast_ev_effect,forecast_p10_effect,actual_points_effect,waiver_starts_effect,playoff_effect,predicted_best_surplus_effect,actual_best_surplus_effect,actual_hit20_effect
2022,reinvest_k1,0.844,0.844,1.02,3.074203002929687,-2.9519228515625,-0.12228125,1.58375244140625,-2.73172021484375,-3.9436767578125,15.754482421875,-1.308,4.009040405273436,6.608267640903638,2.4783093498179154,0.0
2022,reinvest_k2,0.844,1.508,1.24,3.4201010131835927,-3.5408378448486326,0.1207379150390625,2.466322265625,-3.32646044921875,-4.501951171875,18.31168212890625,-1.276,2.475841186523434,8.947667227310232,5.5396837629131515,0.0
2022,reinvest_k3,0.844,1.948,1.32,3.845386596679687,-3.8415852432250976,-0.003800659179687493,2.742513671875,-3.78657470703125,-4.76669482421875,23.5568828125,-1.42,1.695839721679685,10.029113852152477,7.9142325286504285,0.0
2023,reinvest_k1,0.836,0.836,2.064,3.8188555908203123,-3.4814763870239256,-0.337378662109375,4.7143798828125,6.4481416015625,5.4063525390625,19.81119482421875,1.804,4.135922729492188,3.8998636498488386,4.890994074136801,0.0
2023,reinvest_k2,0.836,1.48,2.272,4.06178387451172,-3.4045342636108398,-0.657247314453125,5.13869384765625,6.51365478515625,4.51737548828125,23.97703173828125,2.444,9.489361938476561,5.924792122106398,2.982075546526091,0.0
2023,reinvest_k3,0.836,1.92,2.408,4.273229675292967,-3.5903993759155273,-0.6828299560546875,6.7287216796875,7.463576171875,4.2439150390625,23.84471435546875,3.02,10.014401611328124,7.556157554010449,2.733495381096892,-0.008
2024,reinvest_k1,0.952,0.952,1.368,9.606849304199216,-9.729613967895508,0.122766357421875,5.6136337890625,-3.08181982421875,0.86835205078125,-15.70872314453125,0.12,-11.952073974609382,4.792070269083717,-1.1720075979865276,-0.016
2024,reinvest_k2,0.952,1.88,1.684,16.986414245605467,-17.26560855102539,0.2791937255859375,13.82944287109375,-3.71766552734375,-5.14905126953125,-26.5805634765625,1.036,-15.152636108398443,8.401439634307378,0.7512824687778473,-0.008
2024,reinvest_k3,0.952,2.516,1.824,17.88418676757812,-18.00746258544922,0.1232757568359375,15.2348388671875,-6.42671630859375,-8.3593671875,-66.0987119140625,3.484,-29.87607336425782,9.660040998922625,-10.71283289829543,-0.216
2025,reinvest_k1,0.68,0.68,1.072,6.372254638671874,-6.277373809814453,-0.0948804931640625,6.35682080078125,1.66796240234375,2.63407470703125,12.50264208984375,0.76,1.6305588378906262,1.9947009815518342,,
2025,reinvest_k2,0.68,1.112,1.344,7.282329223632811,-7.190282478332519,-0.0920458984375,6.38798583984375,2.72102490234375,5.7185673828125,15.042638671875,0.692,0.36383789062500116,3.2190558398089903,,
2025,reinvest_k3,0.68,1.34,1.388,8.039667480468749,-7.736564071655273,-0.3031025390625,7.18792919921875,3.9252802734375,6.2880107421875,16.81047998046875,0.424,0.23551770019531365,3.820102996380217,,
