year,policy,forced_options,starter_changes,forecast_salary_spend_effect,unspent_budget_effect,starter_forecast_spend_effect,bench_forecast_spend_effect,starter_forecast_ev_effect,starter_forecast_p10_effect,forecast_ev_effect,forecast_p10_effect,actual_points_effect,actual_playoff_points_effect,actual_waiver_starts_effect,predicted_expected_best_surplus_effect,actual_best_keeper_surplus_effect,actual_any_keeper_hit_20_effect,actual_best_future_ppg_effect
2022,reinvest_k1,0.844,1.02,0.12228124999999909,-0.12228125,3.0742030029296874,-2.9519228515625,1.58375244140625,1.7343271484375,-2.73172021484375,-3.9436767578125,15.754482421875,4.009040405273436,-1.308,6.608267640903638,2.4783093498179154,0.0,0.12725333404541014
2023,reinvest_k1,0.836,2.064,0.33737866210937434,-0.337378662109375,3.818855590820313,-3.4814763870239256,4.7143798828125,2.140443359375,6.4481416015625,5.4063525390625,19.81119482421875,4.135922729492188,1.804,3.8998636498488386,4.890994074136801,0.0,0.24759318161010754
2024,reinvest_k1,0.952,1.368,-0.12276635742187432,0.122766357421875,9.606849304199216,-9.729613967895508,5.6136337890625,3.4621474609375,-3.08181982421875,0.86835205078125,-15.70872314453125,-11.952073974609382,0.12,4.792070269083717,-1.1720075979865276,-0.016,-0.03883991241455078
2025,reinvest_k1,0.68,1.072,0.09488049316406295,-0.0948804931640625,6.372254638671875,-6.277373809814453,6.35682080078125,7.15704931640625,1.66796240234375,2.63407470703125,12.50264208984375,1.6305588378906262,0.76,1.9947009815518342,,,
2022,reinvest_k2,1.508,1.24,-0.1207379150390634,0.1207379150390625,3.4201010131835927,-3.5408378448486326,2.466322265625,2.856890625,-3.32646044921875,-4.501951171875,18.31168212890625,2.475841186523434,-1.276,8.947667227310232,5.5396837629131515,0.0,0.26674667739868163
2023,reinvest_k2,1.48,2.272,0.6572473144531241,-0.657247314453125,4.061783874511721,-3.4045342636108398,5.13869384765625,2.57348046875,6.51365478515625,4.51737548828125,23.97703173828125,9.489361938476561,2.444,5.924792122106398,2.982075546526091,0.0,0.1313174896240235
2024,reinvest_k2,1.88,1.684,-0.2791937255859375,0.2791937255859375,16.986414245605467,-17.26560855102539,13.82944287109375,6.562927734375,-3.71766552734375,-5.14905126953125,-26.5805634765625,-15.152636108398443,1.036,8.401439634307378,0.7512824687778473,-0.008,-0.04678271484375001
2025,reinvest_k2,1.112,1.344,0.09204589843750091,-0.0920458984375,7.282329223632812,-7.190282478332519,6.38798583984375,9.29508544921875,2.72102490234375,5.7185673828125,15.042638671875,0.36383789062500116,0.692,3.2190558398089903,,,
2022,reinvest_k3,1.948,1.32,0.0038006591796865903,-0.003800659179687493,3.8453865966796874,-3.8415852432250976,2.742513671875,3.15344189453125,-3.78657470703125,-4.76669482421875,23.5568828125,1.695839721679685,-1.42,10.029113852152477,7.9142325286504285,0.0,0.3876266975402832
2023,reinvest_k3,1.92,2.408,0.6828299560546854,-0.6828299560546875,4.273229675292968,-3.5903993759155273,6.7287216796875,2.33362744140625,7.463576171875,4.2439150390625,23.84471435546875,10.014401611328124,3.02,7.556157554010449,2.733495381096892,-0.008,0.1597577285766602
2024,reinvest_k3,2.516,1.824,-0.1232757568359375,0.1232757568359375,17.88418676757812,-18.00746258544922,15.2348388671875,7.16480908203125,-6.42671630859375,-8.3593671875,-66.0987119140625,-29.87607336425782,3.484,9.660040998922625,-10.71283289829543,-0.216,-0.9423023414611816
2025,reinvest_k3,1.34,1.388,0.3031025390625009,-0.3031025390625,8.039667480468749,-7.736564071655273,7.18792919921875,9.21146826171875,3.9252802734375,6.2880107421875,16.81047998046875,0.23551770019531365,0.424,3.820102996380217,,,
