year,trial,policy,solve_status,max_forced_options,forced_option_count,forced_option_players,forced_young_count,forced_mean_year_exp,candidate_attempts,reoptimization_refine_swaps,roster,nominal_starters,bench_players,starter_changes_vs_control,bench_changes_vs_control,roster_changes_vs_control,forecast_salary_spend,unspent_budget,starter_forecast_spend,bench_forecast_spend,starter_projected_ppg_sum,starter_raw_actual_points,starter_forecast_ev,starter_forecast_p10,starter_forecast_p90,top3_spend_share,baseline_construction_score,current_construction_score,current_construction_delta,forecast_ev,forecast_p10,forecast_p90,actual_points,drafted_only_points,actual_waiver_starts,actual_salary_spend,actual_salary_missing_players,raw_outcome_missing_players,actual_playoff_points,bench_actual_max4_ppg,bench_dead_below10,bench_sustained_12_hits,bench_sustained_15_hits,predicted_expected_best_surplus,predicted_probability_any_hit,predicted_probability_any_10,predicted_probability_any_20,predicted_expected_top2_surplus,predicted_best_player,next_validation_bench_matches,next_projection_proxy_bench_count,future_outcome_available,actual_best_keeper_surplus,actual_top2_keeper_surplus,actual_any_keeper_hit,actual_any_keeper_hit_10,actual_any_keeper_hit_20,actual_best_future_ppg,actual_future_ppg_ge12_count,actual_future_ppg_ge15_count,actual_keeper_hit_players,observed_cost_coverage,observed_best_keeper_surplus,observed_any_keeper_hit_10
2022,2,reinvest_k2,optimal,2,2,Dameon Pierce|Rachaad White,2,0.0,16,3,Aaron Rodgers|Chris Godwin|Christian Mccaffrey|Clyde Edwards Helaire|Dameon Pierce|Damien Harris|Deandre Hopkins|James Cook|Juju Smith Schuster|Kenneth Walker|Michael Pittman|Rachaad White|Travis Kelce,Aaron Rodgers|Chris Godwin|Christian Mccaffrey|Clyde Edwards Helaire|Damien Harris|Juju Smith Schuster|Michael Pittman|Travis Kelce,Dameon Pierce|Deandre Hopkins|James Cook|Kenneth Walker|Rachaad White,1,3,4,297.4153137207031,0.584686279296875,260.13427734375,37.28101348876953,103.57958126068117,1358.10009765625,1565.924560546875,1406.076904296875,1743.574951171875,0.6119822263717651,1378.6566162109375,1381.9349365234375,3.2783203125,1634.365234375,1480.626220703125,1796.210205078125,1593.7000732421875,1625.800048828125,28,421.0,1,0,383.96002197265625,17.818332862854003,0,4,3,61.82378235435442,0.915,0.875,0.822,95.33054290092022,Dameon Pierce,5,0,1,92.68163062822948,148.38490630877146,1.0,1.0,1.0,15.266666412353516,3.0,1.0,Deandre Hopkins|James Cook|Kenneth Walker|Rachaad White,0.8,52.72995376586914,1.0
2022,2,reinvest_k3,optimal,3,3,Dameon Pierce|Elijah Moore|Rachaad White,3,0.3333333333333333,24,4,Aaron Rodgers|Chris Godwin|Christian Mccaffrey|Clyde Edwards Helaire|Dameon Pierce|Damien Harris|Elijah Moore|Juju Smith Schuster|Kenneth Walker|Mike Williams|Rachaad White|Rashaad Penny|Travis Kelce,Aaron Rodgers|Chris Godwin|Christian Mccaffrey|Clyde Edwards Helaire|Damien Harris|Juju Smith Schuster|Mike Williams|Travis Kelce,Dameon Pierce|Elijah Moore|Kenneth Walker|Rachaad White|Rashaad Penny,0,3,3,296.43707275390625,1.56292724609375,254.9986724853516,41.43841552734375,102.89799690246582,1345.60009765625,1556.922607421875,1386.7452392578125,1722.1448974609375,0.596677303314209,1378.6566162109375,1378.6566162109375,0.0,1621.629638671875,1457.6895751953125,1784.5042724609375,1563.89990234375,1626.4000244140625,35,426.0,1,0,392.760009765625,16.201667022705077,1,4,2,63.51617315241737,0.923,0.881,0.838,99.70198960724024,Dameon Pierce,4,1,1,92.68163062822948,145.67563217032423,1.0,1.0,1.0,15.266666412353516,2.0,1.0,Kenneth Walker|Rachaad White,0.8,38.21676746464115,1.0
2022,3,control,optimal,0,0,,0,,0,1,Aaron Rodgers|Aj Dillon|Chris Godwin|Clyde Edwards Helaire|Diontae Johnson|George Kittle|Kenneth Walker|Michael Carter|Mike Evans|Mike Williams|Rashaad Penny|Travis Etienne|Travis Kelce,Aaron Rodgers|Chris Godwin|Clyde Edwards Helaire|Diontae Johnson|Mike Evans|Mike Williams|Travis Etienne|Travis Kelce,Aj Dillon|George Kittle|Kenneth Walker|Michael Carter|Rashaad Penny,0,0,0,297.9056091308594,0.094390869140625,256.3607482910156,41.54484939575195,101.5070867538452,1287.7000732421875,1546.770263671875,1370.67529296875,1708.1851806640625,0.4628289639949798,1368.0318603515625,1368.0318603515625,0.0,1637.4796142578125,1475.318115234375,1799.1336669921875,1442.39990234375,1482.0,31,419.0,0,0,349.65997314453125,16.931666564941406,0,4,3,55.11943531667875,0.881,0.845,0.715,81.99476615933308,Michael Carter,4,1,1,44.15610218048096,54.672509829203285,1.0,1.0,1.0,13.09999942779541,1.0,0.0,George Kittle|Kenneth Walker,1.0,29.35823535919189,1.0
2022,3,reinvest_k1,optimal,1,1,Brandon Aiyuk,1,2.0,8,4,Aaron Rodgers|Aj Dillon|Brandon Aiyuk|Chris Godwin|Diontae Johnson|George Kittle|Kenneth Walker|Michael Carter|Mike Evans|Mike Williams|Nick Chubb|Travis Etienne|Treylon Burks,Aaron Rodgers|Chris Godwin|Diontae Johnson|George Kittle|Mike Evans|Mike Williams|Nick Chubb|Travis Etienne,Aj Dillon|Brandon Aiyuk|Kenneth Walker|Michael Carter|Treylon Burks,2,2,3,297.4247436523437,0.57525634765625,271.748046875,25.67669105529785,102.31384468078612,1332.5999755859375,1539.43115234375,1379.2626953125,1708.1851806640625,0.5217792391777039,1368.0318603515625,1377.8258056640625,9.7939453125,1613.05810546875,1457.795166015625,1774.54638671875,1423.699951171875,1452.0,34,382.0,0,0,353.3600158691406,16.879999351501464,0,3,3,59.76682574223104,0.913,0.857,0.791,92.8691582986574,Michael Carter,5,0,1,72.550808259655,116.70691044013596,1.0,1.0,1.0,14.19999885559082,2.0,0.0,Brandon Aiyuk|Kenneth Walker,1.0,70.23379547278977,1.0
2022,3,reinvest_k2,optimal,2,1,Brandon Aiyuk,1,2.0,16,4,Aaron Rodgers|Aj Dillon|Brandon Aiyuk|Chris Godwin|Diontae Johnson|George Kittle|Kenneth Walker|Michael Carter|Mike Evans|Mike Williams|Nick Chubb|Travis Etienne|Treylon Burks,Aaron Rodgers|Chris Godwin|Diontae Johnson|George Kittle|Mike Evans|Mike Williams|Nick Chubb|Travis Etienne,Aj Dillon|Brandon Aiyuk|Kenneth Walker|Michael Carter|Treylon Burks,2,2,3,297.4247436523437,0.57525634765625,271.748046875,25.67669105529785,102.31384468078612,1332.5999755859375,1539.43115234375,1379.2626953125,1708.1851806640625,0.5217792391777039,1368.0318603515625,1377.8258056640625,9.7939453125,1613.05810546875,1457.795166015625,1774.54638671875,1423.699951171875,1452.0,34,382.0,0,0,353.3600158691406,16.879999351501464,0,3,3,59.76682574223104,0.913,0.857,0.791,92.8691582986574,Michael Carter,5,0,1,72.550808259655,116.70691044013596,1.0,1.0,1.0,14.19999885559082,2.0,0.0,Brandon Aiyuk|Kenneth Walker,1.0,70.23379547278977,1.0
2022,3,reinvest_k3,optimal,3,1,Brandon Aiyuk,1,2.0,24,4,Aaron Rodgers|Aj Dillon|Brandon Aiyuk|Chris Godwin|Diontae Johnson|George Kittle|Kenneth Walker|Michael Carter|Mike Evans|Mike Williams|Nick Chubb|Travis Etienne|Treylon Burks,Aaron Rodgers|Chris Godwin|Diontae Johnson|George Kittle|Mike Evans|Mike Williams|Nick Chubb|Travis Etienne,Aj Dillon|Brandon Aiyuk|Kenneth Walker|Michael Carter|Treylon Burks,2,2,3,297.4247436523437,0.57525634765625,271.748046875,25.67669105529785,102.31384468078612,1332.5999755859375,1539.43115234375,1379.2626953125,1708.1851806640625,0.5217792391777039,1368.0318603515625,1377.8258056640625,9.7939453125,1613.05810546875,1457.795166015625,1774.54638671875,1423.699951171875,1452.0,34,382.0,0,0,353.3600158691406,16.879999351501464,0,3,3,59.76682574223104,0.913,0.857,0.791,92.8691582986574,Michael Carter,5,0,1,72.550808259655,116.70691044013596,1.0,1.0,1.0,14.19999885559082,2.0,0.0,Brandon Aiyuk|Kenneth Walker,1.0,70.23379547278977,1.0
2022,4,control,optimal,0,0,,0,,0,2,Aaron Rodgers|Abram Smith|Alvin Kamara|Chris Godwin|Damien Harris|Devonta Smith|Diontae Johnson|Dk Metcalf|George Kittle|Juju Smith Schuster|Kenneth Walker|Rashaad Penny|Travis Etienne,Aaron Rodgers|Alvin Kamara|Chris Godwin|Diontae Johnson|Dk Metcalf|George Kittle|Juju Smith Schuster|Travis Etienne,Abram Smith|Damien Harris|Devonta Smith|Kenneth Walker|Rashaad Penny,0,0,0,294.1174621582031,3.882537841796875,257.22100830078125,36.89647674560547,101.4350242614746,1292.5999755859375,1531.71826171875,1367.8917236328125,1673.7230224609375,0.5516311526298523,1373.0010986328125,1373.0010986328125,0.0,1610.5228271484375,1454.2523193359375,1776.44775390625,1386.9000244140625,1412.800048828125,34,348.0,1,1,414.760009765625,14.323333740234377,1,4,2,50.74281853253616,0.85,0.759,0.685,74.16990506665366,Devonta Smith,3,2,1,54.8417196655512,97.21138613724216,1.0,1.0,1.0,13.09999942779541,2.0,0.0,Devonta Smith|Kenneth Walker,0.8,51.74468902590276,1.0
2022,4,reinvest_k1,optimal,1,1,Dameon Pierce,1,0.0,8,5,Aaron Rodgers|Abram Smith|Chris Godwin|Christian Mccaffrey|Dameon Pierce|Devonta Smith|Dk Metcalf|Elijah Mitchell|George Kittle|Juju Smith Schuster|Kenneth Walker|Michael Pittman|Zach Ertz,Aaron Rodgers|Chris Godwin|Christian Mccaffrey|Dk Metcalf|Elijah Mitchell|George Kittle|Juju Smith Schuster|Michael Pittman,Abram Smith|Dameon Pierce|Devonta Smith|Kenneth Walker|Zach Ertz,3,2,5,294.593505859375,3.406494140625,271.97906494140625,22.614473342895508,103.18912506103516,1286.5,1543.8599853515625,1383.619873046875,1705.2728271484375,0.6242683529853821,1373.0010986328125,1384.6243896484375,11.623291015625,1607.702880859375,1463.351318359375,1769.4737548828125,1518.699951171875,1564.199951171875,31,357.0,1,1,476.8599853515625,15.141666603088378,1,3,3,62.02730275875344,0.909,0.853,0.779,90.77807347720004,Dameon Pierce,4,1,1,54.8417196655512,97.21138613724216,1.0,1.0,1.0,13.09999942779541,2.0,0.0,Devonta Smith|Kenneth Walker,0.8,51.74468902590276,1.0
2022,4,reinvest_k2,optimal,2,2,Dameon Pierce|Michael Carter,2,0.5,16,6,Aaron Rodgers|Chris Godwin|Clyde Edwards Helaire|Dameon Pierce|Damien Harris|Davante Adams|Diontae Johnson|George Kittle|Juju Smith Schuster|Kenneth Walker|Michael Carter|Rashaad Penny|Travis Etienne,Aaron Rodgers|Chris Godwin|Clyde Edwards Helaire|Davante Adams|Diontae Johnson|George Kittle|Juju Smith Schuster|Travis Etienne,Dameon Pierce|Damien Harris|Kenneth Walker|Michael Carter|Rashaad Penny,2,2,4,297.9259948730469,0.074005126953125,257.4590148925781,40.46697998046875,102.27376651763916,1300.5999755859375,1546.4923095703125,1392.1063232421875,1703.193359375,0.5693473815917969,1373.0010986328125,1377.9276123046875,4.926513671875,1629.2535400390625,1462.556884765625,1776.1141357421875,1395.5,1458.099853515625,35,405.0,0,0,359.260009765625,16.533333396911623,0,4,2,65.51599670424731,0.922,0.868,0.813,98.967581592113,Dameon Pierce,4,1,1,42.36966647169097,42.36966647169097,1.0,1.0,1.0,13.09999942779541,1.0,0.0,Kenneth Walker,1.0,27.55983294507964,1.0
2022,4,reinvest_k3,optimal,3,3,Dameon Pierce|Michael Carter|Treylon Burks,3,0.3333333333333333,24,8,Aaron Rodgers|Chris Godwin|Clyde Edwards Helaire|Dameon Pierce|Damien Harris|Davante Adams|Diontae Johnson|George Kittle|Juju Smith Schuster|Kenneth Walker|Michael Carter|Travis Etienne|Treylon Burks,Aaron Rodgers|Chris Godwin|Clyde Edwards Helaire|Davante Adams|Diontae Johnson|George Kittle|Juju Smith Schuster|Travis Etienne,Dameon Pierce|Damien Harris|Kenneth Walker|Michael Carter|Treylon Burks,2,3,5,297.9259948730469,0.074005126953125,257.4590148925781,40.46697998046875,102.27376651763916,1300.5999755859375,1546.4923095703125,1392.1063232421875,1703.193359375,0.5693473815917969,1373.0010986328125,1377.9276123046875,4.926513671875,1630.457275390625,1463.115966796875,1778.0264892578125,1403.0,1465.599853515625,35,383.0,0,0,359.260009765625,15.906666374206544,0,3,2,66.61109891230801,0.925,0.879,0.835,101.46100023463808,Dameon Pierce,5,0,1,42.36966647169097,42.36966647169097,1.0,1.0,1.0,13.09999942779541,1.0,0.0,Kenneth Walker,1.0,27.55983294507964,1.0
