year,policy,trials,unique_rosters,forced_option_count,forced_young_count,candidate_attempts,reoptimization_refine_swaps,starter_changes_vs_control,bench_changes_vs_control,roster_changes_vs_control,forecast_salary_spend,unspent_budget,starter_forecast_spend,bench_forecast_spend,starter_projected_ppg_sum,starter_raw_actual_points,starter_forecast_ev,starter_forecast_p10,starter_forecast_p90,top3_spend_share,current_construction_delta,forecast_ev,forecast_p10,forecast_p90,actual_points,drafted_only_points,actual_waiver_starts,actual_playoff_points,predicted_expected_best_surplus,predicted_probability_any_hit,predicted_probability_any_10,predicted_probability_any_20,actual_best_keeper_surplus,actual_any_keeper_hit_10,actual_any_keeper_hit_20,actual_best_future_ppg
2022,control,250,250,0.0,0.0,0.0,2.256,0.0,0.0,0.0,295.4357286376953,2.5642713623046873,258.6376250610352,36.79810364532471,102.36432347106934,1240.382181640625,1544.3026616210936,1377.2743432617187,1710.245453125,0.545544182062149,0.0,1623.5178520507814,1460.7718955078126,1787.94339453125,1426.120873046875,1438.2549560546875,37.044,365.6018411865234,52.12476282521554,0.849504,0.783616,0.719176,48.46774579499542,1.0,1.0,13.163652782440186
2022,reinvest_k1,250,250,0.844,0.836,8.0,4.3,1.02,1.348,2.296,295.55800988769533,2.4419901123046874,261.71182806396484,33.84618079376221,102.51827603530884,1260.0287426757814,1545.8864140625,1379.0086704101564,1712.5267778320313,0.5559364136457443,4.43967529296875,1620.7861318359376,1456.82821875,1786.128328125,1441.87535546875,1458.325509765625,35.736,369.6108815917969,58.733030466119175,0.8866080000000001,0.8322,0.778612,50.94605514481334,1.0,1.0,13.290906116485596
2022,reinvest_k2,250,249,1.508,1.496,16.0,5.72,1.24,1.74,2.868,295.31499072265626,2.68500927734375,262.05772607421875,33.25726580047608,102.59909553146362,1259.5643413085938,1546.7689838867188,1380.1312338867187,1713.5950756835937,0.5601106172800064,4.90791650390625,1620.1913916015626,1456.2699443359375,1785.836078125,1444.4325551757813,1465.1939150390624,35.768,368.07768237304685,61.072430052525775,0.900028,0.849976,0.79986,54.00742955790857,1.0,1.0,13.430399459838867
2022,reinvest_k3,250,250,1.948,1.916,24.0,6.528,1.32,2.028,3.196,295.439529296875,2.560470703125,262.4830116577148,32.95651840209961,102.61646675872802,1263.4435415039063,1547.0451752929687,1380.42778515625,1713.7826420898436,0.5639726516008378,5.41071435546875,1619.73127734375,1456.0052006835938,1785.8726284179688,1449.677755859375,1469.7875209960937,35.624,367.2976809082031,62.15387667736802,0.9057200000000001,0.857768,0.809408,56.38197832364585,1.0,1.0,13.551279479980469
2023,control,250,235,0.0,0.0,0.0,4.896,0.0,0.0,0.0,295.6403797607422,2.3596202392578123,252.40436627197266,43.2360122680664,95.98868218612671,1304.510326171875,1498.3952666015625,1355.178513671875,1639.5660517578126,0.548999046087265,0.0,1538.247423828125,1395.48719140625,1680.4725771484375,1687.491123046875,1478.2235151367188,51.932,462.87623596191406,41.029545934374354,0.832976,0.748092,0.6722,82.42461567804533,1.0,1.0,15.990292053222657
2023,reinvest_k1,250,248,0.836,0.764,8.0,8.148,2.064,1.564,3.396,295.97775842285154,2.0222415771484377,256.22322186279297,39.75453588104248,96.04670683670044,1304.5651328125,1503.109646484375,1357.31895703125,1645.9544013671875,0.578770943403244,7.70445068359375,1544.6955654296876,1400.8935439453126,1689.0853125,1707.3023178710937,1479.7751142578124,53.736,467.0121586914062,44.929409584223194,0.849116,0.772516,0.7052240000000001,87.31560975218214,1.0,1.0,16.237885234832763
2023,reinvest_k2,250,246,1.48,1.312,16.0,10.06,2.272,2.076,4.1,296.2976270751953,1.7023729248046875,256.4661501464844,39.83147800445557,95.91041303253174,1300.8851279296875,1503.5339604492187,1357.751994140625,1647.8525966796874,0.5854150069952011,8.62896240234375,1544.7610786132811,1400.0045668945313,1689.7106870117188,1711.4681547851562,1476.3139169921874,54.376,472.36559790039064,46.95433805648075,0.857008,0.78552,0.719756,85.40669122457142,1.0,1.0,16.12160954284668
2023,reinvest_k3,250,247,1.92,1.68,24.0,10.988,2.408,2.348,4.492,296.3232097167969,1.676790283203125,256.6775959472656,39.64561289215088,96.015272190094,1289.522646484375,1505.12398828125,1357.5121411132814,1650.3382788085937,0.5910914497375488,8.936970703125,1545.711,1399.7311064453124,1692.542724609375,1711.3358374023437,1463.5614399414062,54.952,472.8906375732422,48.5857034883848,0.8639880000000001,0.796968,0.733664,85.15811105914223,1.0,0.992,16.150049781799318
2024,control,250,84,0.0,0.0,0.0,1.028,0.0,0.0,0.0,295.7771502685547,2.2228497314453124,243.54622570800782,52.23092335510254,107.32507635879517,1210.7645456542969,1605.6565610351563,1459.2782465820312,1767.81596875,0.49283369541168215,0.0,1682.283294921875,1531.990720703125,1833.6330463867187,1604.5791196289063,1620.75695703125,27.568,428.38767700195314,39.26293439974197,0.794856,0.741836,0.670268,58.525931284638105,0.996,0.984,13.846185760498047
2024,reinvest_k1,250,140,0.952,0.948,8.0,2.488,1.368,1.472,2.584,295.6543839111328,2.3456160888671875,253.15307501220704,42.50130938720703,107.92865329360961,1231.7524155273438,1611.2701948242188,1462.7403940429688,1772.1452939453125,0.5023271411657333,11.858939453125,1679.2014750976562,1532.8590727539063,1831.19501953125,1588.870396484375,1614.5627978515624,27.688,416.43560302734375,44.05500466882569,0.82048,0.766432,0.698456,57.35392368665158,1.0,0.968,13.807345848083497
2024,reinvest_k2,250,158,1.88,1.868,16.0,5.168,1.684,2.28,3.54,295.4979565429687,2.50204345703125,260.5326399536133,34.965314804077146,108.51768536376953,1256.3133979492188,1619.48600390625,1465.8411743164063,1779.60566015625,0.5177634602785111,19.53559423828125,1678.5656293945312,1526.8416694335938,1832.1085034179687,1577.9985561523438,1613.15816015625,28.604,413.2350408935547,47.66437403404935,0.8415,0.78408,0.719972,59.27721375341595,0.984,0.976,13.799403045654296
2024,reinvest_k3,250,184,2.516,2.436,24.0,6.996,1.824,2.896,4.156,295.65387451171875,2.34612548828125,261.4304124755859,34.22346076965332,108.59910251617431,1272.157623046875,1620.8913999023437,1466.4430556640625,1780.6827021484376,0.5207007902860642,20.76481298828125,1675.8565786132813,1523.631353515625,1830.6822817382813,1538.4804077148438,1583.4103955078126,31.052,398.5116036376953,48.922975398664605,0.8481599999999999,0.78978,0.72678,47.81309838634267,0.776,0.768,12.903883419036866
2025,control,250,215,0.0,0.0,0.0,1.96,0.0,0.0,0.0,295.85703125,2.14296875,245.38514123535157,50.47189028167725,109.68967157745361,1289.792897705078,1619.0357026367187,1462.8144541015624,1776.3142094726563,0.5244122186899185,0.0,1696.2154228515626,1540.8850209960938,1852.0493056640626,1536.9710327148437,1473.0964809570312,35.004,348.6611962890625,32.396093370149984,0.825508,0.701012,0.635448,,,,
2025,reinvest_k1,250,231,0.68,0.68,8.0,3.156,1.072,1.184,2.1,295.9519117431641,2.0480882568359373,251.75739587402344,44.19451647186279,110.16802384185792,1291.9404956054686,1625.3925234375,1469.9715034179687,1781.5864404296874,0.5394010320901871,8.43711474609375,1697.8833852539062,1543.519095703125,1852.6791484375,1549.4736748046876,1471.3640795898436,35.764,350.29175512695315,34.39079435170182,0.8365199999999999,0.71864,0.653976,,,,
