year,player,control_bench_rosters,control_forced_rosters,reinvest_k1_bench_rosters,reinvest_k1_forced_rosters,reinvest_k2_bench_rosters,reinvest_k2_forced_rosters,reinvest_k3_bench_rosters,reinvest_k3_forced_rosters
2022,Kenneth Walker,249,0,249,0,249,0,247,0
2022,Rachaad White,0,0,15,15,31,31,45,45
2023,Devon Achane,211,0,233,6,224,6,224,13
2023,Zay Flowers,152,0,134,1,97,2,90,4
2024,Zay Flowers,1,0,0,0,0,0,0,0
2024,Chase Brown,226,0,214,0,217,0,122,4
2024,Bucky Irving,0,0,13,13,28,28,59,59
2025,Cam Skattebo,1,0,1,0,0,0,0,0
