policy,seasons,forced_option_count,forced_young_count,candidate_attempts,reoptimization_refine_swaps,starter_changes_vs_control,bench_changes_vs_control,roster_changes_vs_control,forecast_salary_spend,unspent_budget,starter_forecast_spend,bench_forecast_spend,starter_projected_ppg_sum,starter_raw_actual_points,starter_forecast_ev,starter_forecast_p10,starter_forecast_p90,top3_spend_share,current_construction_delta,forecast_ev,forecast_p10,forecast_p90,actual_points,drafted_only_points,actual_waiver_starts,actual_playoff_points,predicted_expected_best_surplus,predicted_probability_any_hit,predicted_probability_any_10,predicted_probability_any_20,actual_best_keeper_surplus,actual_any_keeper_hit_10,actual_any_keeper_hit_20,actual_best_future_ppg
control,4,0.0,0.0,0.0,2.535,0.0,0.0,0.0,295.67757247924806,2.322427520751953,249.9933395690918,45.68423238754272,103.84193839836121,1261.3624877929688,1566.8475479736328,1413.6363894042968,1723.4854207763672,0.5279472855627536,0.0,1635.065998413086,1482.2837071533204,1788.5245809326173,1563.790537109375,1502.5829772949219,37.887,401.3817376098633,41.203334132370465,0.8257110000000001,0.7436389999999999,0.674273,63.13943091922628,0.9986666666666667,0.9946666666666667,14.333376865386962
reinvest_k1,4,0.828,0.8069999999999999,8.0,4.523,1.381,1.392,2.594,295.78551599121096,2.2144840087890625,255.71138020324707,40.07413563346863,104.1654150018692,1272.0716966552734,1571.4146947021484,1417.259881225586,1728.0532283935547,0.5441088825762271,8.110045043945313,1635.641639404297,1483.524982788086,1789.7719521484375,1571.8804361572265,1506.0068753662108,38.230999999999995,400.837599609375,45.52705976771747,0.848181,0.772447,0.709067,65.20519619454902,1.0,0.9893333333333333,14.445379066467284
reinvest_k2,4,1.495,1.447,16.0,6.167,1.635,1.907,3.281,295.7649128723144,2.235087127685547,257.93099665832517,37.83391660308838,104.30111515712738,1275.0068208007813,1573.8031591796876,1418.9584854736327,1730.118983276367,0.5510641473829746,10.518106445312501,1635.6136368408204,1482.4299422607423,1789.9809888916016,1571.478234375,1506.4875981445311,38.611,400.6758388366699,47.82657283825371,0.860941,0.787679,0.726541,66.23044484529865,0.9946666666666667,0.992,14.45047068277995
reinvest_k3,4,1.931,1.843,24.0,7.103,1.735,2.23,3.645,295.8941868286133,2.1058131713867185,258.50395719909665,37.390229568481445,104.37080006217957,1278.458236694336,1574.821048828125,1419.1022260742188,1731.2439421386719,0.5549073885083199,11.336914428710937,1635.3598897705078,1481.635173095703,1790.6216280517579,1563.3188784179688,1497.737218383789,39.263999999999996,396.8991590270996,48.96968798273691,0.866835,0.795362,0.735498,63.11772925637692,0.9253333333333332,0.9199999999999999,14.201737560272216
