year,pos,selected_slots,player_origins,mean_salary_residual,median_salary_residual,positive_residual_rate,mean_predicted_salary,mean_actual_salary,mean_scenario_center_shift,mean_actual_minus_scenario
2022,QB,989,13,-2.2185937884732057,-2.5200049999999994,0.1486349848331648,14.663487620626896,12.44489383215369,-1.0393214272534053,-1.1792723612198
2022,RB,5319,35,5.204026156984395,5.974249999999998,0.751269035532995,30.189468860876108,35.3934950178605,0.12435257001580177,5.079673586968594
2022,TE,1610,13,-1.8833270748447204,-2.86271,0.27577639751552796,17.924320863664594,16.040993788819875,-0.8205665916986915,-1.0627604831460291
2022,WR,4181,49,-2.673903354508491,-2.5267800000000022,0.2906003348481225,23.101791419564698,20.427888065056205,-2.0464260879456697,-0.6274772665628215
2023,QB,893,12,-2.036756437178052,-1.5346100000000007,0.3202687569988802,15.120742999328106,13.083986562150056,-0.4341794602701878,-1.6025769769078642
2023,RB,3300,41,1.827018647575757,0.34865999999999886,0.5933333333333334,35.24086014030303,37.06787878787879,0.9643777323662279,0.8626409152095287
2023,TE,1505,13,2.3411346077740856,-0.004263400000000139,0.4152823920265781,14.955210907176081,17.296345514950165,-0.7679712398854067,3.109105847659492
2023,WR,6323,55,1.3040279314407721,0.8326999999999991,0.5845326585481575,24.737091790210343,26.041119721651114,-3.248484228608453,4.5525121600492255
2024,QB,999,13,-1.2454995266266264,-1.0218553999999997,0.34534534534534533,25.815069096196193,24.56956956956957,-0.6383413363636166,-0.6071581902630099
2024,RB,3027,42,0.8443975857284439,-0.7485929999999996,0.42286091840105716,19.56723108952759,20.41162867525603,1.5129996065344378,-0.6686020208059941
2024,TE,1942,12,2.0867685658084456,2.0964723000000003,0.7327497425334707,14.043509498043255,16.130278063851698,-0.3940290995410463,2.480797665349492
2024,WR,6874,52,2.424207283095723,0.9716834999999993,0.608233924934536,27.884637639802154,30.308844922897876,-2.1901872501900694,4.614394533285791
2025,QB,988,19,1.017509272165992,-0.9814495999999999,0.4564777327935223,18.220344978846157,19.237854251012145,0.32358130428518356,0.6939279678808085
2025,RB,3316,46,1.2824022439686367,-0.3122700000000016,0.4119420989143546,30.17025155579011,31.452653799758746,1.3294131304007826,-0.04701088643214567
2025,TE,1711,14,-0.6121913404441848,-0.2241730000000004,0.38340151957919344,10.004944116598482,9.392752776154296,0.10012838828494629,-0.712319728729131
2025,WR,6943,48,2.5585481232608385,1.223559999999999,0.5908108886648423,24.023476937951894,26.582025061212732,-2.0675215818412114,4.626069705102051
