value_over_price_quintile,selected_slots,player_origins,mean_salary_residual,median_salary_residual,positive_residual_rate,mean_predicted_salary,mean_actual_salary,mean_scenario_center_shift,mean_actual_minus_scenario
1,1263,42,-0.3163240083927159,-2.0388837,0.3832145684877276,20.104130817577197,19.78780680918448,-1.4581569393050298,1.141832930912314
2,6073,106,-0.8050671489379221,-1.2036499999999997,0.40869422031944674,20.20602219586695,19.40095504692903,-1.0938200648587484,0.2887529159208264
3,14866,146,1.0079860403874612,-0.2865579999999994,0.4618592762007265,35.70350326406565,36.71148930445312,-1.4320978118634091,2.4400838522508703
4,17232,107,0.6421830848885791,0.0649550000000012,0.5081824512534819,24.6562732753714,25.29845636025998,-0.9295991388275703,1.5717822237161496
5,10486,76,4.815353074108335,3.9845705000000002,0.7230593171848179,10.626283393562845,15.44163646767118,-0.4468749618088164,5.262228035917151
