year,chance_level,selected_slots,player_origins,mean_salary_residual,median_salary_residual,positive_residual_rate,mean_predicted_salary,mean_actual_salary,mean_scenario_center_shift,mean_actual_minus_scenario
2022,0.6,3025,109,0.9139515436694212,-0.3958100000000009,0.4803305785123967,25.069519530710743,25.983471074380166,-0.8385123529123757,1.752463896581797
2022,0.7,3027,109,0.9045742038652127,-0.3958100000000009,0.48001321440370004,24.92661178886686,25.831185992732077,-0.8508644395030381,1.755438643368251
2022,0.8,3022,110,0.9373406245201851,-0.3958100000000009,0.4798146922567836,24.780065067074784,25.71740569159497,-0.8432442445300907,1.780584869050276
2022,0.9,3025,109,0.971499654380165,-0.3958100000000009,0.47801652892561985,24.57957472578513,25.55107438016529,-0.8539922727503271,1.8254919271304924
2023,0.6,3005,114,1.3490776734109813,0.34865999999999886,0.5457570715474209,25.966063757537437,27.31514143094842,-1.5824511085912063,2.931528782002187
2023,0.7,3005,115,1.2837436784359397,0.34865999999999886,0.5450915141430949,25.78880207863561,27.07254575707155,-1.5824969294842717,2.8662406079202114
2023,0.8,3002,117,1.3390940288474347,0.34865999999999886,0.5469686875416389,25.64591596449034,26.985009993337776,-1.5737529965321821,2.912847025379617
2023,0.9,3009,119,1.345139846095048,0.34865999999999886,0.5466932535726154,25.325847192788302,26.67098703888335,-1.55073542197577,2.895875268070818
2024,0.6,3211,117,1.725887154219869,0.8560700000000008,0.5661787605107443,23.933097585736533,25.6589847399564,-0.9384942429735452,2.6643813971934143
2024,0.7,3214,116,1.768005644119477,0.8560700000000008,0.5647168637212197,23.740083963845674,25.508089607965154,-0.9191527810200202,2.6871584251394975
2024,0.8,3211,118,1.694884828776082,0.8560700000000008,0.5608844596698848,23.5941217112426,25.289006540018686,-0.9224470247482297,2.6173318535243117
2024,0.9,3206,118,1.6724185608546474,0.8560700000000008,0.5598877105427323,23.412422362414226,25.08484092326887,-0.9197646307890809,2.5921831916437283
2025,0.6,3240,126,1.6665244579320988,0.3953300000000013,0.5070987654320988,23.583166900092593,25.24969135802469,-0.7364710046084212,2.40299546254052
2025,0.7,3238,127,1.656852113804818,0.38241000000000014,0.5046324891908586,23.420664871988883,25.0775169857937,-0.7323499436870609,2.3892020574918784
2025,0.8,3241,127,1.6841812747917309,0.3953300000000013,0.5081764887380438,23.199188055661832,24.883369330453565,-0.7250946040247918,2.4092758788165227
2025,0.9,3239,127,1.7756799439333126,0.3953300000000013,0.5097252238345168,23.008821445384374,24.78450138931769,-0.7248853402565282,2.5005652841898405
