period,player_origins,selection_rate_residual_spearman,two_sided_p_value_descriptive
all_years,518,0.11685363909565324,0.0077621424465330316
2022,121,0.21858834879972106,0.01600866633251794
2023,131,0.048363921887018206,0.583303145599336
2024,132,0.15941811878811799,0.06787294648174998
2025,134,0.10645340201983254,0.22086760255334273
