year,chance_level,rosters,scenario_mean_spend,point_predicted_spend,actual_spend,point_minus_scenario_discount,actual_minus_point_residual,actual_minus_scenario_total
2022,0.6,250,295.2490135903573,304.2533367767334,315.3,9.004323186376098,11.046663223266592,20.05098640964269
2022,0.7,250,293.5235797184586,302.7165785627365,313.656,9.192998844277895,10.93942143726349,20.132420281541386
2022,0.8,250,291.4571085040426,300.4645644683838,311.784,9.007455964341204,11.319435531616193,20.326891495957398
2022,0.9,250,289.1163061686373,298.3239920797348,310.068,9.207685911097485,11.744007920265176,20.95169383136266
2023,0.6,250,295.5610983206582,313.29030485630034,329.308,17.729206535642163,16.017695143699655,33.74690167934182
2023,0.7,250,293.47398941238407,311.1610982236862,326.392,17.687108811302153,15.230901776313772,32.918010587615925
2023,0.8,250,291.5902717987728,309.1291760983467,325.028,17.538904299573915,15.898823901653316,33.43772820122723
2023,0.9,250,288.61771361195326,305.9960756649971,321.976,17.378362053043816,15.97992433500292,33.358286388046736
2024,0.6,250,295.6121491572022,307.55270611286164,329.72,11.940556955659417,22.167293887138385,34.1078508427978
2024,0.7,250,293.64992467434644,305.346520198822,328.076,11.696595524475583,22.729479801178,34.426075325653585
2024,0.8,250,291.45983193428515,303.19889997577667,324.968,11.739068041491521,21.76910002422335,33.50816806571487
2024,0.9,250,288.729355273335,300.41690505552293,321.864,11.687549782187943,21.447094944477044,33.13464472666499
2025,0.6,250,296.12310093271253,305.6778431687355,327.276,9.554742236022946,21.598156831264532,31.15289906728748
2025,0.7,250,293.9233866309095,303.3924515724182,324.852,9.469064941508748,21.45954842758175,30.9286133690905
2025,0.8,250,291.4193139527893,300.79027418041227,322.624,9.370960227622959,21.833725819587755,31.204686047210714
2025,0.9,250,288.7906503198576,298.14629089403155,321.152,9.355640574173947,23.005709105968435,32.36134968014238
