player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Ovie Mughelli,1445,FB,14,ATL,9,7,0,7,0.0
Arian Foster,5398,HB,4,HST,8,8,0,8,0.0
Mike Vrabel,268,ED,3,KC,1,1,0,1,0.0
Michael Sellers,432,FB,15,WAS,21,16,0,16,0.0
Edgerrin James,439,HB,7,SEA,3,3,0,3,0.0
Chris Pressley,5347,FB,6,TB,1,1,0,1,0.0
Colin Cloherty,5308,TE,1,IND,1,1,0,1,0.0
LaRod Stephens-Howling,5164,HB,16,ARZ,15,10,0,10,0.0
Chris Ogbonnaya,5135,HB,2,STR,2,1,0,1,0.0
Brandon Myers,5126,TE,7,OAK,6,4,0,4,0.0
Bear Pascoe,5108,TE,3,NYG,1,1,0,1,0.0
Quinten Lawrence,5099,WR,2,KC,2,1,0,1,0.0
James Casey,5076,TE,11,HST,11,6,0,6,0.0
Jarett Dillard,5068,WR,6,JAX,8,6,0,6,0.0
Anthony Hill,5046,TE,1,HST,1,1,0,1,0.0
Mike Goodson,5034,HB,5,CAR,2,2,0,2,0.0
Travis Beckum,5023,TE,10,NYG,10,8,0,8,0.0
Jared Cook,5012,TE,13,TEN,13,9,0,9,0.0
Chris Baker,1091,TE,16,NE,18,14,0,14,0.0
Justin Peelle,1104,TE,15,ATL,15,12,0,12,0.0
John Gilmore,1176,TE,10,TB,5,3,0,3,0.0
Darnell Dinkins,1236,TE,8,NO,6,5,0,5,0.0
Beanie Wells,4954,HB,15,ARZ,15,12,0,12,0.0
Seneca Wallace,1422,QB,5,SEA,2,2,0,2,0.0
Donald Brown,4950,HB,11,IND,12,11,0,11,0.0
Arnaz Battle,1499,WR,6,SF,5,5,0,5,0.0
Stefan Logan,4909,WR,5,PIT,1,1,0,1,0.0
Matt Lawrence,4887,HB,1,BLT,1,1,0,1,0.0
Marcel Reece,4702,FB,2,OAK,4,2,0,2,0.0
Ben Hartsock,1789,TE,15,NYJ,3,1,0,1,0.0
Matthew Mulligan,4701,TE,1,NYJ,1,1,0,1,0.0
Mark Jones,1922,WR,1,TEN,2,1,0,1,0.0
Steve Johnson,4538,WR,4,BUF,3,2,0,2,0.0
Jeff Dugan,1936,TE,16,MIN,6,6,0,6,0.0
Derrick Ward,1949,HB,14,TB,21,20,0,20,0.0
Lex Hilliard,4518,HB,7,MIA,20,20,0,20,0.0
Jaymar Johnson,4507,WR,2,MIN,1,1,0,1,0.0
Gary Barnidge,4455,TE,13,CAR,20,12,0,12,0.0
Keenan Burton,4442,WR,9,STR,40,25,0,25,0.0
Troy Williamson,2224,WR,2,JAX,4,3,0,3,0.0
Courtney Roby,2285,WR,6,NO,1,1,0,1,0.0
Ryan Moats,2294,HB,8,HST,14,13,0,13,0.0
Brandon Jones,2313,WR,6,SF,4,1,0,1,0.0
Greg Camarillo,2523,WR,16,MIA,69,50,0,50,0.0
Kyle Eckel,2574,FB,6,NO,3,2,0,2,0.0
Sam Gado,2599,HB,11,STR,3,3,0,3,0.0
Lavelle Hawkins,4440,WR,8,TEN,11,7,0,7,0.0
John Kuhn,2686,FB,12,GB,7,7,0,7,0.0
Stephen Spach,2789,TE,7,ARZ,9,4,0,4,0.0
Reggie Bush,2947,HB,14,NO,62,46,0,46,0.0
Jacob Hester,4383,FB,14,SD,10,9,0,9,0.0
Marcus Mason,4256,HB,8,WAS,6,6,0,6,0.0
Jake Nordin,4245,FB,4,DET,2,2,0,2,0.0
Eric Weems,4097,WR,14,ATL,6,6,0,6,0.0
Hank Baskett,3220,WR,1,PHI,2,1,0,1,0.0
Mike Bell,3225,HB,13,NO,4,4,0,4,0.0
Pierre Thomas,4080,HB,13,NO,42,39,0,39,0.0
Patrick Cobbs,3272,HB,5,MIA,4,3,0,3,0.0
Tim Castille,3906,FB,6,KC,6,4,0,4,0.0
Naufahu Tahi,3526,FB,15,MIN,11,10,0,10,0.0
Wallace Wright,3563,WR,5,NYJ,2,2,0,2,0.0
Jordan Kent,3826,WR,2,STR,2,1,0,1,0.0
Robert Meachem,3643,WR,16,NO,61,45,0,45,0.0
Craig Davis,3646,WR,1,SD,7,6,0,6,0.0
Yamon Figurs,3690,WR,3,DET,2,1,0,1,0.0
Jason Hill,3692,WR,10,SF,15,9,0,9,0.0
Garrett Wolfe,3709,HB,5,CHI,3,2,0,2,0.0
Kolby Smith,3764,HB,3,KC,2,2,0,2,0.0
Derek Schouman,3838,TE,2,BUF,11,9,0,9,0.0
Jackie Battle,3885,HB,5,KC,2,2,0,2,0.0
Danny Ware,4095,HB,5,NYG,4,3,0,3,0.0
Edgar Jones,4280,TE,3,BLT,2,1,0,1,0.0
Felix Jones,4336,HB,14,DAL,21,19,0,19,0.0
Matt Spaeth,3693,TE,16,PIT,6,5,0,5,0.0
Brian Leonard,3668,HB,14,CIN,34,30,0,30,0.0
James Hardy,4355,WR,2,BUF,1,1,0,1,0.0
Malcolm Kelly,4365,WR,16,WAS,38,25,0,25,0.0
Jacob Tamme,4441,TE,8,IND,9,3,0,3,0.0
Kenneth Moore,4450,WR,11,CAR,12,6,0,6,0.0
Jerome Felton,4460,FB,13,DET,14,12,0,12,0.0
Brady Quinn,3638,QB,1,CLV,1,1,0,1,0.0
Spencer Havner,3345,TE,14,GB,9,7,0,7,0.0
Chad Simpson,4692,HB,6,IND,4,3,0,3,0.0
Quinton Ganther,3191,HB,8,WAS,10,9,0,9,0.0
Tony Richardson,110,FB,16,NYJ,5,3,0,3,0.0
Jeff King,3100,TE,16,CAR,31,24,0,24,0.0
Domenik Hixon,3075,WR,14,NYG,28,15,0,15,0.0
Demetrius Williams,3056,WR,10,BLT,15,8,0,8,0.0
Brian Robiskie,4959,WR,10,CLV,16,7,0,7,0.0
Dave Thomas,3031,TE,15,NO,46,35,0,35,0.0
Derek Hagan,3027,WR,7,NYG,8,8,0,8,0.0
Jerious Norwood,3024,HB,10,ATL,21,19,0,19,0.0
Ramses Barden,5008,WR,2,NYG,1,1,0,1,0.0
LenDale White,2990,HB,12,TEN,5,3,0,3,0.0
Sinorice Moss,2989,WR,7,NYG,3,1,0,1,0.0
Aaron Brown,5116,HB,13,DET,14,9,0,9,0.0
James Davis,5119,HB,2,CLV,4,4,0,4,0.0
John Phillips,5132,FB,15,DAL,9,7,0,7,0.0
Bernard Scott,5133,HB,7,CIN,5,5,0,5,0.0
Cameron Morrah,5172,TE,2,SEA,1,1,0,1,0.0
Rashad Jennings,5174,HB,15,JAX,18,16,0,16,0.0
Tory Humphrey,2644,TE,1,NO,1,1,0,1,0.0
Chris Henry,2300,WR,8,CIN,22,12,0,12,0.0
Zach Potter,5302,TE,1,JAX,1,1,0,1,0.0
Charly Martin,5366,WR,4,CAR,1,1,0,1,0.0
Kory Sperry,5369,TE,6,MIA,5,3,0,3,0.0
Kevin Ogletree,5387,WR,9,DAL,8,7,0,7,0.0
Tyrell Sutton,5395,HB,6,CAR,9,6,0,6,0.0
Roscoe Parrish,2272,WR,6,BUF,4,3,0,3,0.0
Jason Wright,2212,HB,12,ARZ,9,9,0,9,0.0
Aaron Stecker,572,HB,4,ATL,5,5,0,5,0.0
John Standeford,2183,WR,2,DET,3,1,0,1,0.0
Willie Parker,2142,HB,14,PIT,7,6,0,6,0.0
Todd Yoder,772,TE,8,WAS,4,4,0,4,0.0
Michael Bennett,797,HB,3,SD,7,6,0,6,0.0
Brandon Manumaleuna,876,TE,16,SD,6,5,0,5,0.0
Clinton Portis,1058,HB,7,WAS,9,9,0,9,0.0
Brian Westbrook,1094,HB,8,PHI,30,25,0,25,0.0
Verron Haynes,1156,FB,6,ATL,4,3,0,3,0.0
Adrian Peterson,1177,HB,4,CHI,2,2,0,2,0.0
