player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Junior Hemingway,7222,WR,16,KC,19,13,0,13,0.0
Taylor Thompson,7140,TE,11,TEN,6,3,0,3,0.0
Bradie Ewing,7150,FB,2,ATL,2,2,0,2,0.0
James Hanna,7175,TE,16,DAL,12,11,0,11,0.0
Juron Criner,7160,WR,1,OAK,8,3,0,3,0.0
Jeremy Ross,6476,WR,2,GB,2,1,0,1,0.0
Stepfan Taylor,7922,HB,11,ARZ,9,8,0,8,0.0
Levine Toilolo,7915,TE,16,ATL,13,10,0,10,0.0
Johnathan Franklin,7907,HB,5,GB,5,4,0,4,0.0
Jeff Demps,7760,HB,2,TB,3,3,0,3,0.0
Visanthe Shiancoe,1406,TE,1,TEN,2,2,0,2,0.0
Josh Cooper,7672,WR,4,CLV,11,9,0,9,0.0
Will Johnson,7639,FB,14,PIT,9,8,0,8,0.0
Mike McNeill,6787,TE,3,STR,1,1,0,1,0.0
Dominique Jones,6988,TE,4,IND,3,2,0,2,0.0
Larry Donnell,7638,TE,13,NYG,6,3,0,3,0.0
Deonte Thompson,7513,WR,6,BLT,18,10,0,10,0.0
Bobby Rainey Jr.,7511,HB,8,TB,13,10,0,10,0.0
Bobby Rainey Jr.,7511,HB,4,CLV,4,4,0,4,0.0
Ronnie Hillman,7069,HB,8,DEN,12,12,0,12,0.0
DeVier Posey,7070,WR,12,HST,21,15,0,15,0.0
Derrick Coleman,7377,FB,9,SEA,8,8,0,8,0.0
Joe Banyard,7361,HB,3,MIN,1,1,0,1,0.0
Lance Dunbar,7332,HB,8,DAL,7,7,0,7,0.0
Collin Mooney,7256,FB,8,TEN,6,6,0,6,0.0
Orson Charles,7116,FB,2,CIN,1,1,0,1,0.0
Benjamin Watson,1753,TE,15,NO,28,19,0,19,0.0
Greg Jones II,1776,FB,16,HST,10,5,0,5,0.0
Michael Hill,8302,HB,1,TB,2,2,0,2,0.0
Benny Cunningham,8283,HB,11,STR,7,5,0,5,0.0
Michael Cox,8036,HB,3,NYG,3,3,0,3,0.0
Joel Dreessen,2415,TE,9,DEN,9,7,0,7,0.0
Nick Williams,8005,WR,5,WAS,9,3,0,3,0.0
Nick Kasa,7954,TE,8,OAK,4,1,0,1,0.0
Geno Smith,7820,QB,4,NYJ,1,1,0,1,0.0
Skye Dawson,8453,WR,7,TB,7,2,0,2,0.0
Jonathan Grimes,7585,HB,2,HST,6,6,0,6,0.0
Jeremy Stewart,7534,HB,3,OAK,1,1,0,1,0.0
Damaris Johnson,7530,WR,9,PHI,3,2,0,2,0.0
Michael Robinson,3045,FB,8,SEA,3,2,0,2,0.0
Brittan Golden,7481,WR,5,ARZ,10,4,0,4,0.0
Travaris Cadet,7457,HB,3,NO,2,2,0,2,0.0
Ben Obomanu,3194,WR,1,NYJ,1,1,0,1,0.0
Lamaar Thomas,8315,WR,2,JAX,3,2,0,2,0.0
Brian Tyms,7321,WR,6,CLV,5,2,0,2,0.0
Chris Owusu,7276,WR,9,TB,18,13,0,13,0.0
Garrett Celek,7274,TE,8,SF,4,2,0,2,0.0
Edwin Baker,7231,HB,3,CLV,9,8,0,8,0.0
Jeremy Ebert,7219,WR,5,JAX,7,3,0,3,0.0
Joe Staley,3644,T,1,SF,1,1,0,1,0.0
Dan Herron,7179,HB,1,IND,1,1,0,1,0.0
Vick Ballard,7162,HB,1,IND,1,1,0,1,0.0
Dante Rosario,3771,TE,15,CHI,4,1,0,1,0.0
Michael Egnew,7080,TE,16,MIA,10,7,0,7,0.0
Ahmad Bradshaw,3866,HB,3,IND,7,7,0,7,0.0
Jackie Battle,3885,HB,10,TEN,4,4,0,4,0.0
Dwayne Allen,7066,TE,1,IND,2,1,0,1,0.0
Isaiah Pead,7053,HB,7,STR,14,11,0,11,0.0
David Wilson,7036,HB,5,NYG,5,2,0,2,0.0
Trent Richardson,7009,HB,2,CLV,9,6,0,6,0.0
Patrick DiMarco,6997,FB,13,ATL,9,8,0,8,0.0
Kevin Cone,6889,WR,6,ATL,1,1,0,1,0.0
Kerry Taylor,6760,WR,1,ARZ,3,3,0,3,0.0
Tori Gurley,6750,WR,2,CLV,1,1,0,1,0.0
Ricardo Lockette,6622,WR,8,SEA,7,5,0,5,0.0
Jacob Tamme,4441,TE,12,DEN,24,20,0,20,0.0
Jerome Felton,4460,FB,13,MIN,7,6,0,6,0.0
Robert Hughes,6564,FB,1,IND,2,1,0,1,0.0
Phillip Tanner,6420,HB,3,DAL,4,3,0,3,0.0
Mike Preston,6413,WR,7,TEN,7,5,0,5,0.0
Richard Gordon,6333,TE,1,KC,1,1,0,1,0.0
Evan Royster,6329,HB,2,WAS,1,1,0,1,0.0
Niles Paul,6307,TE,10,WAS,6,3,0,3,0.0
Zach Sudfeld,8313,TE,10,NYJ,7,5,0,5,0.0
Chimdi Chekwa,6265,CB,1,OAK,1,1,0,1,0.0
Jonathan Baldwin,6178,WR,6,SF,8,3,0,3,0.0
Patrick Peterson,6157,CB,10,ARZ,7,6,0,6,0.0
Teddy Williams,6073,WR,3,ARZ,1,1,0,1,0.0
Brandon Tate,5006,WR,11,CIN,2,1,0,1,0.0
Richard Brockel,6037,FB,10,CAR,1,1,0,1,0.0
Austin Collie,5051,WR,7,NE,10,6,0,6,0.0
Frank Summers,5093,FB,12,BUF,8,7,0,7,0.0
Seyi Ajirotutu,6035,WR,7,SD,4,3,0,3,0.0
John Phillips,5132,TE,13,SD,5,4,0,4,0.0
Bernard Scott,5133,HB,2,BLT,2,2,0,2,0.0
LeGarrette Blount,5863,HB,14,NE,3,2,0,2,0.0
