player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Alfonso Smith,5877,HB,3,ARZ,3,2,0,2,0.0
Ted Ginn Jr.,3625,WR,7,SF,2,2,0,2,0.0
David Paulson,7660,TE,14,PIT,8,7,0,7,0.0
Jonathan Grimes,7585,HB,2,NYJ,2,2,0,2,0.0
Michael Bush,3716,HB,12,CHI,11,9,0,9,0.0
Jeremy Stewart,7534,HB,4,OAK,8,8,0,8,0.0
Isaiah Stanback,3719,TE,2,JAX,1,1,0,1,0.0
Damaris Johnson,7530,WR,13,PHI,28,19,0,19,0.0
Devin Aromashodu,3178,WR,15,MIN,21,11,0,11,0.0
Jeff King,3100,TE,16,ARZ,26,17,0,17,0.0
Le'Ron McClain,3753,FB,16,SD,8,8,0,8,0.0
Jason Avant,3054,WR,14,PHI,71,54,0,54,0.0
Brad Smith,3048,WR,14,BUF,20,14,0,14,0.0
LaRon Byrd,7486,WR,2,ARZ,2,1,0,1,0.0
Travaris Cadet,7457,HB,6,NO,8,5,0,5,0.0
Ben Hartsock,1789,TE,10,CAR,3,2,0,2,0.0
Jarrett Boykin,7363,WR,10,GB,6,5,0,5,0.0
Terrance Copper,2016,WR,8,KC,12,8,0,8,0.0
Chris Owusu,7276,WR,3,TB,3,1,0,1,0.0
Anthony Fasano,2998,TE,16,MIA,61,41,0,41,0.0
Kevin Boss,3769,TE,2,KC,3,3,0,3,0.0
Legedu Naanee,3788,WR,4,MIA,5,1,0,1,0.0
Reagan Mauia,3797,FB,2,ARZ,1,1,0,1,0.0
Ladarius Green,7110,TE,4,SD,4,4,0,4,0.0
Pierre Thomas,4080,HB,15,NO,45,39,0,39,0.0
Greg Camarillo,2523,WR,3,NO,5,4,0,4,0.0
Ryan Grant,2609,HB,4,GB,2,1,0,1,0.0
John Kuhn,2686,FB,14,GB,17,14,0,14,0.0
Eric Weems,4097,WR,8,CHI,3,2,0,2,0.0
Joe Adams,7104,WR,4,CAR,1,1,0,1,0.0
Ronnie Brown,2219,HB,14,SD,56,49,0,49,0.0
Antonio Cromartie,2964,CB,4,NYJ,2,1,0,1,0.0
