player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Sam Gado,2599,HB,5,MIA,5,4,0,4,0.0
Brian Kozlowski,62,TE,3,WAS,1,1,0,1,0.0
Tony Richardson,110,FB,14,MIN,13,11,0,11,0.0
Kyle Brady,118,TE,14,NE,15,9,0,9,0.0
Matt Willis,4283,WR,4,BLT,1,1,0,1,0.0
Christian Fauria,130,TE,13,CAR,6,5,0,5,0.0
Darius Walker,4248,HB,4,HST,14,13,0,13,0.0
Marvin Harrison,162,WR,5,IND,32,20,0,20,0.0
Ryan Krause,1887,TE,9,GB,2,2,0,2,0.0
Jeff Dugan,1936,FB,10,MIN,7,6,0,6,0.0
Brian Calhoun,3019,HB,3,DET,5,5,0,5,0.0
Mewelde Moore,1840,HB,6,MIN,8,6,0,6,0.0
Carey Davis,2029,FB,14,PIT,13,12,0,12,0.0
Jared Allen,1847,ED,2,KC,2,2,0,2,0.0
Luke Lawton,2099,FB,7,IND,4,4,0,4,0.0
Chad Lucas,2109,WR,2,TB,5,5,0,5,0.0
D.J. Hackett,1876,WR,6,SEA,45,32,0,32,0.0
Ben Utecht,2199,TE,14,IND,36,31,0,31,0.0
Adimchinobe Echemandu,1924,HB,6,HST,2,2,0,2,0.0
Jon Bradley,1993,FB,14,DET,4,2,0,2,0.0
John Kuhn,2686,FB,12,GB,3,2,0,2,0.0
Richard Owens,2141,FB,8,STR,1,1,0,1,0.0
Kevin Everett,2303,TE,1,BUF,1,1,0,1,0.0
Brandon Middleton,2123,WR,4,DET,9,8,0,8,0.0
Aaron Halterman,2619,TE,3,MIA,3,1,0,1,0.0
Jerome Mathis,2331,WR,2,HST,1,1,0,1,0.0
Malcom Floyd,2044,WR,6,SD,13,7,0,7,0.0
Tab Perry,2407,WR,2,CIN,5,1,0,1,0.0
Joel Dreessen,2415,TE,11,HST,6,4,0,4,0.0
Marcus Maxwell,2440,WR,3,CIN,2,1,0,1,0.0
Greg Camarillo,2523,WR,10,MIA,10,8,0,8,0.0
Kyle Eckel,2574,FB,4,NE,1,1,0,1,0.0
Sam Gado,2599,HB,3,HST,8,8,0,8,0.0
Troy Bienemann,4195,TE,16,ARZ,10,7,0,7,0.0
Pierre Thomas,4080,HB,10,NO,18,17,0,17,0.0
Mike Anderson,693,HB,5,BLT,4,4,0,4,0.0
Troy Walters,682,WR,10,DET,10,9,0,9,0.0
Courtney Taylor,3813,WR,6,SEA,6,5,0,5,0.0
Mike Vrabel,268,ED,6,NE,3,2,0,2,0.0
Michael Bennett,797,HB,6,KC,10,10,0,10,0.0
Priest Holmes,309,HB,4,KC,8,4,0,4,0.0
James Thrash,323,WR,12,WAS,17,9,0,9,0.0
Deon Anderson,3811,FB,5,DAL,6,6,0,6,0.0
John St. Clair,649,T,1,CHI,1,1,0,1,0.0
Korey Hall,3807,FB,13,GB,10,8,0,8,0.0
Legedu Naanee,3788,WR,11,SD,12,8,0,8,0.0
Jim Kleinsasser,469,TE,16,MIN,8,4,0,4,0.0
Dan Campbell,488,TE,2,DET,1,1,0,1,0.0
Jerame Tuman,513,TE,5,PIT,2,1,0,1,0.0
Billy Miller,534,TE,16,NO,38,26,0,26,0.0
Brent Celek,3778,TE,16,PHI,19,15,0,15,0.0
Ryan Neufeld,565,TE,7,BUF,2,2,0,2,0.0
Thomas Jones,585,HB,16,NYJ,29,27,0,27,0.0
Steve Heiden,481,TE,16,CLV,20,12,0,12,0.0
