player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Bethel Johnson,1361,WR,11,MIN,17,9,0,9,0.0
Dave Moore,30,TE,4,TB,1,1,0,1,0.0
Brian Kozlowski,62,TE,3,WAS,2,1,0,1,0.0
Tony Richardson,110,FB,9,MIN,13,13,0,13,0.0
Mark Bruener,125,TE,13,HST,9,9,0,9,0.0
Christian Fauria,130,TE,9,WAS,2,2,0,2,0.0
Amani Toomer,169,WR,8,NYG,49,32,0,32,0.0
David Patten,221,WR,4,WAS,4,1,0,1,0.0
Itula Mili,284,TE,8,SEA,16,10,0,10,0.0
Daimon Shelton,287,FB,13,BUF,8,6,0,6,0.0
Karl Hankton,308,WR,3,CAR,3,3,0,3,0.0
James Thrash,323,WR,16,WAS,18,12,0,12,0.0
Michael Sellers,432,FB,16,WAS,19,18,0,18,0.0
Dan Campbell,488,TE,16,DET,27,20,0,20,0.0
Jerame Tuman,513,TE,15,PIT,6,6,0,6,0.0
Sean Morey,538,WR,4,PIT,4,2,0,2,0.0
Ryan Neufeld,565,TE,5,BUF,1,1,0,1,0.0
Thomas Jones,585,HB,16,CHI,40,35,0,35,0.0
Ron Dayne,589,HB,11,HST,15,14,0,14,0.0
Jerry Porter,617,WR,4,OAK,4,1,0,1,0.0
Patrick Pass,709,HB,2,NE,2,2,0,2,0.0
Anthony Thomas,808,HB,13,BUF,22,21,0,21,0.0
Lamont Jordan,819,HB,9,OAK,14,10,0,10,0.0
Heath Evans,843,FB,12,NE,9,7,0,7,0.0
Travis Minor,846,HB,6,MIA,3,3,0,3,0.0
Justin McCareins,872,WR,16,NYJ,39,24,0,24,0.0
Tony Stewart,887,TE,16,CIN,17,14,0,14,0.0
Antonio Chatman,946,WR,3,CIN,5,3,0,3,0.0
Nick Goings,956,HB,8,CAR,14,10,0,10,0.0
Fred Wakefield,999,TE,8,ARZ,2,2,0,2,0.0
Andre' Davis,1054,WR,11,BUF,5,2,0,2,0.0
Josh McCown,1085,QB,2,DET,2,2,0,2,0.0
Chris Baker,1091,TE,16,NYJ,44,31,0,31,0.0
Justin Peelle,1104,TE,15,MIA,17,15,0,15,0.0
John Gilmore,1176,TE,15,CHI,8,5,0,5,0.0
David Givens,1210,WR,5,TEN,20,8,0,8,0.0
Dwayne Blakley,1219,TE,16,ATL,13,6,0,6,0.0
Nate Jackson,1259,TE,5,DEN,6,5,0,5,0.0
Michael Jennings,1261,WR,4,NYG,8,5,0,5,0.0
Derrick Lewis,1272,WR,5,HST,1,1,0,1,0.0
Edell Shepherd,1304,WR,7,HST,3,3,0,3,0.0
Rex Grossman,1338,QB,1,CHI,1,1,0,1,0.0
Musa Smith,1392,HB,12,BLT,24,22,0,22,0.0
Visanthe Shiancoe,1406,TE,16,NYG,13,12,0,12,0.0
Dan Klecko,1429,DI,1,IND,1,1,0,1,0.0
Walter Young,1524,WR,2,PIT,1,1,0,1,0.0
Kevin Walter,1549,WR,16,HST,21,17,0,17,0.0
James Adkisson,1554,TE,2,OAK,2,1,0,1,0.0
Casey Fitzsimmons,1607,TE,8,DET,10,7,0,7,0.0
Cortez Hankton,1618,WR,11,JAX,10,5,0,5,0.0
Will Heller,1623,TE,10,SEA,4,4,0,4,0.0
Reshard Lee,1647,FB,11,OAK,24,20,0,20,0.0
Chris Perry,1747,HB,4,CIN,11,9,0,9,0.0
Keary Colbert,1783,WR,11,CAR,11,5,0,5,0.0
Michael Turner,1873,HB,12,SD,3,3,0,3,0.0
Nate Lawrie,1899,TE,4,NO,2,1,0,1,0.0
