player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Laurent Robinson,3691,WR,6,ATL,6,5,0,5,0.0
Brad Cottam,4390,TE,15,KC,9,7,0,7,0.0
Devard Darling,1803,WR,15,KC,33,17,0,17,0.0
Ryan Moats,2294,HB,4,HST,4,3,0,3,0.0
Todd Herremans,2343,G,2,PHI,1,1,0,1,0.0
Joel Dreessen,2415,TE,16,HST,12,11,0,11,0.0
Tatum Bell,1762,HB,7,DEN,13,10,0,10,0.0
Sam Gado,2599,HB,1,STR,1,1,0,1,0.0
Zak Keasey,2674,FB,6,SF,4,3,0,3,0.0
Ovie Mughelli,1445,FB,16,ATL,8,8,0,8,0.0
Stephen Spach,2789,TE,9,ARZ,5,2,0,2,0.0
Leonard Weaver,2835,FB,14,SEA,29,19,0,19,0.0
Kelley Washington,1380,WR,1,NE,2,1,0,1,0.0
Larry Johnson,1343,HB,12,KC,14,12,0,12,0.0
Rock Cartwright,1211,HB,4,WAS,1,1,0,1,0.0
Aveion Cason,945,HB,6,DET,3,3,0,3,0.0
Leonard Pope,3017,TE,12,ARZ,11,8,0,8,0.0
Michael Robinson,3045,FB,11,SF,20,17,0,17,0.0
Marques Hagans,3089,QB,2,KC,1,1,0,1,0.0
Brandon Manumaleuna,876,TE,16,SD,18,15,0,15,0.0
Lawrence Vickers,3125,FB,12,CLV,13,10,0,10,0.0
Moran Norris,865,FB,10,DET,7,4,0,4,0.0
Jeff Webb,3135,WR,5,KC,13,5,0,5,0.0
Robert Ferguson,811,WR,4,MIN,4,3,0,3,0.0
Michael Bennett,797,HB,1,TB,1,1,0,1,0.0
Mike Bell,3225,HB,2,NO,1,1,0,1,0.0
Brian Clark,3271,WR,3,TB,2,1,0,1,0.0
Todd Yoder,772,TE,11,WAS,9,8,0,8,0.0
DeDe Dorsey,3299,HB,3,CIN,2,2,0,2,0.0
Andre Hall,3333,HB,8,DEN,3,3,0,3,0.0
Marc Bulger,684,QB,2,STR,2,2,0,2,0.0
Buck Ortega,3448,TE,8,NO,3,1,0,1,0.0
P.J. Pope,3467,HB,2,DEN,4,3,0,3,0.0
Shaun Alexander,597,HB,2,WAS,1,1,0,1,0.0
Bubba Franks,592,TE,8,NYJ,9,6,0,6,0.0
Lance Ball,4808,HB,1,IND,1,1,0,1,0.0
Mike Cox,4716,FB,16,KC,11,8,0,8,0.0
Kregg Lumpkin,4714,HB,1,GB,3,3,0,3,0.0
Yamon Figurs,3690,WR,7,BLT,5,1,0,1,0.0
Paul Williams,3696,WR,3,TEN,3,1,0,1,0.0
Tony Hunt,3706,FB,6,PHI,5,5,0,5,0.0
Joey Haynos,4711,TE,5,MIA,4,2,0,2,0.0
Aundrae Allison,3762,WR,15,MIN,20,10,0,10,0.0
Chad Simpson,4692,HB,3,IND,3,3,0,3,0.0
James Johnson,4634,HB,4,CIN,7,6,0,6,0.0
David Clowney,3773,WR,2,NYJ,2,1,0,1,0.0
Michael Bumpus,4618,WR,3,SEA,8,5,0,5,0.0
Ben Patrick,3831,TE,10,ARZ,13,11,0,11,0.0
Tyler Thigpen,3833,QB,1,KC,1,1,0,1,0.0
Chaz Schilens,4540,WR,16,OAK,30,15,0,15,0.0
Pierre Garcon,4519,WR,4,IND,4,4,0,4,0.0
Mike Hart,4516,HB,2,IND,1,1,0,1,0.0
Kenneth Darby,3862,HB,9,STR,21,19,0,19,0.0
Ahmad Bradshaw,3866,HB,8,NYG,5,5,0,5,0.0
Jackie Battle,3885,HB,1,KC,1,1,0,1,0.0
Brandon London,3997,WR,10,MIA,6,3,0,3,0.0
Gary Russell,4059,HB,6,PIT,1,1,0,1,0.0
Jerome Felton,4460,FB,10,DET,9,9,0,9,0.0
Steve Sanders,4189,WR,5,CLV,4,1,0,1,0.0
Michael Matthews,4218,TE,16,NYG,3,2,0,2,0.0
Edgar Jones,4280,ED,1,BLT,1,1,0,1,0.0
Felix Jones,4336,HB,6,DAL,2,2,0,2,0.0
Jacob Tamme,4441,TE,2,IND,4,3,0,3,0.0
Andre Caldwell,4411,WR,6,CIN,15,11,0,11,0.0
Craig Stevens,4399,TE,5,TEN,2,1,0,1,0.0
Limas Sweed,4367,WR,10,PIT,10,6,0,6,0.0
David Patten,221,WR,5,NO,20,11,0,11,0.0
Tom Santi,4510,TE,4,IND,13,10,0,10,0.0
Allen Rossum,377,CB,1,SF,1,1,0,1,0.0
Owen Schmitt,4477,FB,8,SEA,8,6,0,6,0.0
Derek Fine,4446,TE,9,BUF,11,10,0,10,0.0
Steve Slaton,4403,HB,16,HST,56,50,0,50,0.0
Dan Campbell,488,TE,1,DET,1,1,0,1,0.0
Jerame Tuman,513,TE,3,ARZ,2,2,0,2,0.0
Jerome Simpson,4360,WR,4,CIN,3,1,0,1,0.0
Dantrell Savage,4822,HB,2,KC,2,2,0,2,0.0
Thomas Jones,585,HB,16,NYJ,41,35,0,35,0.0
Joe Flacco,4332,QB,3,BLT,1,1,0,1,0.0
Jonathan Stewart,4327,HB,16,CAR,13,8,0,8,0.0
Darren McFadden,4318,HB,13,OAK,37,29,0,29,0.0
Eric Weems,4097,WR,3,ATL,1,1,0,1,0.0
Olaniyi Sobomehin,4782,FB,1,NO,3,2,0,2,0.0
Logan Payne,4037,WR,2,SEA,4,3,0,3,0.0
Tim Castille,3906,FB,14,ARZ,4,4,0,4,0.0
Heath Evans,843,FB,12,NE,3,3,0,3,0.0
Chansi Stuckey,3851,WR,15,NYJ,43,32,0,32,0.0
Rudi Johnson,857,HB,13,DET,13,12,0,12,0.0
Deshawn Wynn,3844,HB,3,GB,3,3,0,3,0.0
Deon Anderson,3811,FB,14,DAL,3,2,0,2,0.0
Korey Hall,3807,FB,10,GB,7,7,0,7,0.0
Drew Bennett,941,WR,1,STR,1,1,0,1,0.0
Nick Goings,956,HB,7,CAR,3,3,0,3,0.0
Roy Hall,3785,WR,1,IND,4,1,0,1,0.0
Chris Davis,3744,WR,4,TEN,3,2,0,2,0.0
Daniel Wilcox,1002,TE,12,BLT,5,5,0,5,0.0
Isaiah Stanback,3719,WR,3,DAL,2,2,0,2,0.0
Sidney Rice,3660,WR,13,MIN,29,15,0,15,0.0
Montell Owens,3452,FB,5,JAX,3,2,0,2,0.0
Darcy Johnson,3377,TE,8,NYG,6,4,0,4,0.0
Matt Schobel,1074,TE,4,PHI,3,2,0,2,0.0
Najeh Davenport,1131,HB,1,IND,4,4,0,4,0.0
Quinton Ganther,3191,HB,3,TEN,6,6,0,6,0.0
Jason McKie,1279,FB,10,CHI,11,11,0,11,0.0
Brad Smith,3048,WR,15,NYJ,19,12,0,12,0.0
George Wrighster,1417,TE,5,JAX,3,2,0,2,0.0
Dan Klecko,1429,FB,11,PHI,7,6,0,6,0.0
Dave Thomas,3031,TE,14,NE,17,9,0,9,0.0
Derek Hagan,3027,WR,2,MIA,6,3,0,3,0.0
Sinorice Moss,2989,WR,9,NYG,14,12,0,12,0.0
Chad Jackson,2981,WR,4,DEN,1,1,0,1,0.0
Jesse Chatman,2861,HB,2,NYJ,2,2,0,2,0.0
Chauncey Washington,4527,HB,2,JAX,1,1,0,1,0.0
Will Heller,1623,TE,12,SEA,6,4,0,4,0.0
Kevin Jones,1751,HB,7,CHI,2,2,0,2,0.0
Tory Humphrey,2644,TE,15,GB,14,11,0,11,0.0
Tony Curtis,2552,TE,14,DAL,10,8,0,8,0.0
Billy Bajema,2466,TE,11,SF,4,2,0,2,0.0
Ben Hartsock,1789,TE,11,ATL,5,3,0,3,0.0
Ernest Wilford,1841,WR,6,MIA,6,3,0,3,0.0
Sean Ryan,1865,FB,1,NO,2,2,0,2,0.0
Sean Ryan,1865,FB,4,SF,2,1,0,1,0.0
Alvin Pearman,2344,HB,1,JAX,1,1,0,1,0.0
Mike Karney,1875,FB,11,NO,10,9,0,9,0.0
Thomas Tapeh,1880,FB,1,MIN,2,1,0,1,0.0
Nate Lawrie,1899,TE,6,CIN,4,2,0,2,0.0
Mark Jones,1922,WR,4,CAR,3,2,0,2,0.0
Mark Clayton,2239,WR,16,BLT,75,41,0,41,0.0
Jeff Dugan,1936,FB,9,MIN,2,2,0,2,0.0
Antrel Rolle,2225,S,1,ARZ,1,1,0,1,0.0
Sean McHugh,1955,FB,12,PIT,4,3,0,3,0.0
John Standeford,2183,WR,9,DET,30,15,0,15,0.0
Luke Lawton,2099,FB,12,OAK,9,5,0,5,0.0
Glenn Martinez,2112,WR,2,DEN,4,3,0,3,0.0
Jason Rader,2154,TE,6,ATL,1,1,0,1,0.0
Cedric Benson,2221,HB,11,CIN,23,20,0,20,0.0
Cadillac Williams,2222,HB,5,TB,7,7,0,7,0.0
Casey Cramer,1942,FB,6,MIA,2,2,0,2,0.0
D.J. Hackett,1876,WR,8,CAR,26,13,0,13,0.0
Ike Hilliard,233,WR,16,TB,55,47,1,48,2.1
Chester Taylor,1182,HB,16,MIN,50,44,1,45,2.2
Billy Miller,534,TE,15,NO,59,44,1,45,2.2
