player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Richard Quinn,4987,TE,9,DEN,2,1,0,1,0.0
Kelley Washington,1380,WR,6,SD,14,13,0,13,0.0
Kevin Curtis,1389,WR,2,MIA,2,1,0,1,0.0
Donald Lee,1465,TE,15,GB,11,11,0,11,0.0
Seyi Ajirotutu,6035,WR,10,SD,23,13,0,13,0.0
Javarris James,5962,HB,8,IND,11,9,0,9,0.0
Reagan Mauia,3797,FB,14,ARZ,3,2,0,2,0.0
Korey Hall,3807,FB,10,GB,1,1,0,1,0.0
Tim Castille,3906,FB,9,KC,11,10,0,10,0.0
Steve Slaton,4403,HB,5,HST,4,3,0,3,0.0
Kellen Davis,4472,TE,12,CHI,1,1,0,1,0.0
Earl Bennett,4384,WR,14,CHI,66,46,0,46,0.0
Mike Hart,4516,HB,5,IND,6,6,0,6,0.0
Jacob Hester,4383,FB,15,SD,25,22,0,22,0.0
Chaz Schilens,4540,WR,5,OAK,9,5,0,5,0.0
Adrian Arrington,4551,TE,1,NO,9,7,0,7,0.0
Albert Young,4665,HB,3,MIN,2,2,0,2,0.0
Kregg Lumpkin,4714,HB,3,TB,1,1,0,1,0.0
Mike Cox,4716,FB,7,KC,4,4,0,4,0.0
Cedric Peerman,5109,HB,3,CIN,3,1,0,1,0.0
Javon Ringer,5097,HB,14,TEN,8,7,0,7,0.0
Gartrell Johnson,5058,HB,4,ATL,5,3,0,3,0.0
Shawn Nelson,5045,TE,4,BUF,4,3,0,3,0.0
Mike Vrabel,268,ED,5,KC,2,1,0,1,0.0
Gijon Robinson,4056,TE,8,IND,6,3,0,3,0.0
Pierre Thomas,4080,HB,6,NO,29,29,0,29,0.0
Eric Weems,4097,WR,11,ATL,6,6,0,6,0.0
Matt Willis,4283,WR,2,DEN,1,1,0,1,0.0
Reggie Kelly,468,TE,16,CIN,11,10,0,10,0.0
Jim Kleinsasser,469,TE,16,MIN,20,17,0,17,0.0
Chris Gronkowski,5926,FB,14,DAL,13,7,0,7,0.0
