player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Brett Swain,4531,WR,4,SF,5,2,0,2,0.0
Marcel Reece,4702,FB,12,OAK,34,27,0,27,0.0
Mossis Madu,6730,HB,5,TB,12,10,0,10,0.0
Thomas Jones,585,HB,14,KC,7,5,0,5,0.0
Colin Cochart,6712,TE,9,CIN,8,5,0,5,0.0
Henry Hynoski,6666,FB,11,NYG,13,12,0,12,0.0
Ryan Mahaffey,6660,FB,4,IND,1,1,0,1,0.0
Ricardo Lockette,6622,WR,2,SEA,4,2,0,2,0.0
DuJuan Harris,6595,HB,5,JAX,1,1,0,1,0.0
Seneca Wallace,1422,QB,1,CLV,1,1,0,1,0.0
LaQuan Williams,6511,WR,7,BLT,12,4,0,4,0.0
Will Heller,1623,TE,16,DET,12,6,0,6,0.0
Greg Jones II,1776,FB,16,JAX,7,4,0,4,0.0
Keary Colbert,1783,WR,7,KC,12,9,0,9,0.0
Isaac Sopoaga,1825,DI,3,SF,1,1,0,1,0.0
Weslye Saunders,6496,TE,14,PIT,7,4,0,4,0.0
Phillip Tanner,6420,HB,4,DAL,2,2,0,2,0.0
David Ausberry,6393,TE,9,OAK,2,2,0,2,0.0
Terrance Copper,2016,WR,11,KC,12,8,0,8,0.0
Da'Rel Scott,6373,HB,5,NYG,2,2,0,2,0.0
Shaun Chapas,6372,FB,1,DAL,1,1,0,1,0.0
Ryan Taylor,6370,TE,2,GB,1,1,0,1,0.0
Virgil Green,6356,TE,10,DEN,4,3,0,3,0.0
Richard Gordon,6333,FB,4,OAK,1,1,0,1,0.0
Stephen Spach,2789,TE,7,STR,3,2,0,2,0.0
Evan Royster,6329,HB,6,WAS,13,9,0,9,0.0
Ryan Whalen,6319,WR,3,CIN,4,4,0,4,0.0
Michael Robinson,3045,FB,12,SEA,13,9,0,9,0.0
Niles Paul,6307,WR,12,WAS,5,2,0,2,0.0
Dion Lewis,6301,HB,5,PHI,1,1,0,1,0.0
D.J. Williams Jr.,6293,TE,9,GB,3,2,0,2,0.0
Micheal Spurlock,3517,WR,9,TB,6,2,0,2,0.0
Kris Durham,6259,WR,3,SEA,4,3,0,3,0.0
Scott Chandler,3745,TE,14,BUF,43,38,0,38,0.0
Dante Rosario,3771,TE,12,DEN,10,7,0,7,0.0
Thomas Clayton,3802,HB,3,CLV,1,1,0,1,0.0
Jesse Holley,3965,WR,8,DAL,7,7,0,7,0.0
Devin Thomas,4348,WR,9,NYG,3,3,0,3,0.0
Jamaal Charles,4387,HB,1,KC,6,5,0,5,0.0
