comparison_type,comparison,draw_context,nominal_buffer,mean_all_four_feasible_share,total_all_four_feasible_count,actual_points_effect_interaction,drafted_only_points_effect_interaction,actual_cap_feasible_effect_interaction,actual_cap_overage_effect_interaction,actual_salary_spend_effect_interaction,forecast_ev_effect_interaction,forecast_error_effect_interaction,forecast_salary_spend_effect_interaction,normalized_nominal_salary_spend_effect_interaction,raw_nominal_salary_spend_effect_interaction,actual_waiver_starts_effect_interaction,actual_salary_missing_players_effect_interaction,salary_source_missing_players_effect_interaction,joint_feasible_actual_points_effect_interaction,nominal_buffer_dollars
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,0.034,34,-28.69283801269531,-36.43114080810547,0.125,-25.284,-26.599,-19.67266223144531,-9.02017578125,-6.1310638885498046,-30.110374389648438,-25.391,2.678,0.112,0.083,-4.339630369156126,0.0
buffer_effect_d1_minus_d5,buffer_10_minus_none,d1_minus_d5,10,0.036,36,-29.56134313964844,-34.82383709716797,0.079,-22.039,-22.815,-17.36409143066406,-12.197251708984375,-4.736848190307617,-26.94257241821289,-22.474,2.49,0.09799999999999999,0.092,-7.306044083412247,10.0
buffer_effect_d1_minus_d5,buffer_15_minus_none,d1_minus_d5,15,0.038,38,-24.152920288085937,-31.00985821533203,0.06,-20.011,-20.666,-15.742879028320312,-8.410041259765624,-4.109159286499024,-24.38246841430664,-20.149,2.2880000000000003,0.091,0.091,-3.573938358191288,15.0
buffer_effect_d1_minus_d5,buffer_25_minus_none,d1_minus_d5,25,0.04,40,-20.83214208984375,-22.634421875,0.019,-15.606,-15.78,-11.150796997070312,-9.681345092773439,-2.640381500244141,-19.354755798339845,-15.626999999999999,1.605,0.049,0.059,5.594118604473039,25.0
buffer_effect_d1_minus_d5,buffer_5_minus_none,d1_minus_d5,5,0.036,36,-27.848020629882814,-32.32717657470703,0.099,-24.141,-25.11,-18.777842529296876,-9.070178100585938,-5.275892578125,-29.161174774169922,-24.515,2.396,0.09000000000000001,0.073,-10.566685018314658,5.0
