variant,salary_draw_count,nominal_buffer,development_2022_2024_actual_points,temporal_check_2025_actual_points,development_2022_2024_drafted_only_points,temporal_check_2025_drafted_only_points,development_2022_2024_cap_feasible_rate,temporal_check_2025_cap_feasible_rate,development_2022_2024_mean_cap_overage,temporal_check_2025_mean_cap_overage,development_2022_2024_p90_cap_overage,temporal_check_2025_p90_cap_overage,development_2022_2024_actual_salary_spend,temporal_check_2025_actual_salary_spend,development_2022_2024_normalized_nominal_salary_spend,temporal_check_2025_normalized_nominal_salary_spend,development_2022_2024_near_nominal_cap_within_1_rate,temporal_check_2025_near_nominal_cap_within_1_rate,development_2022_2024_actual_points_feasible,temporal_check_2025_actual_points_feasible,development_2022_2024_forecast_ev,temporal_check_2025_forecast_ev,development_2022_2024_absolute_forecast_error,temporal_check_2025_absolute_forecast_error,nominal_buffer_dollars,development_pareto
d1_nominal0,1,0,1572.0544545898438,1602.7446391601563,1456.8998104654947,1482.6131948242187,0.268,0.168,21.570666666666668,22.632,48.06666666666666,51.0,316.0226666666667,318.924,291.81712829589844,293.0371364746094,0.08933333333333333,0.172,1573.5667566489058,1558.9099934895833,1572.895122721354,1625.8631083984376,139.64214794921875,92.50378369140626,0.0,False
d1_nominal10,1,10,1584.08823811849,1606.4087138671875,1471.9408286132812,1491.5388842773436,0.16666666666666666,0.12,28.24666666666667,28.356,57.06666666666666,59.0,324.37733333333335,325.276,300.7060734456381,301.44699145507815,0.112,0.12,1591.5870010636809,1557.8813191731772,1579.554153971354,1632.9849658203125,139.4554796549479,90.6306572265625,10.0,False
d1_nominal15,1,15,1590.5571717122396,1605.2888798828126,1479.0370402018227,1481.8312817382812,0.14,0.108,31.180000000000003,31.708,61.43333333333333,59.099999999999994,327.6653333333333,328.612,304.6792281901042,305.24353479003906,0.11866666666666666,0.096,1599.353329604597,1553.0740695529514,1581.8873422851564,1636.8512407226563,137.09243489583335,93.06793115234375,15.0,False
d1_nominal25,1,25,1598.7264495442707,1607.37319921875,1490.4013820800783,1491.7116015625,0.084,0.068,36.769333333333336,36.708,68.1,63.0,333.8306666666667,334.2,311.48007527669273,311.05532373046873,0.08800000000000001,0.068,1627.3938077196663,1552.0917466107537,1586.7574978841146,1644.2468857421875,135.42161962890626,93.486716796875,25.0,True
d1_nominal5,1,5,1579.5359195963545,1605.5249565429688,1464.7849358723959,1490.8644780273437,0.21733333333333335,0.124,24.833333333333332,26.036,52.36666666666667,54.0,320.26,322.784,296.1126808268229,297.071732421875,0.076,0.124,1606.431996767941,1545.1148209110384,1576.5649464518228,1630.7427939453125,139.89244026692708,95.19807177734376,5.0,False
d1_nominalnone,1,none,1628.2431992187496,1609.32255859375,1521.828158284505,1494.8959990234375,0.057333333333333326,0.06,57.46933333333333,40.448,97.06666666666666,68.1,354.748,338.0,337.802696492513,314.6959018554688,0.0,0.0,1663.6094956894267,1549.9066569010417,1600.9180483398438,1648.3779501953125,127.17881754557293,96.013908203125,,True
d5_nominal0,5,0,1573.1502667643229,1598.2209536132812,1459.2061843261718,1482.712080078125,0.276,0.192,20.59466666666667,22.348,47.4,51.099999999999994,314.8053333333333,318.304,290.9230898844401,292.13827966308594,0.076,0.128,1579.3053140481118,1552.3483276367188,1571.5361761067707,1626.2452666015624,141.76658512369792,85.20504443359376,0.0,True
d5_nominal10,5,10,1587.0072010091146,1599.8895966796874,1473.8102124023437,1486.5195249023438,0.23199999999999998,0.156,23.865333333333336,25.308,52.4,52.099999999999994,318.972,322.084,296.77856640625004,296.97733264160155,0.04933333333333334,0.04,1589.6603422186738,1560.652822641226,1575.7537011718748,1631.457359375,140.85785791015624,86.9334169921875,10.0,True
d5_nominal15,5,15,1586.169733235677,1599.055275390625,1473.7979458007812,1482.88144140625,0.22666666666666666,0.156,24.90533333333333,26.228,54.03333333333333,54.0,320.20266666666663,322.996,298.3602376708984,297.70791040039063,0.03866666666666666,0.008,1587.4976177329988,1554.6030742938701,1576.609979329427,1633.2695151367188,140.14806412760416,86.52726708984375,15.0,False
d5_nominal25,5,25,1590.7147464192706,1598.7292758789063,1477.3092791341144,1482.8190415039062,0.212,0.156,26.241333333333333,26.368,58.0,54.0,321.6693333333333,323.136,300.40430782063805,297.6791796875,0.02,0.0,1586.4650634499048,1554.6030742938701,1577.8497032877603,1633.188126953125,137.68805094401043,86.83150244140624,25.0,True
d5_nominal5,5,5,1579.8437333984375,1599.9859965820312,1465.2290375976563,1480.1343227539062,0.25333333333333335,0.168,22.658666666666665,24.776,49.4,52.19999999999999,317.39733333333334,321.144,294.3114912109375,295.09753076171876,0.04933333333333334,0.06,1578.3312057542505,1563.5542893182665,1574.6426362304685,1629.2357641601564,140.6756053059896,90.536279296875,5.0,True
d5_nominalnone,5,none,1593.1050930989584,1598.7292758789063,1479.6182919921876,1482.8190415039062,0.208,0.156,27.38,26.368,59.0,54.0,322.81333333333333,323.136,302.1341140136719,297.6791796875,0.0,0.0,1582.7458324067984,1554.6030742938701,1578.5195458984374,1633.188126953125,137.02097330729165,86.83150244140624,,True
