year,variant,salary_draw_count,nominal_buffer,trials,unique_rosters,actual_points,drafted_only_points,cap_feasible_rate,feasible_trials,mean_cap_overage,median_cap_overage,p90_cap_overage,actual_salary_spend,forecast_salary_spend,normalized_nominal_salary_spend,raw_nominal_salary_spend,near_nominal_cap_within_1_rate,baseline_nominal_violation_rate,forecast_ev,absolute_forecast_error,actual_waiver_starts,actual_price_missing,salary_source_missing,actual_points_feasible,nominal_buffer_dollars
2022,d1_nominal0,1,0,250,250,1427.5676801757813,1438.19759765625,0.06,15,37.604,35.0,73.1,335.06,276.5510172119141,292.2371496582031,228.368,0.0,0.992,1574.9280483398438,153.3077822265625,40.156,0.828,1.488,1406.0280110677083,0.0
2022,d1_nominal10,1,10,250,250,1441.7593579101563,1450.0691997070312,0.048,12,44.92,43.5,80.19999999999999,342.456,279.88158557128907,301.8576123046875,235.788,0.16,0.984,1581.2178310546874,147.63726025390625,39.368,0.848,1.52,1454.6933186848958,10.0
2022,d1_nominal15,1,15,250,250,1451.9426376953124,1460.5049599609374,0.048,12,48.764,48.0,84.0,346.368,281.5560250854492,307.28241149902345,239.972,0.208,0.98,1584.422486328125,141.3181806640625,39.02,0.836,1.54,1476.643310546875,15.0
2022,d1_nominal25,1,25,250,250,1465.5873583984376,1476.7327138671876,0.024,6,55.052,56.0,89.1,352.72,283.6677281494141,316.4776018066406,247.064,0.176,0.964,1591.020763671875,136.0206396484375,37.584,0.756,1.472,1526.0633544921875,25.0
2022,d1_nominal5,1,5,250,250,1439.0648779296876,1451.235677734375,0.048,12,41.584,42.5,75.1,339.184,279.34223864746093,297.28335375976565,232.26,0.176,0.988,1579.7228837890625,148.2224697265625,39.248,0.812,1.504,1483.1950276692708,5.0
2022,d1_nominalnone,1,none,250,250,1543.5261640625,1546.8836752929687,0.0,0,100.184,98.0,146.1,398.184,291.7693254394531,377.3017445068359,293.976,0.0,0.0,1622.9832739257813,112.81316552734376,32.528,0.628,1.296,,
2022,d5_nominal0,5,0,250,250,1423.3598388671876,1438.3434365234375,0.108,27,34.38,32.0,68.1,330.896,286.9227703857422,290.8368673095703,227.288,0.0,0.796,1571.4802045898437,154.21631494140624,40.728,0.892,1.664,1422.0600179036458,0.0
2022,d5_nominal10,5,10,250,250,1447.1216044921875,1456.2933540039062,0.092,23,38.516,36.0,75.1,335.068,289.05571649169923,298.94813659667966,233.544,0.096,0.576,1575.7239340820313,144.39185986328124,39.24,0.932,1.692,1448.0521824048913,10.0
2022,d5_nominal15,5,15,250,250,1446.5530400390626,1459.6567182617187,0.092,23,40.384,39.0,77.1,337.264,290.0914119873047,302.2050908203125,236.056,0.088,0.464,1577.7470756835937,142.63710498046876,39.5,0.928,1.692,1453.8965268342392,15.0
2022,d5_nominal25,5,25,250,250,1459.7955209960937,1471.5691967773437,0.064,16,44.3,42.5,87.0,341.508,291.30347741699217,307.4794881591797,240.124,0.06,0.268,1580.9621103515624,135.36864404296875,38.476,0.908,1.712,1447.8300094604492,25.0
2022,d5_nominal5,5,5,250,250,1435.2354375,1446.9644770507812,0.108,27,36.376,34.5,71.0,332.852,288.15712561035156,295.16737231445313,230.628,0.116,0.7,1574.2817104492187,148.07948486328124,39.872,0.908,1.704,1425.3770299840855,5.0
2022,d5_nominalnone,5,none,250,250,1467.3700009765626,1479.5890361328125,0.052,13,47.716,44.5,90.0,344.94,292.50170458984377,312.61385998535155,244.084,0.0,0.0,1582.9513295898437,133.79115966796874,37.876,0.92,1.716,1436.6723163311299,
2023,d1_nominal0,1,0,250,250,1690.4598393554688,1371.881356201172,0.456,114,8.616,2.0,26.099999999999994,300.024,282.4331655883789,291.6792918701172,256.004,0.176,0.892,1517.8285727539062,173.0518154296875,62.844,0.792,0.44,1710.952806974712,0.0
