comparison_type,comparison,draw_context,nominal_buffer,nominal_buffer_dollars,year,trial,all_four_actual_cap_feasible,actual_points_effect_interaction,drafted_only_points_effect_interaction,actual_cap_feasible_effect_interaction,actual_cap_overage_effect_interaction,actual_salary_spend_effect_interaction,forecast_ev_effect_interaction,forecast_error_effect_interaction,forecast_salary_spend_effect_interaction,normalized_nominal_salary_spend_effect_interaction,raw_nominal_salary_spend_effect_interaction,actual_waiver_starts_effect_interaction,actual_salary_missing_players_effect_interaction,salary_source_missing_players_effect_interaction,joint_feasible_actual_points_effect_interaction
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,0.0,2022,0,False,-99.8800048828125,-94.1600341796875,0.0,-69.0,-69.0,-54.7674560546875,-45.112548828125,-17.650848388671875,-107.61431884765625,-83.0,-2.0,0.0,-1.0,
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,0.0,2022,1,False,-110.2000732421875,-73.1998291015625,0.0,-84.0,-84.0,-33.4755859375,-76.7244873046875,2.270843505859375,-57.04852294921875,-44.0,4.0,-1.0,1.0,
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,0.0,2022,2,False,-200.800048828125,-123.699951171875,0.0,-2.0,-2.0,-40.942626953125,-159.857421875,11.0662841796875,-58.3450927734375,-45.0,-15.0,1.0,0.0,
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,0.0,2022,3,False,-25.2999267578125,-54.4000244140625,0.0,-14.0,-14.0,-26.6881103515625,1.38818359375,0.322784423828125,-49.26922607421875,-38.0,-4.0,0.0,-1.0,
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,0.0,2022,4,False,-182.7999267578125,-184.199951171875,0.0,-124.0,-124.0,-93.9393310546875,-88.860595703125,-8.261810302734375,-125.76614379882812,-97.0,4.0,1.0,2.0,
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,0.0,2022,5,False,-6.0399169921875,-80.6998291015625,0.0,-52.0,-52.0,-77.5843505859375,71.54443359375,-0.73895263671875,-51.862335205078125,-40.0,5.0,1.0,1.0,
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,0.0,2022,6,False,-174.39990234375,-109.2000732421875,0.0,10.0,10.0,-38.4989013671875,-135.9010009765625,1.215728759765625,-37.600189208984375,-29.0,8.0,0.0,0.0,
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,0.0,2022,7,False,-219.93994140625,-220.3800048828125,0.0,-21.0,-21.0,-2.2498779296875,-217.6900634765625,-30.30853271484375,-77.79354858398438,-60.0,15.0,-1.0,-1.0,
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,0.0,2022,8,False,-262.9998779296875,-251.039794921875,0.0,-58.0,-58.0,-37.2581787109375,-225.74169921875,-18.2230224609375,-71.31069946289062,-55.0,30.0,2.0,3.0,
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,0.0,2022,9,False,-259.800048828125,-181.39990234375,0.0,-62.0,-62.0,-57.1878662109375,-202.6121826171875,-18.30279541015625,-90.75909423828125,-70.0,10.0,0.0,0.0,
