comparison_type,comparison,draw_context,nominal_buffer,year,trial,roster_jaccard,roster_slots_changed,roster_changed,both_actual_cap_feasible,candidate_near_nominal_cap_within_1,baseline_nominal_violation,actual_points_effect,drafted_only_points_effect,actual_cap_feasible_effect,actual_cap_overage_effect,actual_salary_spend_effect,forecast_ev_effect,forecast_error_effect,forecast_salary_spend_effect,normalized_nominal_salary_spend_effect,raw_nominal_salary_spend_effect,actual_waiver_starts_effect,actual_salary_missing_players_effect,salary_source_missing_players_effect,joint_feasible_actual_points_effect,nominal_buffer_dollars
buffer_vs_none,buffer_0_minus_none,1,0,2022,0,0.5294117647058824,4,True,False,False,True,-99.8800048828125,-94.1600341796875,0.0,-69.0,-69.0,-54.7674560546875,-45.112548828125,-17.650848388671875,-107.61431884765625,-83.0,-2.0,0.0,-1.0,,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2022,1,0.4444444444444444,5,True,False,False,True,-110.2000732421875,-73.1998291015625,0.0,-84.0,-84.0,-33.4755859375,-76.7244873046875,2.270843505859375,-57.04852294921875,-44.0,4.0,-1.0,1.0,,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2022,2,0.5294117647058824,4,True,False,False,True,-190.9000244140625,-138.0,0.0,-45.0,-45.0,-55.380859375,-135.5191650390625,9.1400146484375,-86.869384765625,-67.0,4.0,1.0,0.0,,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2022,3,0.5294117647058824,4,True,False,False,True,11.7000732421875,-3.10009765625,0.0,-56.0,-56.0,-42.7191162109375,54.419189453125,-12.0614013671875,-75.20037841796875,-58.0,-8.0,0.0,-1.0,,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2022,4,0.4444444444444444,5,True,False,False,True,-182.7999267578125,-184.199951171875,0.0,-124.0,-124.0,-93.9393310546875,-88.860595703125,-8.261810302734375,-125.76614379882812,-97.0,4.0,1.0,2.0,,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2022,5,0.5294117647058824,4,True,False,False,True,24.6600341796875,-18.9998779296875,0.0,-62.0,-62.0,-98.21337890625,122.8734130859375,1.20086669921875,-71.31069946289062,-55.0,11.0,0.0,0.0,,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2022,6,0.5294117647058824,4,True,False,False,True,-174.39990234375,-109.2000732421875,0.0,10.0,10.0,-38.4989013671875,-135.9010009765625,1.215728759765625,-37.600189208984375,-29.0,8.0,0.0,0.0,,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2022,7,0.5294117647058824,4,True,False,False,True,-376.43994140625,-409.580078125,0.0,-42.0,-42.0,-30.9891357421875,-345.4508056640625,-27.01593017578125,-98.5384521484375,-76.0,24.0,0.0,0.0,,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2022,8,0.4444444444444444,5,True,False,False,True,-268.39990234375,-280.139892578125,0.0,-82.0,-82.0,-49.2159423828125,-219.1839599609375,-19.3902587890625,-82.979736328125,-64.0,32.0,1.0,2.0,,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2022,9,0.5294117647058824,4,True,False,False,True,-259.800048828125,-181.39990234375,0.0,-62.0,-62.0,-57.1878662109375,-202.6121826171875,-18.30279541015625,-90.75909423828125,-70.0,10.0,0.0,0.0,,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2022,10,0.5294117647058824,4,True,False,False,True,-219.3001708984375,-210.60009765625,0.0,-56.0,-56.0,-67.5689697265625,-151.731201171875,-8.06451416015625,-86.869384765625,-67.0,5.0,0.0,0.0,,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2022,11,0.4444444444444444,5,True,False,False,True,-126.39990234375,-46.8800048828125,0.0,-78.0,-78.0,-62.0367431640625,-64.3631591796875,-25.47369384765625,-86.86941528320312,-67.0,18.0,0.0,0.0,,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2022,12,0.625,3,True,False,False,True,-168.4000244140625,-189.2999267578125,0.0,-47.0,-47.0,-66.1492919921875,-102.250732421875,-49.5048828125,-80.3865966796875,-62.0,6.0,0.0,0.0,,0.0
