player,player_key,pos,raw_nominal_salary,salary_source_matched,year,normalized_nominal_salary,actual_salary,actual_salary_matched
Aaron Jones,aaronjones,RB,61.0,True,2022,78.793495,67.0,True
Aaron Rodgers,aaronrodgers,QB,9.0,True,2022,11.372466,2.0,True
Abram Smith,abramsmith,RB,2.0,False,2022,2.2965581,1.0,False
Adam Thielen,adamthielen,WR,13.0,True,2022,16.558699,20.0,True
Adam Trautman,adamtrautman,TE,2.0,False,2022,2.2965581,1.0,False
Aj Brown,ajbrown,WR,43.0,True,2022,55.455444,45.0,True
Aj Dillon,ajdillon,RB,11.0,True,2022,13.965582,36.0,True
Aj Green,ajgreen,WR,2.0,False,2022,2.2965581,1.0,False
Albert Okwuegbunam,albertokwuegbunam,TE,2.0,False,2022,2.2965581,1.0,False
Alec Pierce,alecpierce,WR,2.0,False,2022,2.2965581,1.0,True
Alexander Mattison,alexandermattison,RB,2.0,False,2022,2.2965581,6.0,True
Allen Lazard,allenlazard,WR,3.0,True,2022,3.5931165,25.0,True
Alvin Kamara,alvinkamara,RB,62.0,True,2022,80.09005,85.0,True
Amari Cooper,amaricooper,WR,18.0,True,2022,23.04149,10.0,True
Amari Rodgers,amarirodgers,WR,2.0,False,2022,2.2965581,1.0,False
Austin Hooper,austinhooper,TE,2.0,False,2022,2.2965581,1.0,False
Baker Mayfield,bakermayfield,QB,2.0,False,2022,2.2965581,1.0,False
Benny Snell,bennysnell,RB,2.0,False,2022,2.2965581,1.0,False
Boston Scott,bostonscott,RB,2.0,False,2022,2.2965581,1.0,False
Brandin Cooks,brandincooks,WR,26.0,True,2022,33.413956,35.0,True
Brandon Aiyuk,brandonaiyuk,WR,3.0,True,2022,3.5931165,5.0,True
Braxton Berrios,braxtonberrios,WR,2.0,False,2022,2.2965581,1.0,False
Breece Hall,breecehall,RB,47.0,True,2022,60.641678,54.0,True
Brevin Jordan,brevinjordan,TE,2.0,False,2022,2.2965581,1.0,False
Brian Robinson,brianrobinson,RB,2.0,False,2022,2.2965581,3.0,True
Bryan Edwards,bryanedwards,WR,2.0,False,2022,2.2965581,1.0,False
Byron Pringle,byronpringle,WR,2.0,False,2022,2.2965581,1.0,False
Cade Otton,cadeotton,TE,2.0,False,2022,2.2965581,1.0,False
Calvin Austin,calvinaustin,WR,2.0,False,2022,2.2965581,1.0,False
Calvin Ridley,calvinridley,WR,2.0,False,2022,2.2965581,1.0,False
Cameron Brate,cameronbrate,TE,2.0,False,2022,2.2965581,1.0,False
Cedrick Wilson,cedrickwilson,WR,2.0,False,2022,2.2965581,1.0,False
Chase Claypool,chaseclaypool,WR,5.0,True,2022,6.186233,2.0,True
Chase Edmonds,chaseedmonds,RB,7.0,True,2022,8.779349,23.0,True
Chigoziem Okonkwo,chigoziemokonkwo,TE,2.0,False,2022,2.2965581,1.0,False
Chris Evans,chrisevans,RB,2.0,False,2022,2.2965581,1.0,False
Chris Godwin,chrisgodwin,WR,19.0,True,2022,24.338049,27.0,True
Chris Olave,chrisolave,WR,7.0,True,2022,8.779349,16.0,True
Christian Kirk,christiankirk,WR,8.0,True,2022,10.075908,11.0,True
Christian Mccaffrey,christianmccaffrey,RB,98.0,True,2022,126.76615,111.0,True
Chuba Hubbard,chubahubbard,RB,2.0,False,2022,2.2965581,1.0,False
Cj Uzomah,cjuzomah,TE,2.0,False,2022,2.2965581,1.0,False
Clyde Edwards Helaire,clydeedwardshelaire,RB,13.0,True,2022,16.558699,46.0,True
Cole Kmet,colekmet,TE,1.0,True,2022,1.0,1.0,True
Cordarrelle Patterson,cordarrellepatterson,RB,16.0,True,2022,20.448374,12.0,True
Corey Davis,coreydavis,WR,2.0,False,2022,2.2965581,1.0,False
Dak Prescott,dakprescott,QB,13.0,True,2022,16.558699,6.0,True
Dallas Goedert,dallasgoedert,TE,4.0,True,2022,4.8896747,5.0,True
Dalton Schultz,daltonschultz,TE,11.0,True,2022,13.965582,19.0,True
Dalvin Cook,dalvincook,RB,81.0,True,2022,104.724655,96.0,True
Dameon Pierce,dameonpierce,RB,8.0,True,2022,10.075908,34.0,True
Damien Harris,damienharris,RB,11.0,True,2022,13.965582,27.0,True
Damien Williams,damienwilliams,RB,2.0,False,2022,2.2965581,1.0,False
Dan Arnold,danarnold,TE,2.0,False,2022,2.2965581,1.0,False
Daniel Bellinger,danielbellinger,TE,2.0,False,2022,2.2965581,1.0,False
Daniel Jones,danieljones,QB,2.0,False,2022,2.2965581,1.0,False
Danny Gray,dannygray,WR,2.0,False,2022,2.2965581,1.0,False
Darius Slayton,dariusslayton,WR,2.0,False,2022,2.2965581,1.0,False
Darnell Mooney,darnellmooney,WR,22.0,True,2022,28.227722,18.0,True
Darrell Henderson,darrellhenderson,RB,2.0,False,2022,2.2965581,1.0,True
Darrel Williams,darrelwilliams,RB,2.0,False,2022,2.2965581,1.0,False
Darren Waller,darrenwaller,TE,17.0,True,2022,21.744932,26.0,True
Davante Adams,davanteadams,WR,77.0,True,2022,99.53842,88.0,True
David Bell,davidbell,WR,2.0,False,2022,2.2965581,1.0,True
David Njoku,davidnjoku,TE,1.0,True,2022,1.0,1.0,False
Davis Mills,davismills,QB,2.0,False,2022,2.2965581,1.0,False
Dawson Knox,dawsonknox,TE,2.0,True,2022,2.2965581,2.0,True
Deandre Hopkins,deandrehopkins,WR,6.0,True,2022,7.482791,13.0,True
Derek Carr,derekcarr,QB,6.0,True,2022,7.482791,1.0,True
Dernest Johnson,dernestjohnson,RB,2.0,False,2022,2.2965581,1.0,False
Derrick Gore,derrickgore,RB,2.0,False,2022,2.2965581,1.0,False
Derrick Henry,derrickhenry,RB,87.0,True,2022,112.504005,87.0,True
Desmond Ridder,desmondridder,QB,2.0,False,2022,2.2965581,1.0,False
Devante Parker,devanteparker,WR,2.0,False,2022,2.2965581,1.0,False
Devin Duvernay,devinduvernay,WR,2.0,False,2022,2.2965581,1.0,False
Devin Singletary,devinsingletary,RB,15.0,True,2022,19.151815,22.0,True
Devonta Smith,devontasmith,WR,8.0,True,2022,10.075908,11.0,True
Diontae Johnson,diontaejohnson,WR,32.0,True,2022,41.193306,35.0,True
Dj Chark,djchark,WR,2.0,False,2022,2.2965581,1.0,True
Dj Moore,djmoore,WR,41.0,True,2022,52.862328,48.0,True
Dk Metcalf,dkmetcalf,WR,26.0,True,2022,33.413956,21.0,True
Donald Parham,donaldparham,TE,2.0,False,2022,2.2965581,1.0,False
Donovan Peoples Jones,donovanpeoplesjones,WR,2.0,False,2022,2.2965581,1.0,False
Donta Foreman,dontaforeman,RB,2.0,False,2022,2.2965581,1.0,False
Dontrell Hilliard,dontrellhilliard,RB,2.0,False,2022,2.2965581,1.0,False
Drake London,drakelondon,WR,12.0,True,2022,15.26214,12.0,True
Elijah Mitchell,elijahmitchell,RB,20.0,True,2022,25.634605,39.0,True
Elijah Moore,elijahmoore,WR,6.0,True,2022,7.482791,20.0,True
Eno Benjamin,enobenjamin,RB,2.0,False,2022,2.2965581,1.0,False
Evan Engram,evanengram,TE,2.0,False,2022,2.2965581,1.0,False
Ezekiel Elliott,ezekielelliott,RB,43.0,True,2022,55.455444,45.0,True
Foster Moreau,fostermoreau,TE,2.0,False,2022,2.2965581,1.0,False
Gabriel Davis,gabrieldavis,WR,17.0,True,2022,21.744932,21.0,True
Garrett Wilson,garrettwilson,WR,6.0,True,2022,7.482791,9.0,True
