comparison_type,comparison,draw_context,nominal_buffer,year,all_four_feasible_share,all_four_feasible_count,actual_points_effect_interaction,drafted_only_points_effect_interaction,actual_cap_feasible_effect_interaction,actual_cap_overage_effect_interaction,actual_salary_spend_effect_interaction,forecast_ev_effect_interaction,forecast_error_effect_interaction,forecast_salary_spend_effect_interaction,normalized_nominal_salary_spend_effect_interaction,raw_nominal_salary_spend_effect_interaction,actual_waiver_starts_effect_interaction,actual_salary_missing_players_effect_interaction,salary_source_missing_players_effect_interaction,joint_feasible_actual_points_effect_interaction,nominal_buffer_dollars
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,2022,0.0,0,-71.94832177734375,-67.44047802734374,0.004,-49.244,-49.08,-36.5841005859375,-35.36422119140625,-9.6393740234375,-63.287602172851564,-48.812,4.776,0.228,0.244,,0.0
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,2023,0.048,12,-17.86007861328125,-42.761759765625,0.28,-26.556,-29.968,-17.17379150390625,-0.686287109375,-6.907650329589844,-28.225274780273438,-24.612,2.804,0.14,0.052,-23.119984944661457,0.0
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,2024,0.056,14,-18.8933544921875,-23.346482666015625,0.144,-11.54,-13.104,-9.360775390625,-9.5325791015625,-3.925299011230469,-12.810755249023437,-12.432,1.324,0.06,0.02,-1.1714128766741072,0.0
buffer_effect_d1_minus_d5,buffer_0_minus_none,d1_minus_d5,0,2025,0.032,8,-6.06959716796875,-12.1758427734375,0.072,-13.796,-14.244,-15.5719814453125,9.50238427734375,-4.0519321899414065,-16.117865356445314,-15.708,1.808,0.02,0.016,11.272506713867188,0.0
buffer_effect_d1_minus_d5,buffer_10_minus_none,d1_minus_d5,10,2022,0.0,0,-81.51840966796875,-73.51879345703125,0.008,-46.064,-45.856,-34.53804736328125,-46.9803623046875,-8.44175177001953,-61.77840881347656,-47.648,5.476,0.208,0.248,,10.0
buffer_effect_d1_minus_d5,buffer_10_minus_none,d1_minus_d5,10,2023,0.044,11,-18.35127490234375,-43.31279736328125,0.172,-23.936,-25.68,-15.0123046875,-3.33897021484375,-5.457619873046875,-24.7435625,-21.576,2.72,0.144,0.088,-22.04544344815341,10.0
buffer_effect_d1_minus_d5,buffer_10_minus_none,d1_minus_d5,10,2024,0.06,15,-14.3015224609375,-15.406159423828125,0.076,-7.124,-8.052,-6.243796875,-8.0577255859375,-2.19915185546875,-8.701255004882812,-8.444,0.684,0.016,0.008,17.073331705729167,10.0
buffer_effect_d1_minus_d5,buffer_10_minus_none,d1_minus_d5,10,2025,0.04,10,-4.07416552734375,-7.05759814453125,0.06,-11.032,-11.672,-13.662216796875,9.58805126953125,-2.8488692626953127,-12.547063354492188,-12.228,1.08,0.024,0.024,-16.9460205078125,10.0
buffer_effect_d1_minus_d5,buffer_15_minus_none,d1_minus_d5,15,2022,0.0,0,-70.7665654296875,-66.4463974609375,0.008,-44.088,-44.14,-33.35653369140625,-37.41003173828125,-7.803007751464844,-59.61056384277344,-45.976,4.868,0.2,0.268,,15.0
buffer_effect_d1_minus_d5,buffer_15_minus_none,d1_minus_d5,15,2023,0.048,12,-13.88335791015625,-36.66271533203125,0.144,-22.292,-23.824,-13.1484658203125,-0.73489208984375,-4.945124267578125,-22.523338256835938,-19.64,2.552,0.124,0.072,-0.0333251953125,15.0
buffer_effect_d1_minus_d5,buffer_15_minus_none,d1_minus_d5,15,2024,0.06,15,-7.60207958984375,-7.803202880859375,0.04,-5.064,-5.452,-4.8584189453125,-2.74366064453125,-1.7107718505859375,-5.914873779296875,-5.74,0.424,0.008,-0.004,3.9533447265625,15.0
buffer_effect_d1_minus_d5,buffer_15_minus_none,d1_minus_d5,15,2025,0.044,11,-4.35967822265625,-13.1271171875,0.048,-8.6,-9.248,-11.60809765625,7.24841943359375,-1.9777332763671875,-9.481097778320313,-9.24,1.308,0.032,0.028,-14.641834605823863,15.0
buffer_effect_d1_minus_d5,buffer_25_minus_none,d1_minus_d5,25,2022,0.0,0,-70.36432568359375,-62.1311220703125,0.012,-41.716,-42.032,-29.973291015625,-40.39103466796875,-6.9033701171875,-55.68977087402344,-42.952,4.456,0.14,0.18,,25.0
buffer_effect_d1_minus_d5,buffer_25_minus_none,d1_minus_d5,25,2023,0.048,12,-8.6534384765625,-20.553205322265626,0.052,-15.532,-15.864,-8.71132958984375,0.05789111328125,-2.4371282958984377,-15.702114868164063,-13.692,1.488,0.044,0.044,0.0,25.0
buffer_effect_d1_minus_d5,buffer_25_minus_none,d1_minus_d5,25,2024,0.068,17,-2.36144482421875,-4.668962646484375,0.004,-1.436,-1.424,-1.7875029296875,-0.57394189453125,-0.829770263671875,-2.386559326171875,-2.316,0.172,0.008,0.0,16.782355813419116,25.0
buffer_effect_d1_minus_d5,buffer_25_minus_none,d1_minus_d5,25,2025,0.044,11,-1.949359375,-3.1843974609375,0.008,-3.74,-3.8,-4.131064453125,2.181705078125,-0.39125732421875,-3.640578125,-3.548,0.304,0.004,0.012,0.0,25.0
buffer_effect_d1_minus_d5,buffer_5_minus_none,d1_minus_d5,5,2022,0.0,0,-72.32672265625,-63.0234384765625,-0.008,-47.26,-46.912,-34.59077099609375,-37.73595166015625,-8.0825078125,-62.57190307617188,-48.26,4.724,0.196,0.22,,5.0
