comparison_type,comparison,draw_context,nominal_buffer,trial_half,actual_points_effect,drafted_only_points_effect,actual_cap_feasible_effect,actual_cap_overage_effect,actual_salary_spend_effect,forecast_ev_effect,forecast_error_effect,forecast_salary_spend_effect,normalized_nominal_salary_spend_effect,raw_nominal_salary_spend_effect,actual_waiver_starts_effect,actual_salary_missing_players_effect,salary_source_missing_players_effect,joint_feasible_actual_points_effect,nominal_buffer_dollars
buffer_vs_none,buffer_0_minus_none,1,0,0_124,-40.93199609375,-46.92411853027344,0.182,-32.496,-34.59,-25.85911767578125,-15.07287841796875,-9.792334442138673,-40.26311895751953,-33.902,3.21,0.094,0.064,-16.461162748790922,0.0
buffer_vs_none,buffer_0_minus_none,1,0,125_249,-46.64008056640625,-56.609805297851565,0.188,-30.259999999999998,-33.036,-27.432691650390623,-19.207388916015624,-9.014806335449219,-39.54461602783203,-33.36,4.204,0.124,0.086,-12.71654285249256,0.0
buffer_vs_none,buffer_0_minus_none,5,0,0_124,-14.999081787109375,-14.333121459960937,0.066,-6.49,-7.7620000000000005,-6.476823974609375,-8.522257812500001,-3.271611328125,-9.541829101562499,-8.05,0.88,0.004,0.004,-13.099367705311385,0.0
buffer_vs_none,buffer_0_minus_none,5,0,125_249,-15.18731884765625,-16.338520751953123,0.054,-5.6979999999999995,-6.666,-7.469660888671875,-7.717657958984374,-3.2734016723632813,-10.045157104492187,-8.43,1.178,-0.009999999999999998,-0.019999999999999997,-7.7427633432241585,0.0
buffer_vs_none,buffer_10_minus_none,1,10,0_124,-32.2060380859375,-35.02099389648438,0.086,-26.2,-27.164,-20.26173388671875,-11.944304199218749,-6.361940399169922,-31.614789428710935,-26.198,2.558,0.11599999999999999,0.078,-13.31620885455419,10.0
buffer_vs_none,buffer_10_minus_none,1,10,125_249,-35.48332592773438,-41.48855798339844,0.108,-23.68,-24.754,-19.480599853515624,-16.00272607421875,-5.243237945556641,-30.654600341796876,-25.424,2.856,0.10400000000000001,0.1,-16.737516130719865,10.0
buffer_vs_none,buffer_10_minus_none,5,10,0_124,-2.287961181640625,-0.6959990234375,0.01,-2.772,-2.854,-2.2455585937499998,-0.04240258789062501,-0.9485650329589844,-3.901035888671875,-3.12,-0.09000000000000001,0.02,0.002,1.595398118197588,10.0
buffer_vs_none,buffer_10_minus_none,5,10,125_249,-6.278716552734375,-6.165878662109375,0.026000000000000002,-3.03,-3.4339999999999997,-2.76859228515625,-3.510124267578125,-1.1829169311523438,-4.483209045410156,-3.554,0.524,0.004,-0.008,-2.0277689615885417,10.0
buffer_vs_none,buffer_15_minus_none,1,15,0_124,-28.192356201171876,-32.3959931640625,0.07,-23.51,-24.192,-17.582958984375,-10.609397216796875,-5.076045074462891,-27.610613342285156,-22.704,2.574,0.084,0.062,-12.028307314272281,15.0
buffer_vs_none,buffer_15_minus_none,1,15,125_249,-30.353524414062502,-38.32304260253906,0.078,-20.294,-21.126,-16.726454833984377,-13.627069580078125,-4.366618408203125,-26.80077264404297,-21.992,2.608,0.10800000000000001,0.106,-5.210283745659722,15.0
buffer_vs_none,buffer_15_minus_none,5,15,0_124,-2.1278798828125,-0.33184033203124996,0.01,-1.8920000000000001,-1.9200000000000002,-1.37058544921875,-0.7572944335937499,-0.5102390747070312,-2.4784709472656252,-1.934,-0.034,0.008,-0.006,-0.04476715797601744,15.0
buffer_vs_none,buffer_15_minus_none,5,15,125_249,-8.11216015625,-8.367479003906249,0.018000000000000002,-1.8900000000000001,-2.066,-1.4530703125,-6.6590898437499995,-0.7141058349609375,-3.1679782104492187,-2.464,0.64,0.002,-0.008,-1.35499267578125,15.0
buffer_vs_none,buffer_25_minus_none,1,25,0_124,-24.46708154296875,-25.13807800292969,0.018000000000000002,-16.522000000000002,-16.66,-12.072716796875,-12.39436474609375,-2.9048541564941406,-20.996534362792968,-16.894,1.962,0.032,0.027999999999999997,1.9000000000000001,25.0
buffer_vs_none,buffer_25_minus_none,1,25,125_249,-20.78272265625,-23.594285034179688,0.026000000000000002,-16.398,-16.616,-11.23364111328125,-9.54908154296875,-2.973933380126953,-20.3076865234375,-16.364,1.482,0.062,0.088,4.7562510172526045,25.0
buffer_vs_none,buffer_25_minus_none,5,25,0_124,-0.315840576171875,0.09083984374999998,0.002,-1.104,-1.104,-0.675431396484375,0.3595908203125,-0.2818046264648438,-1.1918331298828124,-0.922,0.013999999999999999,0.002,0.0,0.0,25.0
buffer_vs_none,buffer_25_minus_none,5,25,125_249,-3.269679443359375,-3.554359130859375,0.004,-0.604,-0.612,-0.32933251953125,-2.940346923828125,-0.31621990966796876,-1.4028761596679689,-1.082,0.22,-0.006,-0.002,1.3000030517578125,25.0
buffer_vs_none,buffer_5_minus_none,1,5,0_124,-37.11591455078125,-41.71947607421875,0.12,-28.782,-30.206,-22.784187744140624,-14.331726806640624,-7.359208770751953,-35.97090057373047,-30.086,2.662,0.07200000000000001,0.060000000000000005,-15.842717488606771,5.0
buffer_vs_none,buffer_5_minus_none,1,5,125_249,-37.84380590820312,-45.861118041992185,0.152,-27.378,-29.134,-22.563043212890626,-15.280762695312498,-7.07263833618164,-35.37620764160156,-29.634,3.45,0.10600000000000001,0.078,-17.023817661830357,5.0
buffer_vs_none,buffer_5_minus_none,5,5,0_124,-9.20296142578125,-9.2586396484375,0.016,-3.706,-4.1000000000000005,-3.3231767578125,-5.8797846679687495,-1.8802754211425783,-6.444615600585937,-5.308,0.366,-0.002,-0.006,-1.3567428947947218,5.0
buffer_vs_none,buffer_5_minus_none,5,5,125_249,-10.060717773437501,-13.667601318359376,0.057999999999999996,-4.172,-5.02,-4.468369140625,-5.5923486328125005,-1.9997865295410158,-6.58014306640625,-5.382,0.954,0.0,-0.002,-4.3796301187370705,5.0
