comparison_type,comparison,draw_context,nominal_buffer,year,comparisons,mean_roster_changed,mean_roster_jaccard,mean_both_actual_cap_feasible,mean_candidate_near_nominal_cap_within_1,mean_baseline_nominal_violation,mean_actual_points_effect,mean_drafted_only_points_effect,mean_actual_cap_feasible_effect,mean_actual_cap_overage_effect,mean_actual_salary_spend_effect,mean_forecast_ev_effect,mean_forecast_error_effect,mean_forecast_salary_spend_effect,mean_normalized_nominal_salary_spend_effect,mean_raw_nominal_salary_spend_effect,mean_actual_waiver_starts_effect,mean_actual_salary_missing_players_effect,mean_salary_source_missing_players_effect,mean_joint_feasible_actual_points_effect,nominal_buffer_dollars
buffer_vs_none,buffer_0_minus_none,1,0,2022,250,0.992,0.5257601651186791,0.0,0.0,0.992,-115.95848388671875,-108.68607763671875,0.06,-62.58,-63.124,-48.0552255859375,-67.90325830078125,-15.218308227539062,-85.06459484863281,-65.608,7.628,0.2,0.192,,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2023,250,0.932,0.6144109292839943,0.06,0.176,0.892,-27.860634765625,-59.16743969726563,0.388,-30.788,-36.284,-22.44138134765625,-5.41925341796875,-9.84375421142578,-35.75751977539063,-31.18,3.772,0.132,0.056,-26.859993489583335,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2024,250,0.892,0.6586824266548724,0.092,0.092,0.796,-24.747115234375,-26.931526123046876,0.184,-14.328,-16.768,-13.572169921875,-11.1749453125,-6.4835946655273435,-17.13458996582031,-16.628,1.444,0.052,0.012,-4.2869395380434785,0.0
buffer_vs_none,buffer_0_minus_none,1,0,2025,250,0.94,0.6264569806870116,0.044,0.172,0.912,-6.57791943359375,-12.28280419921875,0.108,-17.816,-19.076,-22.514841796875,15.93692236328125,-6.068624450683593,-21.658765380859375,-21.108,1.984,0.052,0.04,-8.123635031960227,0.0
buffer_vs_none,buffer_0_minus_none,5,0,2022,250,0.84,0.7132085114747654,0.048,0.0,0.796,-44.010162109375,-41.245599609375,0.056,-13.336,-14.044,-11.471125,-32.539037109375,-5.578934204101563,-21.77699267578125,-16.796,2.852,-0.028,-0.052,-21.3216552734375,0.0
buffer_vs_none,buffer_0_minus_none,5,0,2023,250,0.676,0.7895862892525431,0.336,0.144,0.512,-10.00055615234375,-16.405679931640623,0.108,-4.232,-6.316,-5.26758984375,-4.73296630859375,-2.9361038818359373,-7.532244995117187,-6.568,0.968,-0.008,0.004,-0.4354654947916667,0.0
buffer_vs_none,buffer_0_minus_none,5,0,2024,250,0.608,0.7974264386456337,0.16,0.084,0.384,-5.8537607421875,-3.58504345703125,0.04,-2.788,-3.664,-4.21139453125,-1.6423662109375,-2.558295654296875,-4.323834716796875,-4.196,0.12,-0.008,-0.008,-11.791000366210938,0.0
buffer_vs_none,buffer_0_minus_none,5,0,2025,250,0.664,0.7765544645928546,0.124,0.128,0.532,-0.508322265625,-0.10696142578125,0.036,-4.02,-4.832,-6.9428603515625,6.4345380859375,-2.0166922607421873,-5.5409000244140625,-5.4,0.176,0.032,0.024,-6.262581117691532,0.0
buffer_vs_none,buffer_10_minus_none,1,10,2022,250,0.988,0.5502771733254704,0.0,0.16,0.984,-101.76680615234375,-96.8144755859375,0.048,-55.264,-55.728,-41.76544287109375,-60.00136328125,-11.887739868164063,-75.44413220214844,-58.188,6.84,0.22,0.224,,10.0
buffer_vs_none,buffer_10_minus_none,1,10,2023,250,0.876,0.6647449063836061,0.06,0.112,0.82,-18.46823583984375,-39.117673828125,0.192,-25.204,-27.244,-15.9271865234375,-2.54104931640625,-6.068599365234375,-26.835341918945314,-23.4,2.412,0.156,0.076,-23.513321940104166,10.0
buffer_vs_none,buffer_10_minus_none,1,10,2024,250,0.668,0.7522782397169394,0.088,0.064,0.52,-12.22984130859375,-13.729839599609376,0.088,-7.2,-8.14,-6.3990537109375,-5.83078759765625,-2.3460496826171875,-9.01039501953125,-8.744,0.54,0.016,0.008,11.640907981178977,10.0
buffer_vs_none,buffer_10_minus_none,1,10,2025,250,0.776,0.7188736498108015,0.052,0.12,0.712,-2.9138447265625,-3.35711474609375,0.06,-12.092,-12.724,-15.392984375,12.4791396484375,-2.9079677734375,-13.248910400390624,-12.912,1.036,0.048,0.048,-30.473858173076923,10.0
buffer_vs_none,buffer_10_minus_none,5,10,2022,250,0.62,0.7964253034547152,0.048,0.096,0.576,-20.248396484375,-23.29568212890625,0.04,-9.2,-9.872,-7.2273955078125,-13.0210009765625,-3.4459880981445314,-13.665723388671875,-10.54,1.364,0.012,-0.024,-2.6499837239583335,10.0
buffer_vs_none,buffer_10_minus_none,5,10,2023,250,0.276,0.9129629613248808,0.352,0.044,0.164,-0.1169609375,4.19512353515625,0.02,-1.268,-1.564,-0.9148818359375,0.7979208984375,-0.6109794921875,-2.0917794189453125,-1.824,-0.308,0.012,-0.012,1.1827253861860796,10.0
buffer_vs_none,buffer_10_minus_none,5,10,2024,250,0.068,0.9819686274509805,0.212,0.008,0.024,2.07168115234375,1.67631982421875,0.012,-0.076,-0.088,-0.1552568359375,2.22693798828125,-0.1468978271484375,-0.3091400146484375,-0.3,-0.144,0.0,0.0,0.42415057488207547,10.0
buffer_vs_none,buffer_10_minus_none,5,10,2025,250,0.136,0.9568060690943043,0.152,0.04,0.08,1.16032080078125,3.7004833984375,0.0,-1.06,-1.052,-1.730767578125,2.89108837890625,-0.0590985107421875,-0.7018470458984375,-0.684,-0.044,0.024,0.024,0.5847360711348685,10.0
