variant,salary_draw_count,nominal_buffer,seasons,total_trials,feasible_trials,actual_points,drafted_only_points,cap_feasible_rate,mean_cap_overage,median_cap_overage,p90_cap_overage,actual_salary_spend,forecast_salary_spend,normalized_nominal_salary_spend,near_nominal_cap_within_1_rate,baseline_nominal_violation_rate,forecast_ev,absolute_forecast_error,actual_waiver_starts,actual_points_feasible,nominal_buffer_dollars
d1_nominal0,1,0,4,1000,243,1579.7270007324219,1463.3281565551758,0.243,21.836,17.375,48.8,316.748,283.1829435882569,292.1221303405762,0.10999999999999999,0.898,1586.1371191406251,127.85755688476563,43.139,1569.9025658590751,0.0
d1_nominal10,1,10,4,1000,155,1589.668357055664,1476.8403425292968,0.155,28.274,26.0,57.55,324.60200000000003,286.7839248046875,300.89130294799804,0.114,0.759,1592.9118569335938,127.24927404785156,42.139,1583.1605805910551,10.0
d1_nominal15,1,15,4,1000,132,1594.2400987548829,1479.7356005859374,0.132,31.312,29.75,60.849999999999994,327.902,287.8651822357178,304.8203048400879,0.11299999999999999,0.665,1595.6283168945313,126.08630895996095,42.023,1587.7835145916856,15.0
d1_nominal25,1,25,4,1000,80,1600.8881369628907,1490.7289369506836,0.08,36.754,35.0,66.82499999999999,333.923,289.64712020874026,311.3738873901367,0.08299999999999999,0.488,1601.1298448486327,124.93789392089845,41.153999999999996,1608.5682924424382,25.0
d1_nominal5,1,5,4,1000,194,1586.033178833008,1471.3048214111327,0.194,25.134,22.5,52.775,320.891,285.37059042358396,296.35244372558594,0.088,0.838,1590.1094083251953,128.71884814453125,42.488,1591.1027028037154,5.0
d1_nominalnone,1,none,4,1000,58,1623.5130390625,1515.0951184692383,0.057999999999999996,53.214,51.375,89.82499999999999,350.56100000000004,292.5865139770508,332.02599783325195,0.0,0.0,1612.7830238037109,119.38759020996093,39.432,1625.7085494266314,
d5_nominal0,5,0,4,1000,255,1579.4179384765625,1465.08265826416,0.255,21.033,16.5,48.324999999999996,315.68,289.57392810058593,291.2268873291016,0.089,0.556,1585.2134487304688,127.62619995117188,43.120000000000005,1572.5660674452636,0.0
d5_nominal10,5,10,4,1000,213,1590.2277999267578,1476.9875405273438,0.213,24.226,21.0,52.324999999999996,319.75,291.7806936187744,296.82825796508786,0.047,0.211,1589.6796157226563,127.37674768066407,42.308,1582.408462324312,10.0
d5_nominal15,5,15,4,1000,209,1589.391118774414,1476.0688197021484,0.209,25.236,22.375,54.025,320.901,292.2342621459961,298.1971558532715,0.031,0.135,1590.77486328125,126.74286486816406,42.394000000000005,1579.2739818732166,15.0
d5_nominal25,5,25,4,1000,198,1592.7183787841795,1478.6867197265624,0.198,26.273,23.25,57.0,322.036,292.5474223327637,299.72302578735355,0.015,0.067,1591.6843092041015,124.97391381835938,42.208,1578.4995661608962,25.0
d5_nominal5,5,5,4,1000,232,1584.879299194336,1468.9553588867188,0.23199999999999998,23.188,19.625,50.099999999999994,318.334,290.9064036254883,294.5080010986328,0.052000000000000005,0.357,1588.2909182128906,128.14077380371094,42.751000000000005,1574.6369766452544,5.0
d5_nominalnone,5,none,4,1000,195,1594.5111387939453,1480.4184793701172,0.195,27.127,23.75,57.75,322.894,292.8464346008301,301.0203804321289,0.0,0.0,1592.1866911621094,124.47360559082031,42.090999999999994,1575.7101428785663,
