lock_version,model_run_id,audit,league,n_rows,value
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T201042Z_4b947916,v2_handoff_duplicate_player_key_season_rows,all,8901,0.0
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T201042Z_4b947916,historical_identity_join_rate,nffc,1509,1.0
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T201042Z_4b947916,historical_position_mismatch_rate,nffc,1509,0.0013253810470510272
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T201042Z_4b947916,historical_point_center_coverage,nffc,1509,1.0
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T201042Z_4b947916,v2_target_vs_template_active_ppg_mae,nffc,1476,0.09807646950685568
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T201042Z_4b947916,v2_target_vs_template_active_ppg_max_abs,nffc,1476,15.493333333333334
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T201042Z_4b947916,recomputed_residual_identity_max_abs,nffc,1509,1.7763568394002505e-15
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T201042Z_4b947916,current_player_map_identity_join_rate,nffc,383,1.0
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T201042Z_4b947916,current_player_map_position_mismatch_rate,nffc,383,0.0
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T201042Z_4b947916,current_player_map_point_center_coverage,nffc,383,1.0
