study,result_dir,experiment,league,evidence_class,candidate_method,baseline_method,tier,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better,season_cluster_se
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_strict,development_2017_2022,ppg_crps,492,6,0.004996442046039237,-0.00337640985770112,0.012375140552401806,0.107,0.004021200137390745
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_strict,development_2017_2022,contribution_crps,492,6,0.011630393920554379,-0.12363405521308646,0.14518988579788075,0.4146,0.0696105351239606
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_strict,development_2017_2022,played_crps,492,6,0.007128369577862035,-0.003962574264600069,0.01554641363495374,0.0898,0.0051948519508996215
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_strict,temporal_2023_2025,ppg_crps,252,3,0.004318865909857317,-0.004459700162487873,0.01637197299240988,0.2582,0.005085590903501453
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_strict,temporal_2023_2025,contribution_crps,252,3,0.058993520473460084,0.0009448200816235753,0.09823424658021913,0.0,0.024151486617831106
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_strict,temporal_2023_2025,played_crps,252,3,-0.0020389711626796737,-0.014386252853965406,0.012660018196294079,0.629,0.006530273063789985
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_main,development_2017_2022,ppg_crps,702,6,0.00227365825434061,-0.002838619630055271,0.007706775249744595,0.176,0.0027013910543754027
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_main,development_2017_2022,contribution_crps,702,6,0.003732926790719058,-0.0888091871661133,0.104284465773893,0.4454,0.050489542649382345
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_main,development_2017_2022,played_crps,702,6,0.006995744632711668,-0.005621790570212409,0.016698461211553155,0.1062,0.005841058483395048
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_main,temporal_2023_2025,ppg_crps,360,3,0.005905065558473267,-0.0021719041966366103,0.013084346343905548,0.0378,0.0036306303568144904
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_main,temporal_2023_2025,contribution_crps,360,3,0.04247570775241139,-0.06332557570469094,0.13388668123161718,0.1514,0.047102348845725825
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_main,temporal_2023_2025,played_crps,360,3,-0.014408990460354428,-0.020795511599725407,-0.007499236030801379,1.0,0.003139349392798934
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_broad,development_2017_2022,ppg_crps,912,6,0.0008755847624317292,-0.0032774339154774974,0.004944867348369791,0.3046,0.0021203346549700983
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_broad,development_2017_2022,contribution_crps,912,6,-0.005863723370396082,-0.0947351281454683,0.09426461658071428,0.5238,0.05012934358056729
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_broad,development_2017_2022,played_crps,912,6,0.006350789419740319,-0.0035921330499128893,0.01542292931073992,0.0878,0.004756839973702913
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_broad,temporal_2023_2025,ppg_crps,468,3,0.005428906773514611,-0.0009768085908033386,0.010200345485181112,0.039,0.0027518201280908082
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_broad,temporal_2023_2025,contribution_crps,468,3,0.02436613724084515,-0.048667204178998225,0.0921359648855309,0.255,0.03370800240316562
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,core_broad,temporal_2023_2025,played_crps,468,3,-0.010899061230176163,-0.02069077116341595,0.002887418190302291,0.9614,0.005782100697128609
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,depth_main,development_2017_2022,ppg_crps,1018,6,-0.00458424905379439,-0.006120956125276608,-0.003144761118471194,1.0,0.000736990954649232
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,depth_main,development_2017_2022,contribution_crps,1018,6,-0.03395013489671918,-0.07562957049037601,0.012481233033798332,0.9232,0.02244563383976934
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,depth_main,development_2017_2022,played_crps,1018,6,0.018078248352071752,-0.004915511600767431,0.04093158806018122,0.0678,0.011855279901053062
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,depth_main,temporal_2023_2025,ppg_crps,528,3,0.004008539219086079,-0.0012532932742640825,0.007115162445166037,0.032,0.002147342509874557
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,depth_main,temporal_2023_2025,contribution_crps,528,3,-0.04625525306219343,-0.08191604033186257,0.0055214437039607074,0.9636,0.021357709149846325
2026-08-02_beta_scoring_context,results_confirmation_rank_w050,2026-08-02_beta_scoring_context__results_confirmation_rank_w050,beta,fresh_confirmation,beta_scored_ppg_rank_w050,production_hybrid,depth_main,temporal_2023_2025,played_crps,528,3,0.0026193961264204366,-0.0019001177652510622,0.007701584771298491,0.1438,0.0022703301338775
